osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,junction,ref,bridge
746044418,False,Avenida Pacheco Leite Filho,residential,30,False,12.76,"LINESTRING (-35.174884 -7.8987559, -35.1747814 -7.8988092)",,,,
746044418,False,Avenida Pacheco Leite Filho,residential,30,True,71.371,"LINESTRING (-35.174884 -7.8987559, -35.1754125 -7.8983845)",,,,
746044418,False,Avenida Pacheco Leite Filho,residential,30,True,20.127,"LINESTRING (-35.1741631 -7.8989604, -35.1743435 -7.8989315)",,,,
823328599,False,Rua Jader Cisneiros,residential,30,False,59.468,"LINESTRING (-35.1741631 -7.8989604, -35.174076 -7.8984326)",,,,
746044418,False,Avenida Pacheco Leite Filho,residential,30,False,107.883,"LINESTRING (-35.1741631 -7.8989604, -35.173344 -7.8990646, -35.1731916 -7.8990842)",,,,
372505342,False,,secondary,40,False,139.05,"LINESTRING (-35.1731916 -7.8990842, -35.1732324 -7.8998753, -35.1732405 -7.9003336)",2,,,
746044418,False,Avenida Pacheco Leite Filho,residential,30,True,107.883,"LINESTRING (-35.1731916 -7.8990842, -35.173344 -7.8990646, -35.1741631 -7.8989604)",,,,
372505342,False,,secondary,40,False,140.711,"LINESTRING (-35.1735898 -7.9026277, -35.1735885 -7.9028395, -35.173569 -7.9030169, -35.173544 -7.9031646, -35.1734906 -7.9035641, -35.1734691 -7.9037348, -35.1734676 -7.9038852)",2,,,
372505342,False,,secondary,40,True,258.205,"LINESTRING (-35.1735898 -7.9026277, -35.1735596 -7.9024377, -35.1734725 -7.9019754, -35.1734148 -7.90163, -35.1733605 -7.9012714, -35.1733223 -7.9010416, -35.1732773 -7.9007912, -35.1732626 -7.9006869, -35.1732485 -7.9005627, -35.1732405 -7.9003336)",2,,,
440680067,False,,secondary,40,True,135.43400000000003,"LINESTRING (-35.1732963 -7.9066847, -35.1733912 -7.9064889, -35.1734544 -7.9063398, -35.1735283 -7.9061405, -35.1735718 -7.9059973, -35.1736047 -7.9058656, -35.1736334 -7.9057145, -35.1736453 -7.9056049, -35.1736418 -7.9055274)",2,,,
440537647,False,Rua Um,residential,30,False,41.514,"LINESTRING (-35.1714575 -7.898685, -35.1714758 -7.8990579)",,,,
440537683,False,Rua E,residential,30,True,59.098,"LINESTRING (-35.1714575 -7.898685, -35.171601 -7.8986651, -35.1717377 -7.8986465, -35.1719885 -7.8986087)",,,,
