osmid,ref,highway,oneway,reversed,length,name,geometry,maxspeed,lanes
31514405,BR-427,trunk,False,False,49.042,,"LINESTRING (-36.7708366 -6.5903273, -36.7712704 -6.5904212)",,
361650171,,residential,False,False,158.112,Rua João Vilar da Cunha,"LINESTRING (-36.7708366 -6.5903273, -36.7714482 -6.5890417)",,
966325396,BR-427,trunk,False,True,76.662,,"LINESTRING (-36.7708366 -6.5903273, -36.77017 -6.5901354)",,
966325397,,residential,False,True,46.938,Rua João Vilar da Cunha,"LINESTRING (-36.7708366 -6.5903273, -36.7706716 -6.5907163)",,
675237441,,residential,False,False,41.457,Rua José Jerônimo,"LINESTRING (-36.7733612 -6.5860727, -36.7735483 -6.5863959)",,
663197819,,residential,False,True,56.337999999999994,Rua Doutor Heráclio Pires,"LINESTRING (-36.7733612 -6.5860727, -36.7732238 -6.5861075, -36.7730548 -6.5864325)",,
172732510,,residential,False,True,8.838,,"LINESTRING (-36.7739328 -6.5862373, -36.7738574 -6.5862107)",,
401712139,,tertiary,True,False,25.212,Rua Otávio Lamartine,"LINESTRING (-36.7739328 -6.5862373, -36.7740626 -6.5864238)",,
172732510,,residential,False,False,39.873,,"LINESTRING (-36.7735483 -6.5863959, -36.7738574 -6.5862107)",,
172732510,,residential,False,True,64.666,,"LINESTRING (-36.7735483 -6.5863959, -36.7730575 -6.5867129)",,
675237441,,residential,False,True,41.457,Rua José Jerônimo,"LINESTRING (-36.7735483 -6.5863959, -36.7733612 -6.5860727)",,
"[764070682, 823362741]",,residential,False,False,87.298,Rua Vicente Ferreira,"LINESTRING (-36.7735483 -6.5863959, -36.7736116 -6.5866393, -36.7731272 -6.5868701)",,
172732511,,residential,False,False,11.299,Rua José da Costa Cime,"LINESTRING (-36.7730085 -6.5866237, -36.7730575 -6.5867129)",,
663197819,,residential,False,False,21.867,Rua Doutor Heráclio Pires,"LINESTRING (-36.7730085 -6.5866237, -36.7730548 -6.5864325)",,
663197819,,residential,False,True,16.591,Rua Doutor Heráclio Pires,"LINESTRING (-36.7730085 -6.5866237, -36.7729006 -6.5867275)",,
