osmid,bridge,oneway,highway,reversed,length,geometry,name
573301641,yes,True,secondary,False,306.39399999999995,"LINESTRING (-44.4238628 -19.9910507, -44.4228429 -19.9907425, -44.422745 -19.9906984, -44.4226934 -19.9906461, -44.4226713 -19.9905547, -44.4226874 -19.9904864, -44.422732 -19.9904495, -44.4228151 -19.9904363, -44.4231105 -19.9905308, -44.4238856 -19.9907482, -44.424111 -19.9908186)",
283187652,,False,residential,True,372.86299999999994,"LINESTRING (-44.4235262 -19.9828598, -44.4237643 -19.9827489, -44.4239044 -19.9826884, -44.4239869 -19.982665, -44.4240647 -19.9826587, -44.4242484 -19.9826713, -44.4247654 -19.9827344, -44.4248955 -19.9827659, -44.4250591 -19.9828446, -44.4252107 -19.9829455, -44.4255001 -19.9832071, -44.4255889 -19.9833274, -44.4256365 -19.983415, -44.4256734 -19.9835094, -44.4258807 -19.984434)",Rua Joaquim de Águiar
483469788,,False,tertiary,False,232.14400000000003,"LINESTRING (-44.4235262 -19.9828598, -44.4242283 -19.9835372, -44.4244261 -19.9837282, -44.4245582 -19.9839172, -44.4246722 -19.9840949, -44.4247272 -19.9842367, -44.424748 -19.9843835, -44.4247473 -19.9844661, -44.4247399 -19.984526)",Rua Doná Filó
283123442,,False,residential,False,125.235,"LINESTRING (-44.4243414 -19.99003, -44.4254894 -19.9903534)",Rua Guaraciaba Passos
283123442,,False,residential,True,53.266,"LINESTRING (-44.4243414 -19.99003, -44.4238507 -19.9899003)",Rua Guaraciaba Passos
284421081,,False,residential,False,91.032,"LINESTRING (-44.4243414 -19.99003, -44.4246596 -19.9892679)",Rua Doutor Dulfe Pinto
284421081,,False,residential,True,88.755,"LINESTRING (-44.4243414 -19.99003, -44.4240052 -19.990763)",Rua Doutor Dulfe Pinto
283123442,,False,residential,False,97.305,"LINESTRING (-44.4254894 -19.9903534, -44.4263774 -19.9906168)",Rua Guaraciaba Passos
283123442,,False,residential,True,125.235,"LINESTRING (-44.4254894 -19.9903534, -44.4243414 -19.99003)",Rua Guaraciaba Passos
284421080,,False,residential,False,93.376,"LINESTRING (-44.4254894 -19.9903534, -44.425897 -19.9896061)",Rua Artur Pinto
284421080,,False,residential,True,90.639,"LINESTRING (-44.4254894 -19.9903534, -44.4250616 -19.9910625)",Rua Artur Pinto
283123442,,False,residential,False,82.09,"LINESTRING (-44.4263774 -19.9906168, -44.427132 -19.9908221)",Rua Guaraciaba Passos
283123442,,False,residential,True,97.305,"LINESTRING (-44.4263774 -19.9906168, -44.4254894 -19.9903534)",Rua Guaraciaba Passos
283178637,,False,tertiary,True,95.174,"LINESTRING (-44.4263774 -19.9906168, -44.4268275 -19.9898727)",Rua Tancredo Neves
