osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,access
946126350,True,4,Avenida Presidente Getúlio Vargas,secondary,False,41.395,"LINESTRING (-43.3472446 -21.7596186, -43.346929 -21.7598481)",,
964361605,False,,,living_street,False,27.889,"LINESTRING (-43.3472446 -21.7596186, -43.3471773 -21.7598615)",,
23725964,True,,Rua São Sebastião,residential,False,224.153,"LINESTRING (-43.347998 -21.7568493, -43.3501031 -21.7573403)",,
965010558,True,,Rua Batista de Oliveira,residential,False,169.071,"LINESTRING (-43.347998 -21.7568493, -43.3478065 -21.7575338, -43.3475955 -21.7583231)",,
23725964,True,,Rua São Sebastião,residential,False,82.684,"LINESTRING (-43.3472211 -21.7566696, -43.347998 -21.7568493)",,
591698669,True,2,Rua Floriano Peixoto,tertiary,False,106.27,"LINESTRING (-43.3485871 -21.7585785, -43.3475955 -21.7583231)",,
946126350,True,4,Avenida Presidente Getúlio Vargas,secondary,False,180.621,"LINESTRING (-43.3485871 -21.7585785, -43.3476899 -21.7593014, -43.3472446 -21.7596186)",,
591698669,True,2,Rua Floriano Peixoto,tertiary,False,80.098,"LINESTRING (-43.3475955 -21.7583231, -43.3468495 -21.758126)",,
965010558,True,,Rua Batista de Oliveira,residential,False,56.098,"LINESTRING (-43.3475955 -21.7583231, -43.3474636 -21.7588125)",,
965010087,True,3,Avenida Francisco Bernardino,secondary,False,168.906,"LINESTRING (-43.345865 -21.7577799, -43.3458917 -21.7577551, -43.3470888 -21.7567723)",,
119023722,True,,Rua Batista de Oliveira,living_street,False,72.304,"LINESTRING (-43.3465135 -21.7622113, -43.3466881 -21.7615816)",,
"[367861604, 964098813]",True,"['1', '3']",Rua Santa Rita,tertiary,False,282.644,"LINESTRING (-43.3465135 -21.7622113, -43.3489303 -21.7627344, -43.349179 -21.7627883)",,
23725969,True,,Rua Espírito Santo,tertiary,False,84.031,"LINESTRING (-43.3537285 -21.7652826, -43.3529407 -21.7650934)",,
1164242516,False,,Rua Olegário Maciel,tertiary,True,52.799,"LINESTRING (-43.3537285 -21.7652826, -43.3538424 -21.7648197)",,
118704617,True,,Rua Olegário Maciel,tertiary,False,90.048,"LINESTRING (-43.3548764 -21.76081, -43.3546713 -21.7615971)",,
118941275,True,,Rua Doutor Constantino Paleta,residential,False,108.525,"LINESTRING (-43.3548764 -21.76081, -43.3538546 -21.760582)",,
23725972,True,,Rua Santo Antônio,tertiary,False,88.867,"LINESTRING (-43.3515036 -21.7601003, -43.3516847 -21.759319)",,
350093592,True,,Rua Benjamin Constant,tertiary,False,73.105,"LINESTRING (-43.3523995 -21.7565464, -43.3527924 -21.7567151, -43.3530378 -21.7568304)",,
591698669,True,2,Rua Floriano Peixoto,tertiary,False,116.628,"LINESTRING (-43.3468495 -21.758126, -43.3459269 -21.7579224, -43.3458786 -21.7578917, -43.3458637 -21.7578438, -43.345865 -21.7577799)",,
591698680,True,2,Avenida Barão do Rio Branco,primary,False,81.635,"LINESTRING (-43.3488568 -21.7641627, -43.3490367 -21.7634478)",MG-353,
591698679,True,2,Rua Espírito Santo,tertiary,False,173.522,"LINESTRING (-43.3488568 -21.7641627, -43.3479861 -21.7639628, -43.3472276 -21.7637809)",,
118938602,True,,Rua Halfeld,tertiary,False,95.693,"LINESTRING (-43.3534685 -21.7622297, -43.3525658 -21.7620354)",,
118692446,True,,Rua Tiradentes,tertiary,False,100.22200000000001,"LINESTRING (-43.3534685 -21.7622297, -43.3534417 -21.7621801, -43.3534442 -21.7621255, -43.3536561 -21.7613592)",,
118692446,True,,Rua Tiradentes,tertiary,False,81.124,"LINESTRING (-43.3538546 -21.760582, -43.3540235 -21.7598695)",,
118941275,True,,Rua Doutor Constantino Paleta,residential,False,248.63,"LINESTRING (-43.3538546 -21.760582, -43.3515036 -21.7601003)",,
118692444,True,,Rua Marechal Deodoro,residential,False,108.126,"LINESTRING (-43.3536561 -21.7613592, -43.3546713 -21.7615971)",,
118692446,True,,Rua Tiradentes,tertiary,False,88.819,"LINESTRING (-43.3536561 -21.7613592, -43.3538546 -21.760582)",,
118704617,True,,Rua Olegário Maciel,tertiary,False,98.22800000000001,"LINESTRING (-43.3546713 -21.7615971, -43.3545372 -21.7621912, -43.3545044 -21.7623275, -43.3544661 -21.7624595)",,
946126350,True,4,Avenida Presidente Getúlio Vargas,secondary,False,119.506,"LINESTRING (-43.346929 -21.7598481, -43.3465649 -21.76013, -43.3460306 -21.7605254)",,
118694295,False,,Rua Halfeld,residential,False,90.47399999999999,"LINESTRING (-43.3502398 -21.7615156, -43.3510272 -21.7616938, -43.3510908 -21.7617089)",,destination
23725961,False,,Rua Olegário Maciel,tertiary,False,87.096,"LINESTRING (-43.3544661 -21.7624595, -43.3542435 -21.763215)",,
118938602,True,,Rua Halfeld,tertiary,False,106.144,"LINESTRING (-43.3544661 -21.7624595, -43.3534685 -21.7622297)",,
23725968,True,2,Rua Santa Rita,tertiary,False,18.135,"LINESTRING (-43.349179 -21.7627883, -43.3492492 -21.7628359, -43.3493232 -21.7628813)",,
"[367861603, 983079860]",True,2,Avenida Barão do Rio Branco,primary,False,362.79200000000003,"LINESTRING (-43.349179 -21.7627883, -43.3493228 -21.7622201, -43.3495419 -21.7613666, -43.3498161 -21.7604703, -43.3500554 -21.7596294)",MG-353,
591698671,True,2,Avenida Barão do Rio Branco,primary,False,48.407,"LINESTRING (-43.3493232 -21.7628813, -43.3492124 -21.7633043)",MG-353,
118716399,True,,Rua Braz Bernardino,living_street,False,289.521,"LINESTRING (-43.3490367 -21.7634478, -43.3488511 -21.7634231, -43.3481813 -21.7632659, -43.3474244 -21.7630883, -43.3464533 -21.7628521, -43.3464194 -21.762829, -43.3463974 -21.7628056, -43.3463593 -21.7627565)",,
591698680,True,2,Avenida Barão do Rio Branco,primary,False,74.792,"LINESTRING (-43.3490367 -21.7634478, -43.3490631 -21.7633253, -43.349179 -21.7627883)",MG-353,
119023722,True,,Rua Batista de Oliveira,living_street,False,58.891,"LINESTRING (-43.3463697 -21.7627238, -43.3465135 -21.7622113)",,
119023722,True,,Rua Batista de Oliveira,living_street,False,3.791,"LINESTRING (-43.3463593 -21.7627565, -43.3463697 -21.7627238)",,
306047995,True,2,Avenida Barão do Rio Branco,primary,False,444.977,"LINESTRING (-43.3503689 -21.7589996, -43.3499398 -21.7604945, -43.3498745 -21.7607175, -43.3497007 -21.7613976, -43.3493232 -21.7628813)",MG-353,
"[1117516948, 306047996]",True,2,Rua Floriano Peixoto,tertiary,False,14.765,"LINESTRING (-43.3503689 -21.7589996, -43.3503087 -21.7589828, -43.3502316 -21.7589626)",,
118933677,False,,Rua São Sebastião,residential,False,57.428,"LINESTRING (-43.3539671 -21.7582005, -43.3545088 -21.7583172)",,
361608246,True,,Rua São Sebastião,residential,False,148.31599999999997,"LINESTRING (-43.3539671 -21.7582005, -43.3534851 -21.7580999, -43.353066 -21.7580064, -43.3527167 -21.7579256, -43.3526826 -21.7578975, -43.3526751 -21.757873, -43.3526784 -21.7578438, -43.3526934 -21.7578029)",,
964098814,True,2,Rua Batista de Oliveira,residential,False,92.444,"LINESTRING (-43.3474636 -21.7588125, -43.3472446 -21.7596186)",,
118933677,False,,Rua São Sebastião,residential,True,57.428,"LINESTRING (-43.3545088 -21.7583172, -43.3539671 -21.7582005)",,
283593059,True,,Rua Tiradentes,tertiary,False,82.105,"LINESTRING (-43.3545088 -21.7583172, -43.354729 -21.7576077)",,
118933685,True,,Rua São Sebastião,residential,False,145.595,"LINESTRING (-43.3507057 -21.7574781, -43.3520789 -21.7577745)",,
306048000,True,2,Avenida Barão do Rio Branco,primary,False,172.724,"LINESTRING (-43.3507057 -21.7574781, -43.3505799 -21.7580642, -43.3505655 -21.7581311, -43.3503689 -21.7589996)",MG-353,
118933671,False,1,Rua Mister Moore,living_street,False,104.883,"LINESTRING (-43.3490563 -21.7594646, -43.3491187 -21.7594721, -43.3493135 -21.7594964, -43.3494683 -21.7595135, -43.3497522 -21.7595675, -43.3500554 -21.7596294)",,
23725972,True,,Rua Santo Antônio,tertiary,False,140.515,"LINESTRING (-43.3520789 -21.7577745, -43.3523995 -21.7565464)",,
"[118933674, 118933679]",True,,"['Rua Coronel Vital Monteiro', 'Rua São Sebastião']",residential,False,65.647,"LINESTRING (-43.3520789 -21.7577745, -43.352466 -21.7578576, -43.3525463 -21.7578556, -43.352609 -21.7578384, -43.3526934 -21.7578029)",,
965010087,True,3,Avenida Francisco Bernardino,secondary,False,78.056,"LINESTRING (-43.3452869 -21.7582321, -43.345865 -21.7577799)",,
167808116,True,,Rua Fonseca Hermes,residential,False,234.41400000000002,"LINESTRING (-43.3452869 -21.7582321, -43.3453655 -21.7582279, -43.3454104 -21.7582333, -43.3454722 -21.7582494, -43.3474636 -21.7588125)",,
23725965,False,,Rua Floriano Peixoto,residential,False,84.278,"LINESTRING (-43.3548001 -21.7601024, -43.3540235 -21.7598695)",,
367861603,True,2,Avenida Barão do Rio Branco,primary,False,76.345,"LINESTRING (-43.3500554 -21.7596294, -43.3502316 -21.7589626)",MG-353,
118933671,False,1,Rua Mister Moore,living_street,True,104.88300000000001,"LINESTRING (-43.3500554 -21.7596294, -43.3497522 -21.7595675, -43.3494683 -21.7595135, -43.3493135 -21.7594964, -43.3491187 -21.7594721, -43.3490563 -21.7594646)",,
23725972,True,,Rua Santo Antônio,tertiary,False,56.605,"LINESTRING (-43.3516847 -21.759319, -43.3517973 -21.7588208)",,
965082626,True,3,Rua Floriano Peixoto,tertiary,False,140.451,"LINESTRING (-43.3516847 -21.759319, -43.3503689 -21.7589996)",,
23725965,False,,Rua Floriano Peixoto,residential,True,84.278,"LINESTRING (-43.3540235 -21.7598695, -43.3548001 -21.7601024)",,
283593058,True,,Rua Floriano Peixoto,tertiary,False,249.169,"LINESTRING (-43.3540235 -21.7598695, -43.3516847 -21.759319)",,
283593059,True,,Rua Tiradentes,tertiary,False,48.026,"LINESTRING (-43.3540235 -21.7598695, -43.3541389 -21.7594511)",,
591698669,True,2,Rua Floriano Peixoto,tertiary,False,175.12,"LINESTRING (-43.3502316 -21.7589626, -43.3485871 -21.7585785)",,
591698670,True,2,Avenida Barão do Rio Branco,primary,False,101.384,"LINESTRING (-43.3502316 -21.7589626, -43.3504349 -21.7580706)",MG-353,
23725969,True,,Rua Espírito Santo,tertiary,False,79.001,"LINESTRING (-43.3510731 -21.7646698, -43.3503265 -21.7645149)",,
118938595,True,,Rua Solano Braga,residential,False,54.095,"LINESTRING (-43.3512985 -21.7637743, -43.3511938 -21.7641542, -43.3511723 -21.7642464)",,
23725961,False,,Rua Olegário Maciel,tertiary,True,183.179,"LINESTRING (-43.3538424 -21.7648197, -43.3542435 -21.763215)",,
1164242516,False,,Rua Olegário Maciel,tertiary,False,52.799,"LINESTRING (-43.3538424 -21.7648197, -43.3537285 -21.7652826)",,
23725961,False,,Rua Olegário Maciel,tertiary,False,183.179,"LINESTRING (-43.3542435 -21.763215, -43.3538424 -21.7648197)",,
23725961,False,,Rua Olegário Maciel,tertiary,True,87.096,"LINESTRING (-43.3542435 -21.763215, -43.3544661 -21.7624595)",,
118938606,True,,Rua Fernando Lobo,residential,False,142.823,"LINESTRING (-43.3492124 -21.7633043, -43.3493396 -21.7633287, -43.3505579 -21.7636012)",,
