osmid,ref,name,highway,oneway,reversed,length,geometry,junction,maxspeed,lanes
261834070,RJ-102,Avenida Governador Leonel de Moura Brizola,secondary,False,True,36.491,"LINESTRING (-42.0266493 -22.9672693, -42.0262929 -22.9672651)",,,
261834070,RJ-102,Avenida Governador Leonel de Moura Brizola,secondary,False,False,31.273000000000003,"LINESTRING (-42.0266493 -22.9672693, -42.0267499 -22.9672644, -42.0268491 -22.9672508, -42.026951 -22.9672298)",,,
261834070,RJ-102,Avenida Governador Leonel de Moura Brizola,secondary,False,False,98.77,"LINESTRING (-42.026951 -22.9672298, -42.0272501 -22.9670569, -42.0277041 -22.9668045, -42.0277736 -22.9667658)",,,
261834070,RJ-102,Avenida Governador Leonel de Moura Brizola,secondary,False,True,31.273000000000003,"LINESTRING (-42.026951 -22.9672298, -42.0268491 -22.9672508, -42.0267499 -22.9672644, -42.0266493 -22.9672693)",,,
"[261834072, 289051688]",RJ-102,"['Rua Martins Afonso', 'Rua Dom Pedro Primeiro']",secondary,False,True,111.484,"LINESTRING (-42.0290874 -22.9653838, -42.0289385 -22.9656443, -42.0288742 -22.9658431, -42.0288406 -22.9660746, -42.0287856 -22.9662, -42.0287092 -22.9663117)",,,
843838284,RJ-102,Rua Martins Afonso,secondary,True,False,26.272,"LINESTRING (-42.0290874 -22.9653838, -42.029162 -22.9652163, -42.0291957 -22.9651706)",,,
111503014,,,primary_link,True,False,45.015,"LINESTRING (-42.027297 -22.9625832, -42.0272253 -22.9626462, -42.0271629 -22.9626671, -42.0271005 -22.9626567, -42.027055 -22.962627, -42.0270161 -22.9625943, -42.0269698 -22.9625103)",,,
108331009,RJ-140;RJ-102,,primary,True,False,5.45,"LINESTRING (-42.0292879 -22.9650457, -42.029303 -22.9649987)",roundabout,,
843824029,,,secondary_link,False,False,7.485,"LINESTRING (-42.0230353 -22.9677549, -42.0229634 -22.9677671)",,,
108331014,,Rua Rodrigues Alves,secondary,True,False,33.181999999999995,"LINESTRING (-42.0230353 -22.9677549, -42.0230437 -22.9678447, -42.0230974 -22.9680287, -42.0231064 -22.9680444)",,,
843911826,,,secondary,True,False,2.527,"LINESTRING (-42.0233354 -22.968388, -42.0233202 -22.9684059)",,,
109484351,,Rua Júlia Antunes da Costa,residential,False,False,186.19400000000002,"LINESTRING (-42.0263857 -22.9646429, -42.025936 -22.964889, -42.025854 -22.964964, -42.025803 -22.965068, -42.025799 -22.965157, -42.025813 -22.965228, -42.0258654 -22.9653066, -42.0260096 -22.9654585, -42.0260967 -22.9655949, -42.026092 -22.9657425, -42.0260485 -22.9658159, -42.0259915 -22.965853, -42.0259304 -22.965882)",,,
426209661,,Rua José Pinto de Macedo,residential,False,False,211.30700000000002,"LINESTRING (-42.0263857 -22.9646429, -42.0261125 -22.9642698, -42.0260035 -22.9641965, -42.0259412 -22.9641601, -42.025803 -22.9641113, -42.0255844 -22.9640594, -42.0254376 -22.9640656, -42.0252525 -22.9641088, -42.0249803 -22.9641545, -42.0248106 -22.9641551, -42.0246805 -22.9641347, -42.024616 -22.964097)",,,
426209661,,Rua José Pinto de Macedo,residential,False,True,141.98399999999998,"LINESTRING (-42.0263857 -22.9646429, -42.0267612 -22.9652745, -42.027004 -22.9657845)",,,
970635855,,Travessa João José de Andrade,residential,False,True,128.09799999999998,"LINESTRING (-42.0263857 -22.9646429, -42.0264636 -22.9645985, -42.026801 -22.964307, -42.026883 -22.964208, -42.026921 -22.964126, -42.026956 -22.963941, -42.027007 -22.963812, -42.0270784 -22.9637328)",,,
108331004,RJ-102,Rua Nilo Peçanha,secondary,False,False,7.272,"LINESTRING (-42.0228298 -22.9676731, -42.0228975 -22.9676533)",,,
108331004,RJ-102,Rua Nilo Peçanha,secondary,False,True,76.938,"LINESTRING (-42.0228298 -22.9676731, -42.0227118 -22.9677459, -42.0224141 -22.9679583, -42.0222297 -22.9680892)",,,
182013162,,Rua Rodrigues Alves,residential,False,True,73.215,"LINESTRING (-42.0228298 -22.9676731, -42.0226052 -22.9673906, -42.0224033 -22.9671446)",,,
108331010,,Avenida Getúlio Vargas,tertiary,True,False,76.678,"LINESTRING (-42.0278833 -22.9674299, -42.027934 -22.9675125, -42.0280078 -22.9676064, -42.0282787 -22.9680151)",,,
261830026,,Rua Campos Sales,residential,False,False,60.539,"LINESTRING (-42.0278833 -22.9674299, -42.027713 -22.9675291, -42.0274546 -22.9677978)",,,
261826591,,Rua Joaquim Martins Fialho,residential,False,True,68.551,"LINESTRING (-42.0230605 -22.9680744, -42.022579 -22.9685028)",,,
845273007,,,residential,False,False,5.763,"LINESTRING (-42.0230605 -22.9680744, -42.0231064 -22.9680444)",,,
261826593,,Rua Rodrigues Alves,secondary,True,False,35.588,"LINESTRING (-42.0230605 -22.9680744, -42.0229934 -22.9678657, -42.0229634 -22.9677671)",,,
