osmid,oneway,name,highway,reversed,length,maxspeed,geometry
424336689,False,,residential,True,54.829,,"LINESTRING (-38.3610546 -11.7909774, -38.3612785 -11.7905357)"
423793534,False,,residential,True,51.04099999999999,,"LINESTRING (-38.3610546 -11.7909774, -38.3610177 -11.790863, -38.3609842 -11.7907816, -38.3609547 -11.7907383, -38.360893 -11.7906937, -38.3608491 -11.7906759, -38.3607708 -11.7906634)"
402108878,False,,residential,False,92.465,,"LINESTRING (-38.360026 -11.7946892, -38.3604103 -11.7954308)"
505696378,False,,residential,True,53.792,,"LINESTRING (-38.360026 -11.7946892, -38.3595909 -11.7949186)"
402108878,False,,residential,True,62.806999999999995,,"LINESTRING (-38.360026 -11.7946892, -38.3599904 -11.7945914, -38.3599723 -11.7945211, -38.3599495 -11.7944785, -38.3599287 -11.7944535, -38.3598872 -11.7944194, -38.3598416 -11.794359, -38.3597714 -11.7941926)"
402108881,False,,residential,False,44.446,,"LINESTRING (-38.3607792 -11.7952457, -38.3611384 -11.7950556)"
402108881,False,,residential,True,6.921,,"LINESTRING (-38.3607792 -11.7952457, -38.360724 -11.7952766)"
816752804,False,,residential,False,51.194,,"LINESTRING (-38.3607792 -11.7952457, -38.360977 -11.7956634)"
423793504,False,,residential,True,36.973,,"LINESTRING (-38.3617753 -11.7956466, -38.3614522 -11.7957492)"
423793528,False,,residential,False,35.443,,"LINESTRING (-38.3617753 -11.7956466, -38.3618661 -11.7959527)"
"[423793504, 424390767]",False,,residential,False,174.83999999999997,,"LINESTRING (-38.3617753 -11.7956466, -38.362157 -11.7955188, -38.3621845 -11.7954945, -38.3621892 -11.7954565, -38.3621791 -11.7954145, -38.3617418 -11.794445)"
381988084,False,,residential,False,78.223,,"LINESTRING (-38.3588733 -11.7887914, -38.3591439 -11.7881397)"
381988084,False,,residential,True,80.706,,"LINESTRING (-38.3588733 -11.7887914, -38.3586979 -11.7894966)"
381988091,False,,residential,True,41.597,,"LINESTRING (-38.3588733 -11.7887914, -38.3592434 -11.7888846)"
381988091,False,,residential,False,215.74800000000002,,"LINESTRING (-38.3588733 -11.7887914, -38.357787 -11.7884894, -38.3572049 -11.7883372, -38.3569649 -11.7882676)"
423793528,False,,residential,True,35.443,,"LINESTRING (-38.3618661 -11.7959527, -38.3617753 -11.7956466)"
"[423793528, 424390750]",False,,residential,"[False, True]",76.91499999999999,,"LINESTRING (-38.3618661 -11.7959527, -38.3619592 -11.7963078, -38.3619545 -11.7963347, -38.3619411 -11.7963525, -38.3616775 -11.7964496)"
424390768,False,,residential,False,90.999,,"LINESTRING (-38.3618661 -11.7959527, -38.3620255 -11.7959055, -38.3621952 -11.7958687, -38.3623548 -11.7958346, -38.3626785 -11.795761)"
423793526,False,,residential,True,63.788,,"LINESTRING (-38.3642524 -11.7949655, -38.3641854 -11.7947541, -38.3641505 -11.7946609, -38.3640392 -11.7944325)"
424243775,False,,residential,True,72.173,,"LINESTRING (-38.3629073 -11.7963702, -38.3626785 -11.795761)"
424390717,False,,residential,False,42.987,,"LINESTRING (-38.3629073 -11.7963702, -38.3632439 -11.796168)"
423793504,False,,residential,False,35.041,,"LINESTRING (-38.3611509 -11.7958602, -38.3614522 -11.7957492)"
423793504,False,,residential,True,8.082,,"LINESTRING (-38.3611509 -11.7958602, -38.3610792 -11.7958791)"
816752805,False,,residential,False,34.962,,"LINESTRING (-38.3611509 -11.7958602, -38.3612996 -11.7961389)"
381988083,False,,residential,False,92.069,,"LINESTRING (-38.3599971 -11.7890461, -38.3598791 -11.789866)"
381988091,False,,residential,False,83.982,,"LINESTRING (-38.3599971 -11.7890461, -38.3592434 -11.7888846)"
381988083,False,,residential,True,98.634,,"LINESTRING (-38.3599971 -11.7890461, -38.3600199 -11.7889555, -38.3600964 -11.7886509, -38.3601084 -11.78858, -38.3601004 -11.7884829, -38.3600843 -11.7883844, -38.3600226 -11.7881822)"
381988091,False,,residential,True,130.594,,"LINESTRING (-38.3599971 -11.7890461, -38.3604866 -11.7891353, -38.3609681 -11.7892062, -38.3610915 -11.7892325, -38.3611746 -11.7892627)"
424243775,False,,residential,False,72.173,,"LINESTRING (-38.3626785 -11.795761, -38.3629073 -11.7963702)"
424243775,False,,residential,True,174.968,,"LINESTRING (-38.3626785 -11.795761, -38.3621118 -11.7942885)"
