osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge,junction
194996928,True,1,trunk_link,False,263.227,"LINESTRING (-47.4834245 -20.250929, -47.4833004 -20.2507123, -47.4832411 -20.2506522, -47.4831596 -20.2506022, -47.483064 -20.2505679, -47.4829806 -20.2505598, -47.4829028 -20.2505651, -47.4828072 -20.2505978, -47.4827201 -20.2506629, -47.4826523 -20.2507469, -47.482603 -20.2508756, -47.4824927 -20.2512625, -47.4824756 -20.2513691, -47.4824834 -20.251449, -47.4825078 -20.2515317, -47.4825454 -20.2516097, -47.482602 -20.2516708, -47.4826792 -20.251712, -47.4827707 -20.2517434, -47.4828716 -20.2517503, -47.4830288 -20.2517481)",,,,,
532654136,False,2,trunk,False,95.153,"LINESTRING (-47.4834245 -20.250929, -47.4835107 -20.2513435, -47.4835815 -20.2517718)",SP-334,Rodovia Cândido Portinari,100,,
532654136,False,2,trunk,True,92.303,"LINESTRING (-47.4834245 -20.250929, -47.4832763 -20.2502842, -47.4832414 -20.2501169)",SP-334,Rodovia Cândido Portinari,100,,
875055266,True,,primary,False,7.986,"LINESTRING (-47.4851155 -20.2502786, -47.4851545 -20.2502168)",,,,,
194996921,True,,trunk_link,False,500.289,"LINESTRING (-47.4851773 -20.2507516, -47.4849443 -20.2508322, -47.4848299 -20.2509206, -47.4847508 -20.2510093, -47.4846968 -20.2511096, -47.4846751 -20.2512115, -47.4846704 -20.2513468, -47.4847173 -20.2519551, -47.4847348 -20.2521489, -47.4847327 -20.2522596, -47.484716 -20.2523766, -47.4846771 -20.2524949, -47.4842995 -20.2532611, -47.4842408 -20.2533774, -47.4839307 -20.2539915, -47.483867 -20.254162, -47.4838094 -20.2543702, -47.4837477 -20.2548213)",,,,,
194996934,True,,primary,False,60.492000000000004,"LINESTRING (-47.4851773 -20.2507516, -47.4850351 -20.2507541, -47.4848789 -20.2507749, -47.4847515 -20.2508215, -47.4846177 -20.2508692)",,,,,
194996934,True,,primary,False,8.024,"LINESTRING (-47.4852542 -20.2507531, -47.4851773 -20.2507516)",,,,,
875055267,True,,primary,False,58.656000000000006,"LINESTRING (-47.4852542 -20.2507531, -47.485167 -20.2506727, -47.4851085 -20.2505719, -47.485084 -20.2504595, -47.4851155 -20.2502786)",,,,,
875055267,True,,primary,False,15.17,"LINESTRING (-47.485385 -20.2508127, -47.4852542 -20.2507531)",,,,,
194996930,False,2,primary,False,58.8,"LINESTRING (-47.4846177 -20.2508692, -47.4841272 -20.2511297)",,,,,
733432854,True,,primary,False,83.798,"LINESTRING (-47.4846177 -20.2508692, -47.4847492 -20.2507296, -47.484866 -20.2505922, -47.4849735 -20.2504456, -47.4851155 -20.2502786)",,,,,
194996930,False,2,primary,False,38.007,"LINESTRING (-47.4841272 -20.2511297, -47.4838154 -20.2513065)",,,,,
194996930,False,2,primary,True,58.8,"LINESTRING (-47.4841272 -20.2511297, -47.4846177 -20.2508692)",,,,,
194996923,True,1,trunk_link,False,235.217,"LINESTRING (-47.4841272 -20.2511297, -47.484261 -20.2509794, -47.4843173 -20.2508941, -47.4843545 -20.2508051, -47.4843666 -20.2507221, -47.4843602 -20.2506161, -47.4843143 -20.250495, -47.4842549 -20.2504121, -47.4842085 -20.2503654, -47.4841202 -20.2503028, -47.4840055 -20.2502625, -47.4838654 -20.2502499, -47.4837359 -20.2502748, -47.4836179 -20.2503402, -47.4835348 -20.2504283, -47.4834848 -20.2505079, -47.4834513 -20.2505928, -47.4834352 -20.2507063, -47.4834245 -20.250929)",,,,,
194996930,False,2,primary,True,38.007,"LINESTRING (-47.4838154 -20.2513065, -47.4841272 -20.2511297)",,,,,
"[194996929, 194996930, 194996926]",False,2,primary,False,95.652,"LINESTRING (-47.4838154 -20.2513065, -47.4837188 -20.2513594, -47.4833091 -20.2515802, -47.4830288 -20.2517481)",,,,yes,
819185585,False,2,secondary,False,160.52,"LINESTRING (-47.4830288 -20.2517481, -47.4817136 -20.2524974)",,,,,
"[194996929, 194996930, 194996926]",False,2,primary,True,95.652,"LINESTRING (-47.4830288 -20.2517481, -47.4833091 -20.2515802, -47.4837188 -20.2513594, -47.4838154 -20.2513065)",,,,yes,
240827208,True,1,trunk_link,False,373.42400000000004,"LINESTRING (-47.4830288 -20.2517481, -47.4828391 -20.2519507, -47.4827338 -20.2520765, -47.4825957 -20.2522999, -47.4825226 -20.2524364, -47.482477 -20.2525918, -47.482473 -20.2527151, -47.4824958 -20.2528145, -47.4825474 -20.2529164, -47.4826044 -20.2529824, -47.4826909 -20.2530403, -47.482774 -20.2530743, -47.4828552 -20.2530913, -47.4829316 -20.2530988, -47.4830275 -20.2530843, -47.4830946 -20.2530686, -47.4831985 -20.2530126, -47.483287 -20.2529277, -47.4833681 -20.2528176, -47.4834265 -20.2527251, -47.4834835 -20.2525804, -47.4835324 -20.252386, -47.4835618 -20.2521562, -47.4835815 -20.2517718)",,,,,
532654136,False,2,trunk,False,42.298,"LINESTRING (-47.4835815 -20.2517718, -47.4836297 -20.2521495)",SP-334,Rodovia Cândido Portinari,100,,
532654136,False,2,trunk,True,95.153,"LINESTRING (-47.4835815 -20.2517718, -47.4835107 -20.2513435, -47.4834245 -20.250929)",SP-334,Rodovia Cândido Portinari,100,,
532654136,False,2,trunk,True,42.298,"LINESTRING (-47.4836297 -20.2521495, -47.4835815 -20.2517718)",SP-334,Rodovia Cândido Portinari,100,,
194996924,True,1,trunk_link,False,304.104,"LINESTRING (-47.4836297 -20.2521495, -47.4837078 -20.2523238, -47.4837735 -20.2524241, -47.4838426 -20.2524961, -47.4839113 -20.2525342, -47.4840431 -20.2525713, -47.4841332 -20.2525785, -47.484269 -20.2525666, -47.4843813 -20.2525188, -47.4844648 -20.2524518, -47.4845222 -20.2523816, -47.4845654 -20.2522964, -47.4845869 -20.2522445, -47.4846001 -20.2521584, -47.4845939 -20.2520803, -47.484549 -20.2516494, -47.484498 -20.2515283, -47.4844236 -20.2514317, -47.4843344 -20.2513619, -47.4842218 -20.2513115, -47.4840813 -20.2512911, -47.4839559 -20.2512939, -47.4838154 -20.2513065)",,,,,
532654136,False,2,trunk,False,297.581,"LINESTRING (-47.4836297 -20.2521495, -47.4836603 -20.2524431, -47.4837316 -20.2532756, -47.4837555 -20.2541587, -47.4837477 -20.2548213)",SP-334,Rodovia Cândido Portinari,100,,
819185585,False,2,secondary,True,160.52,"LINESTRING (-47.4817136 -20.2524974, -47.4830288 -20.2517481)",,,,,
819185586,False,,secondary,False,11.415,"LINESTRING (-47.4817136 -20.2524974, -47.481621 -20.2525521)",,Rua Eliseu Alves Teixeira,,,
194996935,True,1,trunk_link,False,432.52799999999996,"LINESTRING (-47.4817136 -20.2524974, -47.4818025 -20.2523956, -47.4819239 -20.2522529, -47.4820007 -20.2521776, -47.4820943 -20.252035, -47.4821469 -20.2519307, -47.4827702 -20.2498261, -47.4828649 -20.2495013, -47.482878 -20.2493984, -47.4828931 -20.2492849, -47.4828941 -20.2491871, -47.4828803 -20.2490773, -47.4828498 -20.2488379)",,,,,
532654136,False,2,trunk,True,297.581,"LINESTRING (-47.4837477 -20.2548213, -47.4837555 -20.2541587, -47.4837316 -20.2532756, -47.4836603 -20.2524431, -47.4836297 -20.2521495)",SP-334,Rodovia Cândido Portinari,100,,
195002517,False,,residential,False,54.7,"LINESTRING (-47.4781003 -20.254011, -47.4784154 -20.2544042)",,Rua Major Antônio Cândido,,,
195002517,False,,residential,True,70.712,"LINESTRING (-47.4781003 -20.254011, -47.4777077 -20.2534926)",,Rua Major Antônio Cândido,,,
730920972,False,,secondary,True,72.601,"LINESTRING (-47.4781003 -20.254011, -47.4775397 -20.2543979)",,Rua Abib Naufil Santiago,,,
864571075,False,,secondary,False,89.204,"LINESTRING (-47.4781003 -20.254011, -47.4787635 -20.2535046)",,Rua Abib Naufil Santiago,,,
195002517,False,,residential,False,38.239,"LINESTRING (-47.4784154 -20.2544042, -47.4786401 -20.2546759)",,Rua Major Antônio Cândido,,,
195002517,False,,residential,True,54.7,"LINESTRING (-47.4784154 -20.2544042, -47.4781003 -20.254011)",,Rua Major Antônio Cândido,,,
195002517,False,,residential,True,38.239,"LINESTRING (-47.4786401 -20.2546759, -47.4784154 -20.2544042)",,Rua Major Antônio Cândido,,,
730933251,False,,secondary,True,89.925,"LINESTRING (-47.4786401 -20.2546759, -47.4793207 -20.2541796)",,Rua Eliseu Alves Teixeira,,,
