osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,bridge
208175234,True,1,Rua Coronel Fonseca,tertiary,False,103.494,,"LINESTRING (-48.4434461 -22.8835598, -48.4424365 -22.8835933)",
208175234,True,1,Rua Coronel Fonseca,tertiary,False,7.927,,"LINESTRING (-48.4442197 -22.8835106, -48.4441425 -22.8835155)",
682990741,True,2,Avenida Santana,secondary,False,82.71,,"LINESTRING (-48.4442197 -22.8835106, -48.4443015 -22.8842506)",
208175234,True,1,Rua Coronel Fonseca,tertiary,False,71.512,,"LINESTRING (-48.4441425 -22.8835155, -48.4434461 -22.8835598)",
148777670,True,1,Rua Velho Cardoso,residential,False,79.181,,"LINESTRING (-48.439768 -22.8844762, -48.4405399 -22.8844395)",
156558428,True,2,Rua Curuzu,tertiary,False,82.633,50,"LINESTRING (-48.439768 -22.8844762, -48.4397027 -22.8837355)",
203094190,True,1,Rua Amando de Barros,secondary,False,76.416,40,"LINESTRING (-48.4405912 -22.8851251, -48.4405399 -22.8844395)",
913027132,True,1,Rua Siqueira Campos,secondary,False,81.83,40,"LINESTRING (-48.4405912 -22.8851251, -48.4397932 -22.8851579)",
203500034,True,2,Rua Curuzu,tertiary,False,69.151,50,"LINESTRING (-48.4398547 -22.8857772, -48.4397932 -22.8851579)",
913027135,True,1,Rua Moraes de Barros,secondary,False,80.61,,"LINESTRING (-48.4398547 -22.8857772, -48.4406407 -22.8857428)",
203500034,True,2,Rua Curuzu,tertiary,False,98.33,50,"LINESTRING (-48.4399254 -22.8866591, -48.4398547 -22.8857772)",
880481537,True,1,Rua Monsenhor Ferrari,residential,False,101.348,,"LINESTRING (-48.4399254 -22.8866591, -48.4389378 -22.8867129)",
203094190,True,1,Rua Amando de Barros,secondary,False,97.22,40,"LINESTRING (-48.4407019 -22.8866153, -48.4406407 -22.8857428)",
683467194,True,1,Rua Monsenhor Ferrari,tertiary,False,79.695,,"LINESTRING (-48.4407019 -22.8866153, -48.4399254 -22.8866591)",
202360832,True,1,Rua Major Leonidas Cardoso,residential,False,76.188,40,"LINESTRING (-48.4400564 -22.8885049, -48.4407992 -22.8884705)",
203500034,True,2,Rua Curuzu,tertiary,False,101.085,50,"LINESTRING (-48.4400564 -22.8885049, -48.4399882 -22.887598)",
203500034,True,2,Rua Curuzu,tertiary,False,100.961,50,"LINESTRING (-48.4401244 -22.8894107, -48.4400564 -22.8885049)",
208175236,True,1,Rua Coronel José Vitoriano Villas Boas,tertiary,False,102.913,,"LINESTRING (-48.4401244 -22.8894107, -48.439125 -22.889505)",
203094190,True,1,Rua Amando de Barros,secondary,False,97.278,40,"LINESTRING (-48.4408408 -22.8893445, -48.4407992 -22.8884705)",
208175236,True,1,Rua Coronel José Vitoriano Villas Boas,tertiary,False,73.756,,"LINESTRING (-48.4408408 -22.8893445, -48.4401244 -22.8894107)",
203094190,True,1,Rua Amando de Barros,secondary,False,100.109,40,"LINESTRING (-48.4409351 -22.8902406, -48.4408408 -22.8893445)",
208175258,True,1,Rua Quintino Bocaiúva,tertiary,False,98.747,40,"LINESTRING (-48.4409351 -22.8902406, -48.4418953 -22.8901622)",
203500034,True,2,Rua Curuzu,tertiary,False,97.885,50,"LINESTRING (-48.4402584 -22.8911961, -48.4401894 -22.8903181)",
683468930,True,1,Rua Prefeito Tonico de Barros,tertiary,False,102.579,40,"LINESTRING (-48.4402584 -22.8911961, -48.439259 -22.891254)",
203094190,True,1,Rua Amando de Barros,secondary,False,103.948,40,"LINESTRING (-48.4410018 -22.8911734, -48.4409351 -22.8902406)",
683468930,True,1,Rua Prefeito Tonico de Barros,tertiary,False,76.194,40,"LINESTRING (-48.4410018 -22.8911734, -48.4402584 -22.8911961)",
202360846,True,1,Rua Visconde do Rio Branco,tertiary,False,94.39,,"LINESTRING (-48.4410884 -22.8920905, -48.4420074 -22.8920288)",
203094190,True,1,Rua Amando de Barros,secondary,False,52.559,40,"LINESTRING (-48.4410884 -22.8920905, -48.4410507 -22.8916191)",
