osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,bridge,access,width
"[934316905, 4331475]",True,4,Avenida Tiradentes,secondary,False,229.372,"LINESTRING (-46.6330324 -23.534495, -46.6327193 -23.5334094, -46.6325679 -23.5328844, -46.6325347 -23.5327822, -46.6324442 -23.5325041)",,,,
"[656931849, 38584787]",True,2,Rua São Caetano,secondary,False,125.36000000000001,"LINESTRING (-46.6330324 -23.534495, -46.6329084 -23.534515, -46.6318189 -23.5346772)",50,,,
"[191591089, 866553011, 191591092]",True,3,Rua Brigadeiro Tobias,secondary,False,60.004,"LINESTRING (-46.6337902 -23.5352466, -46.6338039 -23.5352893, -46.6339209 -23.5356662, -46.6339485 -23.5357663)",50,yes,,
191591086,True,4,Avenida Tiradentes,secondary,False,86.89500000000001,"LINESTRING (-46.6331286 -23.5352713, -46.6331017 -23.5349845, -46.6330324 -23.534495)",50,,,
191591086,True,4,Avenida Tiradentes,secondary,False,11.418,"LINESTRING (-46.6331395 -23.5353735, -46.6331286 -23.5352713)",50,,,
183462561,True,3,Avenida Senador Queirós,primary,False,88.371,"LINESTRING (-46.6349941 -23.5391957, -46.6357178 -23.5389974, -46.6357534 -23.5389902, -46.6357905 -23.5389884, -46.6358284 -23.5389901)",,,,
1006207364,True,2,Rua Brigadeiro Tobias,tertiary,False,14.255,"LINESTRING (-46.6349547 -23.5390727, -46.6349941 -23.5391957)",40,,,
333520077,True,3,Avenida Senador Queirós,primary,False,78.614,"LINESTRING (-46.6349547 -23.5390727, -46.63566 -23.5388745, -46.635692 -23.5388655)",50,,,
442099954,True,2,Rua Washington Luís,tertiary,False,70.767,"LINESTRING (-46.6345887 -23.5378601, -46.6345034 -23.537865, -46.634035 -23.5378979, -46.6339731 -23.5379023, -46.6338963 -23.5379051)",,,,
"[424572748, 488862103]",True,3,Rua Brigadeiro Tobias,tertiary,False,75.025,"LINESTRING (-46.6345887 -23.5378601, -46.6346066 -23.5379249, -46.6346637 -23.5381074, -46.6347145 -23.5382686, -46.6347902 -23.538509)",40,,,
1006207363,True,3,Avenida Senador Queirós,primary,False,74.16,"LINESTRING (-46.6342911 -23.5393642, -46.6344528 -23.5393385, -46.6345977 -23.5393038, -46.6348486 -23.5392333, -46.6349184 -23.5392147, -46.6349941 -23.5391957)",,,,
46892137,True,2,Avenida Senador Queirós,primary_link,False,37.196,"LINESTRING (-46.635692 -23.5388655, -46.6357953 -23.5388379, -46.6359621 -23.538789, -46.6360409 -23.5387677)",,,,
255818928,True,3,Avenida Senador Queirós,primary,False,41.782999999999994,"LINESTRING (-46.635692 -23.5388655, -46.6358 -23.5388649, -46.6358725 -23.5388677, -46.6359219 -23.5388756, -46.6359753 -23.5388883, -46.6360068 -23.5389027, -46.6360808 -23.5389477)",50,,,
333520073,True,3,Avenida Senador Queirós,primary,False,22.359,"LINESTRING (-46.6361063 -23.539082, -46.636275 -23.5392105)",50,,,
333520074,True,2,Avenida Cásper Líbero,secondary,False,15.158,"LINESTRING (-46.6361063 -23.539082, -46.6360808 -23.5389477)",,,,
424572740,True,4,Avenida Senador Queirós,primary,False,38.760999999999996,"LINESTRING (-46.6333347 -23.5393741, -46.6334521 -23.5393751, -46.6335929 -23.5393732, -46.6337149 -23.5393724)",50,,,
"[873116897, 255818937, 191591108, 49436031]",True,"['1', '2']","['Avenida Cásper Líbero', 'Rua Mauá']","['secondary', 'tertiary']",False,211.55,"LINESTRING (-46.6369291 -23.5350281, -46.6369012 -23.5350352, -46.6368222 -23.5350553, -46.6362709 -23.5351969, -46.6358224 -23.535304, -46.6356891 -23.5353366, -46.635608 -23.5353557, -46.6355386 -23.5353834, -46.6355096 -23.5354084, -46.6354854 -23.535439, -46.6354627 -23.5355166, -46.6355549 -23.5358333, -46.6355783 -23.5359268)",,,no,
"[866181884, 866181885, 91862092]",True,2,"['Viaduto General Couto de Magalhães', 'Rua Mauá']",secondary,False,67.62100000000001,"LINESTRING (-46.6369291 -23.5350281, -46.6369038 -23.5349852, -46.6369003 -23.5349792, -46.6368781 -23.5349227, -46.6367543 -23.5345033, -46.6367501 -23.5344894, -46.6367374 -23.5344474)",,viaduct,,
230634580,True,,Rua General Couto de Magalhães,residential,False,44.747,"LINESTRING (-46.6370875 -23.5351496, -46.6370865 -23.5352433, -46.6370837 -23.5354828, -46.6370829 -23.535552)",,,,
"[237876576, 1031640107]",True,2,Rua Mauá,secondary,False,21.273,"LINESTRING (-46.6370875 -23.5351496, -46.6370704 -23.5351437, -46.6369794 -23.5350811, -46.6369291 -23.5350281)",,,,
237876576,True,2,Rua Mauá,secondary,False,25.858,"LINESTRING (-46.6379045 -23.5351586, -46.637837 -23.5351617, -46.637651 -23.5351661)",,,,
1031640105,True,2,Rua Mauá,secondary,False,53.557,"LINESTRING (-46.6384288 -23.5351281, -46.6380474 -23.5351503, -46.6379045 -23.5351586)",,,,
"[184935441, 285514959]",True,3,Rua Ribeiro de Lima,secondary,False,210.01800000000003,"LINESTRING (-46.6328498 -23.5324023, -46.6330107 -23.5323621, -46.6336258 -23.5322199, -46.6337369 -23.5321943, -46.6337979 -23.5321822, -46.6338864 -23.5321708, -46.6339563 -23.5321662, -46.6340351 -23.5321638, -46.6341833 -23.5321621, -46.6342537 -23.532162, -46.6343278 -23.5321518, -46.6344045 -23.5321319, -46.634526 -23.5321012, -46.6346665 -23.5320645, -46.6347066 -23.5320445, -46.6347448 -23.5320132, -46.6347867 -23.531975, -46.634813 -23.5319446)",50,,,
