osmid,name,highway,oneway,reversed,length,junction,bridge,geometry
96524085,Rua Maximiano da Fonseca,residential,False,False,158.301,,,"LINESTRING (-56.3325024 -14.7225778, -56.3314184 -14.7216147)"
96524085,Rua Maximiano da Fonseca,residential,False,True,117.009,,,"LINESTRING (-56.3325024 -14.7225778, -56.3333 -14.7232935)"
96524094,Avenida Tancredo Neves,residential,False,False,148.463,,,"LINESTRING (-56.3325024 -14.7225778, -56.3312272 -14.7230892)"
96524094,Avenida Tancredo Neves,residential,False,True,140.892,,,"LINESTRING (-56.3325024 -14.7225778, -56.3337233 -14.7221183)"
96524109,,residential,False,False,25.723,,,"LINESTRING (-56.3308938 -14.7183333, -56.3306902 -14.7184547)"
96524109,,residential,False,True,12.401,,,"LINESTRING (-56.3308938 -14.7183333, -56.3309069 -14.7182225)"
496404687,,tertiary,True,False,3.085,roundabout,,"LINESTRING (-56.3354778 -14.7185946, -56.3354577 -14.7186144)"
96524074,Rua Almerinda R. da Silva,residential,False,False,111.27,,,"LINESTRING (-56.3319222 -14.7238305, -56.3312272 -14.7230892)"
533259312,Rua Mato Grosso,residential,False,False,159.753,,,"LINESTRING (-56.3319222 -14.7238305, -56.3333 -14.7232935)"
96524085,Rua Maximiano da Fonseca,residential,False,False,121.719,,,"LINESTRING (-56.3341324 -14.7240352, -56.3333 -14.7232935)"
96524102,Rua Niva Matos de Oliveira,residential,False,True,191.754,,,"LINESTRING (-56.3341324 -14.7240352, -56.3357838 -14.7233849)"
"[96524128, 96524107, 96524086]","['Rua Pará', 'Rua Francisco Rondon']",residential,False,False,331.684,,yes,"LINESTRING (-56.3321362 -14.7156063, -56.3326766 -14.7162092, -56.332777 -14.7163447, -56.3328367 -14.7164751, -56.3328642 -14.7166449, -56.3328509 -14.7169335, -56.332834 -14.7172432, -56.3327515 -14.7177916, -56.332661 -14.7182338, -56.3326257 -14.7183276)"
96524111,,residential,False,False,196.911,,,"LINESTRING (-56.3337489 -14.7185053, -56.3326812 -14.7199439)"
96524111,,residential,False,True,12.476,,,"LINESTRING (-56.3337489 -14.7185053, -56.3337651 -14.7183942)"
96598106,Avenida Juscelino Kubistchek,tertiary,True,False,125.167,,,"LINESTRING (-56.3337489 -14.7185053, -56.3325885 -14.7184188)"
96524077,Avenida Marechal Rondon,residential,False,False,131.754,,,"LINESTRING (-56.3347629 -14.7227452, -56.3337233 -14.7221183)"
96524077,Avenida Marechal Rondon,residential,False,True,130.82,,,"LINESTRING (-56.3347629 -14.7227452, -56.3357838 -14.7233849)"
533259312,Rua Mato Grosso,residential,False,False,124.787,,,"LINESTRING (-56.3347629 -14.7227452, -56.3358387 -14.7223247)"
