osmid,name,highway,oneway,reversed,length,geometry,bridge,junction
169053987,Rua Antônio Moraes Cardoso,residential,False,False,86.008,"LINESTRING (-46.5252864 -22.5905402, -46.5259892 -22.5901192)",,
169297695,Rua Visconde do Rio Branco,residential,False,False,97.376,"LINESTRING (-46.5252864 -22.5905402, -46.5247849 -22.5897969)",,
169297695,Rua Visconde do Rio Branco,residential,False,True,57.403,"LINESTRING (-46.5252864 -22.5905402, -46.525387 -22.5907655, -46.5254353 -22.5909278, -46.5254563 -22.5910302)",,
168937563,Avenida Coronel Germano,tertiary,True,False,62.095,"LINESTRING (-46.5276243 -22.5895867, -46.5273089 -22.5891102)",,
169051927,Rua Doutor Luiz Piza,tertiary,False,False,65.917,"LINESTRING (-46.5276243 -22.5895867, -46.5275039 -22.5896826, -46.5272217 -22.5899075, -46.5271331 -22.5899681)",,
536789261,Praça Edwiges Fontana Coelho,residential,True,False,161.905,"LINESTRING (-46.5278754 -22.5899325, -46.5279619 -22.5898778, -46.5280706 -22.5898307, -46.5281826 -22.5898066, -46.5285614 -22.589627, -46.5287639 -22.5895038, -46.5288752 -22.5894072, -46.5292378 -22.5892189)",,
"[855818099, 855818100, 168937559]",Rua Padre Atônio Sampaio,residential,True,False,46.302,"LINESTRING (-46.5278754 -22.5899325, -46.5278573 -22.5899084, -46.5277054 -22.589696, -46.5276535 -22.5896227, -46.5276243 -22.5895867)",yes,
654060620,Avenida Bernardino de Campos,tertiary,False,True,10.462,"LINESTRING (-46.5255047 -22.5940026, -46.5254028 -22.5940016)",,
858841480,Avenida Bernardino de Campos,tertiary,True,False,20.948,"LINESTRING (-46.5255047 -22.5940026, -46.5255241 -22.593978, -46.5255382 -22.5939672, -46.5255657 -22.593953, -46.5256796 -22.5939146)",,
275127515,Rua 13 de Maio,tertiary,True,False,41.527,"LINESTRING (-46.5287949 -22.5932489, -46.5287093 -22.5928839)",,
654060589,,tertiary,True,False,4.445,"LINESTRING (-46.529264 -22.5892501, -46.5292482 -22.5892364, -46.5292378 -22.5892189)",,roundabout
169051904,Avenida XV de Agosto,tertiary,False,True,282.45399999999995,"LINESTRING (-46.5295277 -22.588993, -46.5297013 -22.5886311, -46.5297932 -22.5883628, -46.5298273 -22.5880627, -46.5298282 -22.5877779, -46.5298153 -22.5875526, -46.5297334 -22.5872716, -46.5295337 -22.5865345)",,
654060586,Avenida XV de Agosto,tertiary,True,False,29.791,"LINESTRING (-46.5295277 -22.588993, -46.5294901 -22.5890673, -46.5294177 -22.5891689, -46.5293695 -22.5892153)",,
169051932,Rua Padre Antônio Sampaio,residential,True,False,76.32,"LINESTRING (-46.528304 -22.5904933, -46.5278754 -22.5899325)",,
169051935,Rua José Bonifacio,residential,True,False,100.482,"LINESTRING (-46.5296327 -22.5927817, -46.5287949 -22.5932489)",,
223615981,Rua Antônio Pereira Pinto,residential,False,False,82.457,"LINESTRING (-46.5290576 -22.5872678, -46.5283858 -22.5876742)",,
169051927,Rua Doutor Luiz Piza,tertiary,False,False,187.727,"LINESTRING (-46.5271331 -22.5899681, -46.5270258 -22.5900548, -46.5269816 -22.590139, -46.5269762 -22.5902715, -46.5271077 -22.5915964)",,
169051927,Rua Doutor Luiz Piza,tertiary,False,True,65.917,"LINESTRING (-46.5271331 -22.5899681, -46.5272217 -22.5899075, -46.5275039 -22.5896826, -46.5276243 -22.5895867)",,
