osmid,ref,name,highway,oneway,reversed,length,lanes,maxspeed,width,geometry
31619426,VRS-805,Rua Deputado Fernando Ferrari,secondary,False,False,149.364,,,,"LINESTRING (-54.1773192 -29.618644, -54.1766149 -29.6174484)"
947747867,,Rua Expedicionário Almeida,residential,False,False,101.656,,,,"LINESTRING (-54.1773192 -29.618644, -54.178251 -29.6182202)"
947747867,,Rua Expedicionário Almeida,residential,False,True,147.547,,,,"LINESTRING (-54.1773192 -29.618644, -54.1760087 -29.6193243)"
191081742,,Rua Siqueira Campos,residential,False,False,140.238,,,,"LINESTRING (-54.1835444 -29.6143506, -54.1828944 -29.6132231)"
191081742,,Rua Siqueira Campos,residential,False,True,87.736,,,,"LINESTRING (-54.1835444 -29.6143506, -54.1839319 -29.6150641)"
399677960,VRS-805,Rua Coronel Scherer,secondary,False,True,176.626,2,40,10,"LINESTRING (-54.1835444 -29.6143506, -54.1819193 -29.6150766)"
181353300,,Rua General Osório,residential,False,False,147.156,,,10,"LINESTRING (-54.1797504 -29.6145698, -54.1804129 -29.6157613)"
191081730,,Rua General Osório,residential,False,True,88.163,,,,"LINESTRING (-54.1797504 -29.6145698, -54.1793245 -29.6138687)"
202092874,,Rua Valério Paiva,residential,False,False,174.721,,,,"LINESTRING (-54.1797504 -29.6145698, -54.1781491 -29.6152985)"
570574450,,Rua Valério Paiva,residential,False,True,81.804,,,,"LINESTRING (-54.1797504 -29.6145698, -54.1805094 -29.6142445)"
191081735,,Rua Jerônimo Gomes,residential,False,True,146.553,,,,"LINESTRING (-54.1819193 -29.6150766, -54.1826177 -29.6162464)"
202092879,,Rua Jerônimo Gomes,residential,False,False,145.512,,,,"LINESTRING (-54.1819193 -29.6150766, -54.181243 -29.6139075)"
399677960,VRS-805,Rua Coronel Scherer,secondary,False,False,176.626,2,40,10,"LINESTRING (-54.1819193 -29.6150766, -54.1835444 -29.6143506)"
399677960,VRS-805,Rua Coronel Scherer,secondary,False,True,164.324,2,40,10,"LINESTRING (-54.1819193 -29.6150766, -54.1804129 -29.6157613)"
181353300,,Rua General Osório,residential,False,False,146.519,,,10,"LINESTRING (-54.1804129 -29.6157613, -54.1810982 -29.6169366)"
181353300,,Rua General Osório,residential,False,True,147.156,,,10,"LINESTRING (-54.1804129 -29.6157613, -54.1797504 -29.6145698)"
399677960,VRS-805,Rua Coronel Scherer,secondary,False,False,164.324,2,40,10,"LINESTRING (-54.1804129 -29.6157613, -54.1819193 -29.6150766)"
399677960,VRS-805,Rua Coronel Scherer,secondary,False,True,172.254,2,40,10,"LINESTRING (-54.1804129 -29.6157613, -54.1788237 -29.616462)"
191081690,,Rua Prefeito Werner Doeler,residential,False,False,144.882,,,,"LINESTRING (-54.1788237 -29.616462, -54.1781491 -29.6152985)"
191081690,,Rua Prefeito Werner Doeler,residential,False,True,146.029,,,,"LINESTRING (-54.1788237 -29.616462, -54.1795291 -29.6176233)"
399677960,VRS-805,Rua Coronel Scherer,secondary,False,False,172.254,2,40,10,"LINESTRING (-54.1788237 -29.616462, -54.1804129 -29.6157613)"
399677960,VRS-805,Rua Coronel Scherer,secondary,False,True,134.715,2,40,10,"LINESTRING (-54.1788237 -29.616462, -54.1775913 -29.6170276)"
191081731,,Rua Intendente Muller,residential,False,False,147.148,,,,"LINESTRING (-54.1775913 -29.6170276, -54.178251 -29.6182202)"
191081731,,Rua Intendente Muller,residential,False,True,150.342,,,,"LINESTRING (-54.1775913 -29.6170276, -54.176859 -29.6158348)"
399677960,VRS-805,Rua Coronel Scherer,secondary,False,False,134.715,2,40,10,"LINESTRING (-54.1775913 -29.6170276, -54.1788237 -29.616462)"
399677960,VRS-805,Rua Coronel Scherer,secondary,False,True,105.347,2,40,10,"LINESTRING (-54.1775913 -29.6170276, -54.1766149 -29.6174484)"
31619426,VRS-805,Rua Deputado Fernando Ferrari,secondary,False,True,149.364,,,,"LINESTRING (-54.1766149 -29.6174484, -54.1773192 -29.618644)"
399677957,,Rua Deputado Fernando Ferrari,tertiary,False,False,150.049,,,,"LINESTRING (-54.1766149 -29.6174484, -54.1759229 -29.6162405)"
399677960,VRS-805,Rua Coronel Scherer,secondary,False,False,105.347,2,40,10,"LINESTRING (-54.1766149 -29.6174484, -54.1775913 -29.6170276)"
555241116,,Rua Coronel Scherer,residential,False,True,99.797,,,10,"LINESTRING (-54.1766149 -29.6174484, -54.1756939 -29.6178539)"
181353300,,Rua General Osório,residential,False,True,105.171,,,10,"LINESTRING (-54.1815756 -29.6177865, -54.1810982 -29.6169366)"
399677953,,Rua 7 de Setembro,residential,False,False,166.415,,,,"LINESTRING (-54.1815756 -29.6177865, -54.1831045 -29.6170986)"
399677953,,Rua 7 de Setembro,residential,False,True,169.963,,,,"LINESTRING (-54.1815756 -29.6177865, -54.1800049 -29.6184734)"
"[570574474, 181353300]",,Rua General Osório,residential,False,False,145.123,,,10,"LINESTRING (-54.1815756 -29.6177865, -54.1819377 -29.6184161, -54.1822422 -29.6189559)"
202076403,,Rua Coronel Froelich,residential,False,True,132.701,,,,"LINESTRING (-54.1756939 -29.6178539, -54.1748191 -29.6169342)"
555241116,,Rua Coronel Scherer,residential,False,False,99.797,,,10,"LINESTRING (-54.1756939 -29.6178539, -54.1766149 -29.6174484)"
555241116,,Rua Coronel Scherer,residential,False,True,55.69,,,10,"LINESTRING (-54.1756939 -29.6178539, -54.1751865 -29.6180911)"
181353299,,Rua Coronel Scherer,residential,False,True,43.281,,,10,"LINESTRING (-54.1751865 -29.6180911, -54.1747812 -29.6182565)"
191081743,,Rua General Canabarro,residential,False,True,158.494,,,,"LINESTRING (-54.1751865 -29.6180911, -54.1760087 -29.6193243)"
555241116,,Rua Coronel Scherer,residential,False,False,55.69,,,10,"LINESTRING (-54.1751865 -29.6180911, -54.1756939 -29.6178539)"
181353299,,Rua Coronel Scherer,residential,False,False,43.281,,,10,"LINESTRING (-54.1747812 -29.6182565, -54.1751865 -29.6180911)"
181353299,,Rua Coronel Scherer,residential,False,True,65.435,,,10,"LINESTRING (-54.1747812 -29.6182565, -54.1741825 -29.6185311)"
202076414,,Rua Armindo Valdemar Werberich,residential,False,True,111.195,,,,"LINESTRING (-54.1747812 -29.6182565, -54.1740467 -29.6174869)"
181353299,,Rua Coronel Scherer,residential,False,False,65.435,,,10,"LINESTRING (-54.1741825 -29.6185311, -54.1747812 -29.6182565)"
191081749,,Rua Marechal Floriano Peixoto,residential,False,False,169.853,,,,"LINESTRING (-54.1822422 -29.6189559, -54.1806892 -29.6196705)"
191081749,,Rua Marechal Floriano Peixoto,residential,False,True,170.677,,,,"LINESTRING (-54.1822422 -29.6189559, -54.1838206 -29.618268)"
"[570574474, 181353300]",,Rua General Osório,residential,False,True,145.123,,,10,"LINESTRING (-54.1822422 -29.6189559, -54.1819377 -29.6184161, -54.1815756 -29.6177865)"
191081740,,Rua Olavio Rosa,residential,False,True,100.917,,,,"LINESTRING (-54.1750981 -29.6147936, -54.1760325 -29.6143889)"
399677957,,Rua Deputado Fernando Ferrari,tertiary,False,False,115.896,,,,"LINESTRING (-54.1750981 -29.6147936, -54.1745523 -29.6138656)"
399677957,,Rua Deputado Fernando Ferrari,tertiary,False,True,179.561,,,,"LINESTRING (-54.1750981 -29.6147936, -54.1759229 -29.6162405)"
191081731,,Rua Intendente Muller,residential,False,False,179.535,,,,"LINESTRING (-54.1760325 -29.6143889, -54.176859 -29.6158348)"
191081731,,Rua Intendente Muller,residential,False,True,118.565,,,,"LINESTRING (-54.1760325 -29.6143889, -54.175476 -29.6134387)"
191081740,,Rua Olavio Rosa,residential,False,False,100.917,,,,"LINESTRING (-54.1760325 -29.6143889, -54.1750981 -29.6147936)"
191081740,,Rua Olavio Rosa,residential,False,True,137.203,,,,"LINESTRING (-54.1760325 -29.6143889, -54.1772975 -29.6138294)"
399677953,,Rua 7 de Setembro,residential,False,False,100.74600000000001,,,,"LINESTRING (-54.1777982 -29.6194442, -54.1779176 -29.6193891, -54.1786198 -29.6190806, -54.1787311 -29.619041)"
495506617,,Rua 15 de Novembro,secondary,True,False,100.30499999999999,,,,"LINESTRING (-54.1777982 -29.6194442, -54.1777334 -29.6193359, -54.1773192 -29.618644)"
191081742,,Rua Siqueira Campos,residential,False,True,140.238,,,,"LINESTRING (-54.1828944 -29.6132231, -54.1835444 -29.6143506)"
570574457,,Rua Siqueira Campos,residential,False,False,4.073,,,,"LINESTRING (-54.1828944 -29.6132231, -54.1828752 -29.6131905)"
191081730,,Rua General Osório,residential,False,False,91.714,,,,"LINESTRING (-54.1789055 -29.6131287, -54.1793245 -29.6138687)"
202092870,,,residential,False,True,81.949,,,,"LINESTRING (-54.1789055 -29.6131287, -54.1796538 -29.6127824)"
570574448,,Rua Olavio Rosa,residential,False,False,173.88,,,,"LINESTRING (-54.1789055 -29.6131287, -54.1772975 -29.6138294)"
570574451,,Rua General Osório,residential,False,True,115.666,,,,"LINESTRING (-54.1789055 -29.6131287, -54.1783553 -29.612205)"
399677953,,Rua 7 de Setembro,residential,False,False,138.366,,,,"LINESTRING (-54.1787311 -29.619041, -54.1800049 -29.6184734)"
399677953,,Rua 7 de Setembro,residential,False,True,100.74600000000001,,,,"LINESTRING (-54.1787311 -29.619041, -54.1786198 -29.6190806, -54.1779176 -29.6193891, -54.1777982 -29.6194442)"
399677964,,Rua Dom Pedro II,residential,False,False,176.389,,,,"LINESTRING (-54.1814831 -29.6107898, -54.1811827 -29.6109262, -54.1806141 -29.6111851, -54.1798702 -29.6115314)"
"[202092882, 570574455]",,Rua Siqueira Campos,residential,False,True,206.011,,,,"LINESTRING (-54.1814831 -29.6107898, -54.1819927 -29.6116952, -54.1824339 -29.6124478)"
191081735,,Rua Jerônimo Gomes,residential,False,False,147.309,,,,"LINESTRING (-54.1838206 -29.618268, -54.1831045 -29.6170986)"
191081749,,Rua Marechal Floriano Peixoto,residential,False,False,170.677,,,,"LINESTRING (-54.1838206 -29.618268, -54.1822422 -29.6189559)"
191081731,,Rua Intendente Muller,residential,False,True,147.148,,,,"LINESTRING (-54.178251 -29.6182202, -54.1775913 -29.6170276)"
399677962,,Rua Silva Jardim,residential,True,False,102.391,,,,"LINESTRING (-54.178251 -29.6182202, -54.1787311 -29.619041)"
947747867,,Rua Expedicionário Almeida,residential,False,False,140.249,,,,"LINESTRING (-54.178251 -29.6182202, -54.1795291 -29.6176233)"
947747867,,Rua Expedicionário Almeida,residential,False,True,101.656,,,,"LINESTRING (-54.178251 -29.6182202, -54.1773192 -29.618644)"
825289716,,,residential,False,True,30.124,,,,"LINESTRING (-54.1740561 -29.6129946, -54.1743345 -29.6128729)"
399677957,,Rua Deputado Fernando Ferrari,tertiary,False,True,108.08,,,,"LINESTRING (-54.1740561 -29.6129946, -54.1741955 -29.6132348, -54.1745523 -29.6138656)"
191081735,,Rua Jerônimo Gomes,residential,False,False,105.802,,,,"LINESTRING (-54.1831045 -29.6170986, -54.1826177 -29.6162464)"
191081735,,Rua Jerônimo Gomes,residential,False,True,147.309,,,,"LINESTRING (-54.1831045 -29.6170986, -54.1838206 -29.618268)"
399677953,,Rua 7 de Setembro,residential,False,True,166.415,,,,"LINESTRING (-54.1831045 -29.6170986, -54.1815756 -29.6177865)"
191081690,,Rua Prefeito Werner Doeler,residential,False,False,182.928,,,,"LINESTRING (-54.1781491 -29.6152985, -54.1772975 -29.6138294)"
191081690,,Rua Prefeito Werner Doeler,residential,False,True,144.882,,,,"LINESTRING (-54.1781491 -29.6152985, -54.1788237 -29.616462)"
202092874,,Rua Valério Paiva,residential,False,False,138.237,,,,"LINESTRING (-54.1781491 -29.6152985, -54.176859 -29.6158348)"
202092874,,Rua Valério Paiva,residential,False,True,174.721,,,,"LINESTRING (-54.1781491 -29.6152985, -54.1797504 -29.6145698)"
191081690,,Rua Prefeito Werner Doeler,residential,False,False,148.641,,,,"LINESTRING (-54.1806892 -29.6196705, -54.1800049 -29.6184734)"
191081749,,Rua Marechal Floriano Peixoto,residential,False,True,169.853,,,,"LINESTRING (-54.1806892 -29.6196705, -54.1822422 -29.6189559)"
191081735,,Rua Jerônimo Gomes,residential,False,False,146.553,,,,"LINESTRING (-54.1826177 -29.6162464, -54.1819193 -29.6150766)"
191081735,,Rua Jerônimo Gomes,residential,False,True,105.802,,,,"LINESTRING (-54.1826177 -29.6162464, -54.1831045 -29.6170986)"
947747867,,Rua Expedicionário Almeida,residential,False,True,165.741,,,,"LINESTRING (-54.1826177 -29.6162464, -54.1811905 -29.6168895, -54.1810982 -29.6169366)"
399677964,,Rua Dom Pedro II,residential,False,False,169.351,,,,"LINESTRING (-54.1783553 -29.612205, -54.1767825 -29.6128757)"
399677964,,Rua Dom Pedro II,residential,False,True,79.754,,,,"LINESTRING (-54.1783553 -29.612205, -54.1790852 -29.6118707)"
570574451,,Rua General Osório,residential,False,False,115.666,,,,"LINESTRING (-54.1783553 -29.612205, -54.1789055 -29.6131287)"
825289517,,Rua General Osório,residential,False,True,103.624,,,,"LINESTRING (-54.1783553 -29.612205, -54.1778791 -29.6113701)"
191081690,,Rua Prefeito Werner Doeler,residential,False,False,105.123,,,,"LINESTRING (-54.1800049 -29.6184734, -54.1795291 -29.6176233)"
191081690,,Rua Prefeito Werner Doeler,residential,False,True,148.641,,,,"LINESTRING (-54.1800049 -29.6184734, -54.1806892 -29.6196705)"
399677953,,Rua 7 de Setembro,residential,False,False,169.963,,,,"LINESTRING (-54.1800049 -29.6184734, -54.1815756 -29.6177865)"
399677953,,Rua 7 de Setembro,residential,False,True,138.366,,,,"LINESTRING (-54.1800049 -29.6184734, -54.1787311 -29.619041)"
191081690,,Rua Prefeito Werner Doeler,residential,False,False,146.029,,,,"LINESTRING (-54.1795291 -29.6176233, -54.1788237 -29.616462)"
191081690,,Rua Prefeito Werner Doeler,residential,False,True,105.123,,,,"LINESTRING (-54.1795291 -29.6176233, -54.1800049 -29.6184734)"
947747867,,Rua Expedicionário Almeida,residential,False,False,169.816,,,,"LINESTRING (-54.1795291 -29.6176233, -54.1810982 -29.6169366)"
947747867,,Rua Expedicionário Almeida,residential,False,True,140.249,,,,"LINESTRING (-54.1795291 -29.6176233, -54.178251 -29.6182202)"
202092866,,Rua Dom Pedro II,residential,False,False,140.964,,,,"LINESTRING (-54.1767825 -29.6128757, -54.175476 -29.6134387)"
202092868,,Rua Prefeito Werner Doeler,residential,False,True,117.152,,,,"LINESTRING (-54.1767825 -29.6128757, -54.1772975 -29.6138294)"
399677964,,Rua Dom Pedro II,residential,False,True,169.351,,,,"LINESTRING (-54.1767825 -29.6128757, -54.1783553 -29.612205)"
181353300,,Rua General Osório,residential,False,False,105.171,,,10,"LINESTRING (-54.1810982 -29.6169366, -54.1815756 -29.6177865)"
181353300,,Rua General Osório,residential,False,True,146.519,,,10,"LINESTRING (-54.1810982 -29.6169366, -54.1804129 -29.6157613)"
947747867,,Rua Expedicionário Almeida,residential,False,True,169.816,,,,"LINESTRING (-54.1810982 -29.6169366, -54.1795291 -29.6176233)"
947747867,,Rua Expedicionário Almeida,residential,False,False,165.741,,,,"LINESTRING (-54.1810982 -29.6169366, -54.1811905 -29.6168895, -54.1826177 -29.6162464)"
191081743,,Rua General Canabarro,residential,False,False,158.494,,,,"LINESTRING (-54.1760087 -29.6193243, -54.1751865 -29.6180911)"
947747867,,Rua Expedicionário Almeida,residential,False,False,147.547,,,,"LINESTRING (-54.1760087 -29.6193243, -54.1773192 -29.618644)"
191081690,,Rua Prefeito Werner Doeler,residential,False,True,182.928,,,,"LINESTRING (-54.1772975 -29.6138294, -54.1781491 -29.6152985)"
191081740,,Rua Olavio Rosa,residential,False,False,137.203,,,,"LINESTRING (-54.1772975 -29.6138294, -54.1760325 -29.6143889)"
202092868,,Rua Prefeito Werner Doeler,residential,False,False,117.152,,,,"LINESTRING (-54.1772975 -29.6138294, -54.1767825 -29.6128757)"
570574448,,Rua Olavio Rosa,residential,False,True,173.88,,,,"LINESTRING (-54.1772975 -29.6138294, -54.1789055 -29.6131287)"
191081731,,Rua Intendente Muller,residential,False,False,150.342,,,,"LINESTRING (-54.176859 -29.6158348, -54.1775913 -29.6170276)"
191081731,,Rua Intendente Muller,residential,False,True,179.535,,,,"LINESTRING (-54.176859 -29.6158348, -54.1760325 -29.6143889)"
202092874,,Rua Valério Paiva,residential,False,False,101.112,,,,"LINESTRING (-54.176859 -29.6158348, -54.1759229 -29.6162405)"
202092874,,Rua Valério Paiva,residential,False,True,138.237,,,,"LINESTRING (-54.176859 -29.6158348, -54.1781491 -29.6152985)"
191081731,,Rua Intendente Muller,residential,False,False,118.565,,,,"LINESTRING (-54.175476 -29.6134387, -54.1760325 -29.6143889)"
202092866,,Rua Dom Pedro II,residential,False,True,140.964,,,,"LINESTRING (-54.175476 -29.6134387, -54.1767825 -29.6128757)"
825289516,,,residential,False,True,17.258,,,,"LINESTRING (-54.175476 -29.6134387, -54.1753162 -29.6135079)"
399677957,,Rua Deputado Fernando Ferrari,tertiary,False,True,115.896,,,,"LINESTRING (-54.1745523 -29.6138656, -54.1750981 -29.6147936)"
