osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,junction
240874847,True,1,Estrada Geral Serril,tertiary,False,19.828000000000003,"LINESTRING (-50.1180561 -27.4814121, -50.1181336 -27.4814382, -50.1181627 -27.481448, -50.118244 -27.4814754)",,,
1120367063,False,,Avenida Luiz Deboite,tertiary,True,179.279,"LINESTRING (-50.1180561 -27.4814121, -50.1176161 -27.4811458, -50.116614 -27.480579, -50.1165276 -27.4805413)",,,
277068912,False,2,Rodovia Coronel Aristiliano Laureano Ramos,primary,False,22.678,"LINESTRING (-50.1185284 -27.4806253, -50.1185862 -27.4804279)",SC-114,50,
240874840,True,1,Rodovia Coronel Aristiliano Laureano Ramos,primary,False,102.454,"LINESTRING (-50.1185284 -27.4806253, -50.1184112 -27.481155, -50.1184016 -27.4813548, -50.1184007 -27.4815364)",SC-114,50,
305812306,True,1,Rodovia Coronel Aristiliano Laureano Ramos,primary,False,98.602,"LINESTRING (-50.118244 -27.4814754, -50.1182863 -27.481349, -50.1185284 -27.4806253)",SC-114,40,
305812315,True,2,,primary_link,False,18.214,"LINESTRING (-50.118244 -27.4814754, -50.1182899 -27.4814711, -50.1183348 -27.4814809, -50.1183732 -27.4815035, -50.1184007 -27.4815364)",,,
277069680,False,,Rua Arina Gomes de Liz,tertiary,True,156.999,"LINESTRING (-50.1184007 -27.4815364, -50.1198432 -27.4809399)",,,
1087302159,True,1,Rodovia Coronel Aristiliano Laureano Ramos,primary,False,24.59,"LINESTRING (-50.1184007 -27.4815364, -50.1184123 -27.4817573)",SC-114,50,
305812304,True,2,Rodovia Coronel Aristiliano Laureano Ramos,primary,False,28.586,"LINESTRING (-50.1181562 -27.4817204, -50.118244 -27.4814754)",SC-114,40,
240874846,True,1,Estrada Geral Serril,tertiary,False,35.859,"LINESTRING (-50.1181562 -27.4817204, -50.1181188 -27.4815738, -50.1180956 -27.4814831, -50.1180561 -27.4814121)",,,
941643961,True,1,Rodovia Coronel Aristiliano Laureano Ramos,primary,False,32.433,"LINESTRING (-50.1184123 -27.4817573, -50.118364 -27.4819001, -50.118257 -27.4820065)",SC-114,50,
1058670978,True,1,Rua Vidal Ramos Júnior,tertiary,False,75.04599999999999,"LINESTRING (-50.1184123 -27.4817573, -50.1184408 -27.4818715, -50.1185079 -27.4820843, -50.1185714 -27.482286, -50.1185912 -27.482367, -50.1185813 -27.4824108)",,40,
305812303,True,3,Rodovia Coronel Aristiliano Laureano Ramos,primary,False,20.75,"LINESTRING (-50.1180945 -27.4818988, -50.1181562 -27.4817204)",SC-114,40,
