osmid,name,highway,oneway,reversed,length,bridge,lanes,ref,geometry
351611592,Rua Antônio Ibiapino,residential,False,False,39.441,,,,"LINESTRING (-41.4832362 -7.4441712, -41.4833849 -7.4444938)"
126551583,Rua do Calçamento,residential,False,False,33.025,,,,"LINESTRING (-41.4819752 -7.4458254, -41.4821013 -7.4460948)"
587760419,Avenida Tancredo Neves,primary,False,True,34.109,yes,1,BR-020;PI-245,"LINESTRING (-41.4819752 -7.4458254, -41.4817219 -7.4460015)"
1059420911,Avenida Tancredo Neves,primary,False,False,116.318,,,BR-020;PI-245,"LINESTRING (-41.4819752 -7.4458254, -41.4822437 -7.4456302, -41.4824354 -7.4455135, -41.4827136 -7.4453796, -41.4828826 -7.4452983)"
351611592,Rua Antônio Ibiapino,residential,False,True,22.072,,,,"LINESTRING (-41.4836101 -7.4449584, -41.4835217 -7.4447803)"
611882345,Avenida Tancredo Neves,primary,False,True,88.671,,,BR-020;PI-245,"LINESTRING (-41.4836101 -7.4449584, -41.4828826 -7.4452983)"
481524443,Rua Valentin Dantas,residential,False,False,99.459,,,,"LINESTRING (-41.477272 -7.4505515, -41.4764068 -7.4502984)"
587760421,Avenida Tibério Nunes,primary,False,False,78.868,,,BR-020;PI-245,"LINESTRING (-41.477272 -7.4505515, -41.4777554 -7.4500287)"
587760422,Rua Valentin Dantas,primary,False,True,60.64,,,BR-020;PI-245,"LINESTRING (-41.477272 -7.4505515, -41.4776952 -7.4508998)"
241953598,Avenida Tibério Nunes,tertiary,False,True,98.00800000000001,,,PI-379,"LINESTRING (-41.477272 -7.4505515, -41.4768237 -7.4510619, -41.4766864 -7.4512146)"
241953599,Rua Julião Leonel,residential,False,False,30.882,,,,"LINESTRING (-41.4760677 -7.4518813, -41.4762804 -7.452062)"
241953599,Rua Julião Leonel,residential,False,True,67.134,,,,"LINESTRING (-41.4760677 -7.4518813, -41.4756411 -7.4514505)"
241953598,Avenida Tibério Nunes,tertiary,False,False,100.74300000000001,,,PI-379,"LINESTRING (-41.4760677 -7.4518813, -41.4761512 -7.4517911, -41.4766864 -7.4512146)"
241953596,Rua Alonso Gomes Campos,residential,False,False,35.749,,,,"LINESTRING (-41.47837 -7.4526267, -41.4781199 -7.4524221)"
241953596,Rua Alonso Gomes Campos,residential,False,False,46.394,,,,"LINESTRING (-41.4774359 -7.4518433, -41.4771157 -7.4515726)"
241953596,Rua Alonso Gomes Campos,residential,False,True,99.144,,,,"LINESTRING (-41.4774359 -7.4518433, -41.4781199 -7.4524221)"
351611597,,residential,False,True,96.846,,,,"LINESTRING (-41.4774359 -7.4518433, -41.4780153 -7.4511887)"
241953596,Rua Alonso Gomes Campos,residential,False,True,61.847,,,,"LINESTRING (-41.4766864 -7.4512146, -41.4771157 -7.4515726)"
241953596,Rua Alonso Gomes Campos,residential,False,False,80.554,,,,"LINESTRING (-41.4766864 -7.4512146, -41.4763513 -7.4509146, -41.4761094 -7.4507765)"
241953598,Avenida Tibério Nunes,tertiary,False,False,98.00800000000001,,,PI-379,"LINESTRING (-41.4766864 -7.4512146, -41.4768237 -7.4510619, -41.477272 -7.4505515)"
241953598,Avenida Tibério Nunes,tertiary,False,True,100.74300000000001,,,PI-379,"LINESTRING (-41.4766864 -7.4512146, -41.4761512 -7.4517911, -41.4760677 -7.4518813)"
241953596,Rua Alonso Gomes Campos,residential,False,True,80.554,,,,"LINESTRING (-41.4761094 -7.4507765, -41.4763513 -7.4509146, -41.4766864 -7.4512146)"
241953599,Rua Julião Leonel,residential,False,False,19.014,,,,"LINESTRING (-41.4755144 -7.4513345, -41.4756411 -7.4514505)"
338325516,Rua Expedito Geraldo dos Santos,residential,False,False,22.424,,,,"LINESTRING (-41.4839563 -7.4504297, -41.4837745 -7.4503393)"
587760435,Rua São José,residential,False,False,110.067,,,,"LINESTRING (-41.4825882 -7.450518, -41.4821315 -7.4513982)"
587760435,Rua São José,residential,False,True,29.758,,,,"LINESTRING (-41.4825882 -7.450518, -41.4827164 -7.4502825)"
351611581,Rua Raimundo Sousa Santos,residential,False,False,249.05200000000002,,,,"LINESTRING (-41.4825882 -7.450518, -41.4814613 -7.4498519, -41.4813191 -7.4497818, -41.4811738 -7.4497177, -41.4806443 -7.4493809)"
351611588,,residential,False,True,61.393,,,,"LINESTRING (-41.4812066 -7.4463969, -41.4807804 -7.4460416)"
351611596,Rua Bernardino Santos,residential,False,False,37.222,,,,"LINESTRING (-41.4812066 -7.4463969, -41.4814662 -7.4461829)"
351611596,Rua Bernardino Santos,residential,False,True,23.089,,,,"LINESTRING (-41.4812066 -7.4463969, -41.481054 -7.4465391)"
338325516,Rua Expedito Geraldo dos Santos,residential,False,True,115.512,,,,"LINESTRING (-41.4827301 -7.4502573, -41.4837745 -7.4503393)"
587760435,Rua São José,residential,False,False,3.183,,,,"LINESTRING (-41.4827301 -7.4502573, -41.4827164 -7.4502825)"
"[587760435, 351611580]","['Rua Agnelo de Andrade', 'Rua São José']",residential,False,True,272.689,,,,"LINESTRING (-41.4827301 -7.4502573, -41.4828452 -7.4500348, -41.4816633 -7.4493486, -41.4812602 -7.4492665, -41.4808843 -7.4490399)"
