osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,service,access
40532189,2,Travessa Barão de Mamoré,tertiary,False,False,44.179,,"LINESTRING (-48.4657366 -1.4545112, -48.4657271 -1.4549084)",,
31003449,1,Avenida Gentil Bittencourt,tertiary,True,False,149.525,40,"LINESTRING (-48.4657366 -1.4545112, -48.4648027 -1.4546003, -48.4643959 -1.4546132)",,
651978027,3,Avenida Almirante Barroso,trunk,True,False,29.49,50,"LINESTRING (-48.4663642 -1.448296, -48.4662189 -1.4480741)",,
651978028,3,Avenida Ceará,primary,True,False,8.983,50,"LINESTRING (-48.4663642 -1.448296, -48.466445 -1.4482972)",,
"[993985859, 25171652]",2,Avenida Almirante Barroso,primary,True,False,206.118,50,"LINESTRING (-48.467397 -1.4498355, -48.4668721 -1.4490537, -48.4664465 -1.4484182, -48.4663642 -1.448296)",,
32866093,2,Avenida Cipriano Santos,primary,True,False,108.70899999999999,50,"LINESTRING (-48.467397 -1.4498355, -48.4666545 -1.4498143, -48.4665534 -1.4498114, -48.4664907 -1.4498072, -48.4664197 -1.4498023)",,
32866093,2,Avenida Cipriano Santos,primary,True,False,96.19,50,"LINESTRING (-48.4653219 -1.4496352, -48.4644652 -1.4495133)",,
40532181,,Travessa Primeira de Queluz,living_street,False,False,156.18699999999998,,"LINESTRING (-48.4653219 -1.4496352, -48.4653524 -1.4501666, -48.4653671 -1.4505433, -48.4653591 -1.4510386)",,
362420675,,Rua Farias de Brito,residential,False,False,63.521,,"LINESTRING (-48.4667672 -1.4519349, -48.4673385 -1.4519221)",,
354703099,,Rua Floriano Peixoto,residential,False,False,67.732,,"LINESTRING (-48.4667672 -1.4519349, -48.4667216 -1.452089, -48.4666881 -1.4521735, -48.46655 -1.4525033)",,
354703099,,Rua Floriano Peixoto,residential,False,True,89.646,,"LINESTRING (-48.4667672 -1.4519349, -48.4667927 -1.4517472, -48.4668101 -1.451597, -48.4668269 -1.451219, -48.4668283 -1.4511318)",,
361060425,4,Avenida José Bonifácio,secondary,True,False,71.07,40,"LINESTRING (-48.4689526 -1.4519457, -48.4689693 -1.4515887, -48.468975 -1.451307)",,
"[362420675, 742452630]",,Rua Farias de Brito,residential,False,True,179.457,,"LINESTRING (-48.4689526 -1.4519457, -48.4682848 -1.4519464, -48.4673385 -1.4519221)",,
40583338,,Rua Deodoro de Mendonça,residential,True,False,38.965,,"LINESTRING (-48.4676228 -1.4525261, -48.4677774 -1.4528406)",,
32922622,,Passagem Ismael de Castro,residential,False,False,119.279,,"LINESTRING (-48.4676228 -1.4525261, -48.466786 -1.45251, -48.46655 -1.4525033)",,
32922622,,Passagem Ismael de Castro,residential,False,True,119.279,,"LINESTRING (-48.46655 -1.4525033, -48.466786 -1.45251, -48.4676228 -1.4525261)",,
354703099,,Rua Floriano Peixoto,residential,False,False,30.266999999999996,,"LINESTRING (-48.46655 -1.4525033, -48.4664487 -1.4526226, -48.4663984 -1.4526816, -48.466381 -1.4527156)",,
354703099,,Rua Floriano Peixoto,residential,False,True,67.732,,"LINESTRING (-48.46655 -1.4525033, -48.4666881 -1.4521735, -48.4667216 -1.452089, -48.4667672 -1.4519349)",,
695496330,3,Avenida José Bonifácio,secondary,True,False,202.44,,"LINESTRING (-48.4690492 -1.4483677, -48.4691092 -1.4465481)",,
651988121,3,Avenida Governador José Malcher,primary,True,False,124.96800000000002,50,"LINESTRING (-48.4690492 -1.4483677, -48.4698379 -1.448372, -48.4700422 -1.4483716, -48.4701734 -1.4483726)",,
344887372,3,Travessa Castelo Branco,tertiary,True,False,22.45,50,"LINESTRING (-48.4709105 -1.4463999, -48.4709041 -1.4466017)",,
