osmid,name,highway,oneway,reversed,length,maxspeed,lanes,geometry,bridge
202009431,Avenida São Paulo,secondary,False,False,102.816,,,"LINESTRING (-50.6714534 -22.6079048, -50.670619 -22.6084163)",
908969973,Rua José Gonçalves de Mendonça,secondary,False,False,106.983,40,,"LINESTRING (-50.6714534 -22.6079048, -50.6708966 -22.6070915)",
202009436,Rua Marcilo Lourenço da Rosa,residential,False,True,106.426,,,"LINESTRING (-50.6708966 -22.6070915, -50.6700517 -22.6076462)",
908969973,Rua José Gonçalves de Mendonça,secondary,False,True,106.983,40,,"LINESTRING (-50.6708966 -22.6070915, -50.6714534 -22.6079048)",
202019616,Rua Monsenhor Marcilio Genoni,tertiary,False,True,27.642,,,"LINESTRING (-50.6716369 -22.6115596, -50.6714896 -22.6113515)",
202019638,Rua Pedro de Toledo,residential,False,False,104.814,30,2,"LINESTRING (-50.6677437 -22.6113566, -50.6671885 -22.6105655)",
202019638,Rua Pedro de Toledo,residential,False,True,106.631,30,2,"LINESTRING (-50.6677437 -22.6113566, -50.668323 -22.6121526)",
202029208,Rua Coronel Azarias Ribeiro,tertiary,False,False,104.198,,,"LINESTRING (-50.6677437 -22.6113566, -50.6669028 -22.6118815)",
202029208,Rua Coronel Azarias Ribeiro,tertiary,False,True,108.433,,,"LINESTRING (-50.6677437 -22.6113566, -50.6686261 -22.6108205)",
202019620,Rua Valdemar Minari,residential,False,False,110.205,,,"LINESTRING (-50.6704554 -22.615135, -50.6713378 -22.6145704)",
202019620,Rua Valdemar Minari,residential,False,True,101.174,,,"LINESTRING (-50.6704554 -22.615135, -50.6696373 -22.6156425)",
202019638,Rua Pedro de Toledo,residential,False,False,99.28399999999999,30,2,"LINESTRING (-50.6704554 -22.615135, -50.6702073 -22.6147834, -50.669921 -22.6143908)",
202009431,Avenida São Paulo,secondary,False,False,106.643,,,"LINESTRING (-50.6689078 -22.6094995, -50.6680428 -22.6100307)",
202009431,Avenida São Paulo,secondary,False,True,106.611,,,"LINESTRING (-50.6689078 -22.6094995, -50.6697634 -22.608956)",
527070109,Rua Sete de Setembro,residential,False,False,107.442,30,2,"LINESTRING (-50.6689078 -22.6094995, -50.6683284 -22.6086948)",
