osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge
464326514,1,Rua Ladislau Lima,residential,30,False,True,173.783,"LINESTRING (-35.8086738 -8.4304616, -35.8087265 -8.4288996)",,
464326580,,,residential,,False,False,30.676,"LINESTRING (-35.8086738 -8.4304616, -35.8089524 -8.4304742)",,
464326580,,,residential,,False,True,58.554,"LINESTRING (-35.8086738 -8.4304616, -35.8081421 -8.4304357)",,
464326514,1,Rua Ladislau Lima,residential,30,False,False,173.783,"LINESTRING (-35.8087265 -8.4288996, -35.8086738 -8.4304616)",,
464326574,2,Rua Leo Candido Alves lima,residential,30,False,False,32.808,"LINESTRING (-35.8087265 -8.4288996, -35.8084283 -8.4289059)",,
464326574,2,Rua Leo Candido Alves lima,residential,30,False,True,27.954,"LINESTRING (-35.8087265 -8.4288996, -35.8089806 -8.4288949)",,
464326515,,Rua Jose João da Silva,residential,,False,False,113.818,"LINESTRING (-35.8047794 -8.4334772, -35.8055417 -8.4341694)",,
464326626,2,Rua Jose Vitorino de Oliveira,residential,40,False,False,30.265,"LINESTRING (-35.8047794 -8.4334772, -35.8049865 -8.433298)",,
464326626,2,Rua Jose Vitorino de Oliveira,residential,40,False,True,26.545,"LINESTRING (-35.8047794 -8.4334772, -35.8045939 -8.4336299)",,
464326516,,,residential,,False,False,36.197,"LINESTRING (-35.8090943 -8.4352479, -35.8088649 -8.4350145)",,
464326517,,,residential,,False,False,67.317,"LINESTRING (-35.8105909 -8.4347465, -35.8106732 -8.4341466)",,
464326528,,Praça Doutor Alberto de Oliveira,residential,,False,True,27.31,"LINESTRING (-35.8054933 -8.4337849, -35.8056589 -8.4336019)",,
464326530,2,Praça Doutor Alberto de Oliveira,residential,40,False,False,38.692,"LINESTRING (-35.8054933 -8.4337849, -35.8052433 -8.4335401)",,
464326530,2,Praça Doutor Alberto de Oliveira,residential,40,False,True,34.698,"LINESTRING (-35.8054933 -8.4337849, -35.8057258 -8.4339958)",,
464326528,,Praça Doutor Alberto de Oliveira,residential,,False,False,27.31,"LINESTRING (-35.8056589 -8.4336019, -35.8054933 -8.4337849)",,
614775342,2,Rua Jucelino Carvalho de Menezes,residential,40,False,False,37.911,"LINESTRING (-35.8056589 -8.4336019, -35.8058636 -8.4338762)",,
614775342,2,Rua Jucelino Carvalho de Menezes,residential,40,False,True,35.692,"LINESTRING (-35.8056589 -8.4336019, -35.8054752 -8.4333373)",,
464326529,,Praça Doutor Alberto de Oliveira,residential,,False,True,34.046,"LINESTRING (-35.8054752 -8.4333373, -35.8052433 -8.4335401)",,
614775342,2,Rua Jucelino Carvalho de Menezes,residential,40,False,False,35.692,"LINESTRING (-35.8054752 -8.4333373, -35.8056589 -8.4336019)",,
614775342,2,Rua Jucelino Carvalho de Menezes,residential,40,False,True,40.028,"LINESTRING (-35.8054752 -8.4333373, -35.8052795 -8.4330338)",,
464326529,,Praça Doutor Alberto de Oliveira,residential,,False,False,34.046,"LINESTRING (-35.8052433 -8.4335401, -35.8054752 -8.4333373)",,
464326530,2,Praça Doutor Alberto de Oliveira,residential,40,False,False,39.02,"LINESTRING (-35.8052433 -8.4335401, -35.8049865 -8.433298)",,
464326530,2,Praça Doutor Alberto de Oliveira,residential,40,False,True,38.692,"LINESTRING (-35.8052433 -8.4335401, -35.8054933 -8.4337849)",,
464326530,2,Praça Doutor Alberto de Oliveira,residential,40,False,True,39.02,"LINESTRING (-35.8049865 -8.433298, -35.8052433 -8.4335401)",,
