osmid,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes,access,width
32671437,Rua Duque de Caxias,tertiary,False,True,8.334,"LINESTRING (-51.1167986 -29.3774381, -51.1167242 -29.3774757)",,,,,
946219179,Rua Duque de Caxias,residential,False,False,73.931,"LINESTRING (-51.1167986 -29.3774381, -51.117459 -29.3771051)",,,,,
948916501,Rua Padre Affonso Theobaldo,residential,True,False,75.427,"LINESTRING (-51.1167986 -29.3774381, -51.1171948 -29.378022)",,,,,
32671437,Rua Duque de Caxias,tertiary,False,False,81.041,"LINESTRING (-51.1137613 -29.3789913, -51.1138999 -29.3789166, -51.1143911 -29.3786508, -51.114473 -29.3786085)",,,,,
92061772,,primary,True,False,9.933,"LINESTRING (-51.1137613 -29.3789913, -51.1137739 -29.3790108, -51.11378 -29.3790324, -51.1137793 -29.3790548, -51.1137717 -29.3790761)",50,roundabout,,,
247887221,Avenida 15 de Novembro,primary,True,False,210.009,"LINESTRING (-51.1081463 -29.3739195, -51.1082751 -29.373963, -51.1085728 -29.3740565, -51.1089242 -29.3741781, -51.1094539 -29.3743581, -51.1100874 -29.3745651, -51.1101712 -29.3745925)",50,,,,
529099664,,primary,True,False,8.661,"LINESTRING (-51.1081463 -29.3739195, -51.1081392 -29.3739446, -51.108121 -29.3739713, -51.1081021 -29.3739843)",50,roundabout,,,
573781446,,primary,True,False,8.78,"LINESTRING (-51.1101712 -29.3745925, -51.1101827 -29.374587, -51.1102082 -29.3745836, -51.1102336 -29.374588, -51.1102557 -29.3745996)",,roundabout,,,
217432951,Rua Padre Amstadt,residential,False,True,22.379,"LINESTRING (-51.1102557 -29.3745996, -51.110445 -29.3744843)",,,,,
573781446,,primary,True,False,5.009,"LINESTRING (-51.1102557 -29.3745996, -51.1102721 -29.3746171, -51.1102806 -29.3746383)",,roundabout,,,
573760021,Rua Frederico Michaelsen,tertiary,False,False,13.312,"LINESTRING (-51.1113077 -29.3755918, -51.1111879 -29.3756504)",,,,,
817420442,Rua Frederico Michaelsen,tertiary,False,True,89.204,"LINESTRING (-51.1113077 -29.3755918, -51.1120851 -29.3751621)",,,,,
573760018,Avenida 15 de Novembro,primary,True,False,122.241,"LINESTRING (-51.1113077 -29.3755918, -51.1113423 -29.3756474, -51.1119161 -29.3764676, -51.1119633 -29.3765309)",50,,,,
529099664,,primary,True,False,8.926,"LINESTRING (-51.1079938 -29.3738366, -51.1080221 -29.3738263, -51.1080527 -29.373824, -51.1080827 -29.3738298)",50,roundabout,,,
247887220,Avenida 15 de Novembro,primary,True,False,121.93,"LINESTRING (-51.1118598 -29.3765769, -51.1118133 -29.3765254, -51.1112234 -29.3757087, -51.1111879 -29.3756504)",50,,,,
529099658,,primary,True,False,11.96,"LINESTRING (-51.1118598 -29.3765769, -51.1118781 -29.3765553, -51.1119031 -29.3765395, -51.1119324 -29.3765311, -51.1119633 -29.3765309)",50,roundabout,,,
241009489,Avenida 15 de Novembro,primary,True,False,182.722,"LINESTRING (-51.1137717 -29.3790761, -51.1138227 -29.3791397, -51.1147877 -29.3804604)",50,,,,
529099660,,primary,True,False,12.047,"LINESTRING (-51.1137717 -29.3790761, -51.1137552 -29.3790977, -51.1137319 -29.3791137, -51.113704 -29.3791228, -51.1136689 -29.3791227)",50,roundabout,,,
92061772,,primary,True,False,9.103,"LINESTRING (-51.113679 -29.3789583, -51.1137102 -29.3789611, -51.1137386 -29.3789725, -51.1137613 -29.3789913)",50,roundabout,,,
529099661,,primary,True,False,9.471,"LINESTRING (-51.1136052 -29.3790866, -51.1135924 -29.3790606, -51.1135903 -29.3790322, -51.1135994 -29.3790049)",50,roundabout,,,
529099664,,primary,True,False,10.666,"LINESTRING (-51.1081021 -29.3739843, -51.1080685 -29.373997, -51.1080318 -29.3739983, -51.107997 -29.3739881)",50,roundabout,,,
529099663,,primary,True,False,18.373,"LINESTRING (-51.1119633 -29.3765309, -51.1119905 -29.376538, -51.1120143 -29.3765514, -51.1120329 -29.3765701, -51.1120463 -29.3765981, -51.1120479 -29.3766284, -51.1120375 -29.3766574)",50,roundabout,,,
141765950,Rua Rui Barbosa,tertiary,False,False,60.138,"LINESTRING (-51.1118736 -29.376675, -51.1113363 -29.3769457)",,,,,
92061794,,primary,True,False,11.639,"LINESTRING (-51.1118736 -29.376675, -51.1118573 -29.376653, -51.1118492 -29.3766278, -51.1118501 -29.3766017, -51.1118598 -29.3765769)",50,roundabout,,,
529099661,,primary,True,False,7.564,"LINESTRING (-51.1136689 -29.3791227, -51.1136474 -29.3791176, -51.1136237 -29.3791048, -51.1136052 -29.3790866)",50,roundabout,,,
247887226,Avenida Três de Maio,tertiary,False,False,6.589,"LINESTRING (-51.107997 -29.3739881, -51.1079418 -29.3740227)",,,,,
529099664,,primary,True,False,10.622,"LINESTRING (-51.107997 -29.3739881, -51.1079664 -29.373965, -51.1079486 -29.3739334, -51.1079469 -29.3739084)",50,roundabout,,,
247887224,Avenida 15 de Novembro,primary,True,False,33.072,"LINESTRING (-51.1079469 -29.3739084, -51.1078151 -29.3738392, -51.1076564 -29.3737523)",50,,,,
529099664,,primary,True,False,9.565999999999999,"LINESTRING (-51.1079469 -29.3739084, -51.1079552 -29.3738739, -51.1079713 -29.3738528, -51.1079938 -29.3738366)",50,roundabout,,,
247887222,Avenida 15 de Novembro,primary,True,False,63.952000000000005,"LINESTRING (-51.1130467 -29.3782555, -51.1127812 -29.3778914, -51.112689 -29.3777722)",,,,,
