osmid,ref,highway,oneway,reversed,length,name,geometry,bridge,access
392106282,AL-120,secondary,False,False,48.679,,"LINESTRING (-36.9901762 -9.5327382, -36.990201 -9.5331753)",,
392106282,AL-120,secondary,False,True,54.969,,"LINESTRING (-36.9901762 -9.5327382, -36.9901695 -9.5322439)",,
392106279,,secondary,True,False,110.988,Rua Izabel da Rocha,"LINESTRING (-36.9862381 -9.5282281, -36.986119 -9.5292193)",,
257376167,,residential,False,False,54.03,Rua Lopes de Farias,"LINESTRING (-36.9868076 -9.528757, -36.9867716 -9.5292416)",,
257376214,,residential,False,True,127.699,Rua Amelia Alves,"LINESTRING (-36.9868076 -9.528757, -36.9878449 -9.5282351)",,
392106278,,secondary,True,False,116.329,Rua Otávio Mendes do Nascimento,"LINESTRING (-36.9857707 -9.5291905, -36.9860905 -9.528193)",,
392106280,,secondary,False,True,38.329,,"LINESTRING (-36.9857707 -9.5291905, -36.986119 -9.5292193)",,
392106275,,secondary,False,True,110.17599999999999,Rua Otávio Mendes do Nascimento,"LINESTRING (-36.9857707 -9.5291905, -36.9856761 -9.5295434, -36.9856238 -9.5297603, -36.9855876 -9.5299204, -36.9855554 -9.5301571)",,
257376218,,residential,False,True,71.608,Rua Paulo Izidoro da Rocha,"LINESTRING (-36.986119 -9.5292193, -36.9867716 -9.5292416)",,
257376250,,residential,False,True,194.083,Rua Izabel da Rocha,"LINESTRING (-36.986119 -9.5292193, -36.9860584 -9.5309637)",,
392106280,,secondary,False,False,38.329,,"LINESTRING (-36.986119 -9.5292193, -36.9857707 -9.5291905)",,
257376167,,residential,False,True,54.03,Rua Lopes de Farias,"LINESTRING (-36.9867716 -9.5292416, -36.9868076 -9.528757)",,
257376218,,residential,False,False,71.608,Rua Paulo Izidoro da Rocha,"LINESTRING (-36.9867716 -9.5292416, -36.986119 -9.5292193)",,
257376218,,residential,False,True,79.741,Rua Paulo Izidoro da Rocha,"LINESTRING (-36.9867716 -9.5292416, -36.9874979 -9.5292765)",,
257376167,,residential,False,False,163.014,Rua Lopes de Farias,"LINESTRING (-36.9867716 -9.5292416, -36.9866645 -9.5298873, -36.9865519 -9.5306914)",,
257376218,,residential,False,False,61.442,Rua Paulo Izidoro da Rocha,"LINESTRING (-36.9884126 -9.5293241, -36.987853 -9.5292966)",,
1076690703,,residential,False,True,130.4,Rua Teotonio Vilela,"LINESTRING (-36.9884126 -9.5293241, -36.9883691 -9.5298437, -36.9883168 -9.530493)",,
