osmid,name,highway,maxspeed,oneway,reversed,length,width,geometry
23858272,Rua São Sebastião,residential,40,False,False,89.479,,"LINESTRING (-46.9036439 -1.0737211, -46.9036565 -1.0745257)"
23858271,Travessa Antônio Nogueira Galvão,unclassified,40,False,False,42.783,3,"LINESTRING (-46.9036439 -1.0737211, -46.9034538 -1.0737112, -46.9032601 -1.0736939)"
23858271,Travessa Antônio Nogueira Galvão,unclassified,40,False,True,244.952,3,"LINESTRING (-46.9036439 -1.0737211, -46.9043751 -1.0737077, -46.9050218 -1.0736981, -46.9058469 -1.0736852)"
23858272,Rua São Sebastião,residential,40,False,True,89.479,,"LINESTRING (-46.9036565 -1.0745257, -46.9036439 -1.0737211)"
31135147,Rua São Sebastião,residential,40,False,True,20.012,5,"LINESTRING (-46.9036565 -1.0745257, -46.9036213 -1.0747022)"
239021972,Avenida Mario Nogueira,residential,40,True,False,125.533,,"LINESTRING (-46.9036565 -1.0745257, -46.9047856 -1.0745159)"
23858271,Travessa Antônio Nogueira Galvão,unclassified,40,False,False,244.952,3,"LINESTRING (-46.9058469 -1.0736852, -46.9050218 -1.0736981, -46.9043751 -1.0737077, -46.9036439 -1.0737211)"
739718278,Rua Santa Maria,residential,40,False,False,98.53200000000001,,"LINESTRING (-46.9058469 -1.0736852, -46.9058438 -1.0740592, -46.9058462 -1.0745713)"
239021929,Rua Benedito de Oliveira,residential,,False,False,40.969,3,"LINESTRING (-46.8998775 -1.077921, -46.899509 -1.0779188)"
31135141,Avenida Bragança,residential,40,False,False,148.76,5,"LINESTRING (-46.8998775 -1.077921, -46.9005888 -1.0774608, -46.9010014 -1.077195)"
31135141,Avenida Bragança,residential,40,False,True,158.9,5,"LINESTRING (-46.8998775 -1.077921, -46.8991617 -1.0783876, -46.8986805 -1.0787019)"
31135141,Avenida Bragança,residential,40,False,False,38.67,5,"LINESTRING (-46.9035693 -1.0769236, -46.9039171 -1.0769281)"
31135147,Rua São Sebastião,residential,40,False,False,46.278,5,"LINESTRING (-46.9035693 -1.0769236, -46.9036007 -1.0765086)"
31135141,Avenida Bragança,residential,40,False,True,103.4,5,"LINESTRING (-46.9035693 -1.0769236, -46.9032558 -1.0769122, -46.9026397 -1.0768945)"
31135141,Avenida Bragança,residential,40,False,False,53.274,5,"LINESTRING (-46.9010014 -1.077195, -46.9012825 -1.077074, -46.9014448 -1.0770137)"
31135141,Avenida Bragança,residential,40,False,True,148.76,5,"LINESTRING (-46.9010014 -1.077195, -46.9005888 -1.0774608, -46.8998775 -1.077921)"
239799972,,residential,40,False,False,89.47800000000001,3,"LINESTRING (-46.9010014 -1.077195, -46.9010847 -1.0773935, -46.9011468 -1.0775915, -46.9012307 -1.0779641)"
31135147,Rua São Sebastião,residential,40,False,False,119.954,5,"LINESTRING (-46.9036023 -1.0757808, -46.9036213 -1.0747022)"
31135147,Rua São Sebastião,residential,40,False,True,10.721,5,"LINESTRING (-46.9036023 -1.0757808, -46.9036007 -1.0758772)"
239021957,Rua Levindo Reis,residential,40,True,False,34.818,3,"LINESTRING (-46.9036023 -1.0757808, -46.9039154 -1.075788)"
38693710,Avenida Mario Nogueira,residential,,True,False,95.82,,"LINESTRING (-46.9047794 -1.0746997, -46.9039176 -1.0747112)"
38693712,Avenida Hamilton João Pinheiro,residential,,False,False,20.449,,"LINESTRING (-46.9047794 -1.0746997, -46.9047856 -1.0745159)"
38693712,Avenida Hamilton João Pinheiro,residential,,False,True,122.826,,"LINESTRING (-46.9047794 -1.0746997, -46.9047822 -1.0758043)"
38693710,Avenida Mario Nogueira,residential,,True,False,118.659,,"LINESTRING (-46.9058465 -1.074721, -46.9047794 -1.0746997)"
739718278,Rua Santa Maria,residential,40,False,True,16.646,,"LINESTRING (-46.9058465 -1.074721, -46.9058462 -1.0745713)"
31135147,Rua São Sebastião,residential,40,False,False,20.012,5,"LINESTRING (-46.9036213 -1.0747022, -46.9036565 -1.0745257)"
31135147,Rua São Sebastião,residential,40,False,True,119.954,5,"LINESTRING (-46.9036213 -1.0747022, -46.9036023 -1.0757808)"
38693710,Avenida Mario Nogueira,residential,,True,False,108.402,,"LINESTRING (-46.9036213 -1.0747022, -46.9026464 -1.0747196)"
38693711,Avenida Nazaré,unclassified,,False,False,119.583,,"LINESTRING (-46.9026464 -1.0747196, -46.9026384 -1.075795)"
239021950,Avenida Nazaré,unclassified,,False,True,21.336,4,"LINESTRING (-46.9026464 -1.0747196, -46.9026518 -1.0745278)"
156889831,,residential,,True,False,152.659,,"LINESTRING (-46.9026464 -1.0747196, -46.9021737 -1.0747143, -46.9012733 -1.0747124)"
38693711,Avenida Nazaré,unclassified,,False,True,111.841,,"LINESTRING (-46.9026397 -1.0768945, -46.9026358 -1.0758887)"
