osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,junction,access
704201746,True,Rua Coronel Pinto,tertiary,40,False,17.776,,"LINESTRING (-60.6722277 2.8234227, -60.6720695 2.8233984)",,
154903789,True,Avenida Capitão Júlio Bezerra,primary,,False,150.094,2,"LINESTRING (-60.6722277 2.8234227, -60.6724564 2.8224812, -60.6725688 2.8221171)",,
157934959,False,Rua Alfredo Cruz,tertiary,,True,106.129,,"LINESTRING (-60.6735174 2.8247349, -60.6736741 2.8246997, -60.6740168 2.8245946, -60.6742709 2.8244995, -60.6744218 2.8244325)",,
392879710,False,Rua Alfredo Cruz,tertiary,,False,94.822,,"LINESTRING (-60.6735174 2.8247349, -60.6730525 2.8248002, -60.6728366 2.8248176, -60.672669 2.8248236)",,
154903752,True,Avenida Benjamin Constant,secondary,,False,37.558,,"LINESTRING (-60.6718457 2.8183936, -60.671635 2.8186578)",,
154903729,False,Rua Antônio Bitencourt,tertiary,,False,136.34199999999998,,"LINESTRING (-60.6718457 2.8183936, -60.6713855 2.8179802, -60.6709266 2.8175808)",,
154903789,True,Avenida Capitão Júlio Bezerra,primary,,False,152.141,2,"LINESTRING (-60.671912 2.8247541, -60.6720961 2.8239776, -60.6722277 2.8234227)",,
392879710,False,Rua Alfredo Cruz,tertiary,,True,84.461,,"LINESTRING (-60.671912 2.8247541, -60.6723139 2.8248018, -60.672669 2.8248236)",,
91888133,True,Avenida Nossa Senhora da Consolata,secondary,,False,142.581,,"LINESTRING (-60.6745424 2.8174795, -60.6753847 2.8165118)",,
154903793,True,Rua Cecília Brasil,tertiary,,False,11.762,,"LINESTRING (-60.6745424 2.8174795, -60.6744602 2.8174128)",,
157934961,False,Rua Barão do Rio Branco,tertiary,,True,86.51700000000001,,"LINESTRING (-60.675783 2.8251377, -60.6760418 2.8249073, -60.6762886 2.8246917, -60.6763631 2.8246186)",,
704824065,False,Rua Ajuricaba,tertiary,,True,15.982,,"LINESTRING (-60.676156 2.8171958, -60.6760489 2.8170998)",,
35576000,True,Avenida Benjamin Constant,secondary,,False,140.295,,"LINESTRING (-60.6726805 2.8176305, -60.673511 2.8166798)",,
91888086,True,Rua Araújo Filho,tertiary,,False,131.256,,"LINESTRING (-60.6726805 2.8176305, -60.6735053 2.8183791, -60.6735567 2.8184226)",,
154903729,False,Rua Antônio Bitencourt,tertiary,,True,136.34199999999998,,"LINESTRING (-60.6709266 2.8175808, -60.6713855 2.8179802, -60.6718457 2.8183936)",,
751741264,True,Avenida Getúlio Vargas,secondary,,False,123.473,,"LINESTRING (-60.6709266 2.8175808, -60.6711696 2.8172582, -60.6716417 2.8167318)",,
154903698,True,Avenida Getúlio Vargas,secondary,,False,151.331,,"LINESTRING (-60.667503 2.8214655, -60.6684163 2.8204555)",,
437298505,False,Rua Alfredo Cruz,tertiary,,True,139.433,,"LINESTRING (-60.667503 2.8214655, -60.6679375 2.821846, -60.6684363 2.8223041)",,
157934956,True,Rua Cecília Brasil,tertiary,,False,71.327,,"LINESTRING (-60.6757585 2.8186281, -60.6753064 2.8181725)",,
154903803,True,,secondary,,False,15.214000000000002,,"LINESTRING (-60.6736212 2.8165641, -60.6736108 2.8165315, -60.6735902 2.8165041, -60.6735618 2.8164852, -60.6735286 2.8164766)",roundabout,
416683378,True,Rua Araújo Filho,tertiary,,False,145.745,,"LINESTRING (-60.6751928 2.821139, -60.6751348 2.8214614, -60.6750738 2.8217283, -60.6750479 2.8218356, -60.6748805 2.8221816, -60.6747494 2.8223518)",,
91888113,False,Rua General Penha Brasil,tertiary,,True,150.226,,"LINESTRING (-60.6744218 2.8244325, -60.6738256 2.8232198)",,
