osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,bridge,junction
155689417,True,Rua Emancipadores do Município,primary,False,233.734,"LINESTRING (-47.0557327 -23.1557467, -47.0559084 -23.1556924, -47.0560859 -23.1556179, -47.0563174 -23.1554691, -47.0563394 -23.1554484, -47.0563987 -23.1553926, -47.056513 -23.1552852, -47.0568299 -23.1548409, -47.0570232 -23.1546342, -47.0571963 -23.1544647, -47.0573626 -23.1543376)",,,,,
709777908,True,Rua Emancipadores do Município,primary,False,85.23,"LINESTRING (-47.0557327 -23.1557467, -47.0564159 -23.1558191, -47.0565547 -23.1558605)",2,60,,,
344088931,False,Avenida Brasil,primary,False,10.971,"LINESTRING (-47.0557647 -23.1572245, -47.0557966 -23.1571303)",,,,,
155689669,True,Avenida Brasil,primary,False,28.606,"LINESTRING (-47.0557647 -23.1572245, -47.0557614 -23.1573831, -47.0557744 -23.157481)",,,,,
155689647,False,Rua Noemia Andrade do Nascimento,residential,False,125.16,"LINESTRING (-47.0539625 -23.1499198, -47.0531762 -23.1507825)",,,,,
155689650,False,Rua Antônio Betelli,residential,False,99.461,"LINESTRING (-47.0545413 -23.1500334, -47.0539331 -23.1507315)",,,,,
155689631,False,Rua Juvenal do Prado,residential,False,75.299,"LINESTRING (-47.0551475 -23.1501615, -47.0546694 -23.1506766)",,,,,
155689601,True,Avenida Nelson Gula,tertiary,False,33.176,"LINESTRING (-47.0581269 -23.1505078, -47.058116 -23.150449, -47.0582701 -23.1502569)",2,60,IVA-354,,
1016977435,True,,primary,False,13.846,"LINESTRING (-47.0581269 -23.1505078, -47.0581572 -23.1504938, -47.0581909 -23.1504964, -47.0582181 -23.1505149, -47.0582307 -23.1505438)",,,,,
709514046,False,Rua José Filomeno,residential,True,44.111,"LINESTRING (-47.0550995 -23.1506454, -47.0546694 -23.1506766)",,,,,
710255415,False,Avenida José Tonoli,residential,True,71.538,"LINESTRING (-47.0550995 -23.1506454, -47.0550066 -23.1507602, -47.0547623 -23.1511543, -47.05474 -23.1511962)",,,,,
155689631,False,Rua Juvenal do Prado,residential,True,75.299,"LINESTRING (-47.0546694 -23.1506766, -47.0551475 -23.1501615)",,,,,
709514046,False,Rua José Filomeno,residential,False,44.111,"LINESTRING (-47.0546694 -23.1506766, -47.0550995 -23.1506454)",,,,,
709777913,False,Rua José Filomeno,residential,True,75.527,"LINESTRING (-47.0546694 -23.1506766, -47.0539331 -23.1507315)",,,,,
347674253,False,Rua Vinte e Um de Março,primary,True,188.549,"LINESTRING (-47.0582195 -23.1505829, -47.0584542 -23.1511528, -47.0585194 -23.1512235, -47.0587315 -23.1513364, -47.0592485 -23.1519399)",,40,,,
1016977435,True,,primary,False,6.231,"LINESTRING (-47.0582195 -23.1505829, -47.0581962 -23.150601, -47.0581664 -23.1506067)",,,,,
