osmid,name,highway,oneway,reversed,length,ref,width,geometry,bridge,junction
290417125,Rua Joaquim Vieira Ferreira,residential,False,True,163.629,,,"LINESTRING (-49.3239507 -28.5216939, -49.323869 -28.5231637)",,
290453122,Rua Olívio Gialdini Mariot,residential,False,True,192.049,,,"LINESTRING (-49.3239507 -28.5216939, -49.3240747 -28.5199702)",,
417071449,Rua Barão do Rio Branco,tertiary,False,True,122.932,SC-445,7,"LINESTRING (-49.3239507 -28.5216939, -49.3226936 -28.5216464)",,
220501272,Avenida Marcos Costa,tertiary,False,False,101.688,SC-445,7,"LINESTRING (-49.3239507 -28.5216939, -49.3240798 -28.5217003, -49.3241968 -28.5217219, -49.3243201 -28.5217653, -49.3249129 -28.5220185)",,
220501275,Rua Presidente Vargas,tertiary,False,False,88.968,SC-445,7,"LINESTRING (-49.3210253 -28.5223758, -49.3208952 -28.5215839)",,
"[290446576, 164184288, 290446579]",Rua Angélica Collodel Bettiol,tertiary,False,True,225.062,SC-445,7,"LINESTRING (-49.3210253 -28.5223758, -49.3196557 -28.5225548, -49.3193496 -28.5225944, -49.3187468 -28.5226739)",yes,
"[290446592, 164184293]","['Rua Matheus de Brida', 'Rua Giácomo de Brida']",residential,False,"[False, True]",99.76299999999999,,,"LINESTRING (-49.3177052 -28.5203423, -49.3179233 -28.5203537, -49.3184249 -28.5203537, -49.3184906 -28.5203361, -49.3185067 -28.5202995, -49.3185094 -28.5202447, -49.3184801 -28.5201377)",,
566004749,Rodovia Maximiliano Gaidzinski,primary,False,False,39.891,SC-108,7,"LINESTRING (-49.3177052 -28.5203423, -49.3177114 -28.5205155, -49.3177026 -28.5207008)",,
566004749,Rodovia Maximiliano Gaidzinski,primary,False,True,66.254,SC-108,7,"LINESTRING (-49.3177052 -28.5203423, -49.3176806 -28.5201989, -49.3176543 -28.5200908, -49.3176239 -28.5199887, -49.3175576 -28.5197613)",,
566004749,Rodovia Maximiliano Gaidzinski,primary,False,True,130.543,SC-108,7,"LINESTRING (-49.3176093 -28.5223009, -49.3176811 -28.5211286)",,
290409288,Rodovia Maximiliano Gaidzinski,primary,True,False,43.132000000000005,SC-108,7,"LINESTRING (-49.3176093 -28.5223009, -49.317659 -28.5224739, -49.3177178 -28.5226769)",,
164184288,Rua Angélica Collodel Bettiol,tertiary,False,True,77.153,SC-445,7,"LINESTRING (-49.3187468 -28.5226739, -49.3179651 -28.5227724)",,
290446585,Rua Siqueira Campos,residential,False,False,98.816,,,"LINESTRING (-49.3187468 -28.5226739, -49.3186288 -28.5235565)",,
290446585,Rua Siqueira Campos,residential,False,True,174.783,,,"LINESTRING (-49.3187468 -28.5226739, -49.3189855 -28.5211161)",,
"[164184288, 290446579, 290446576]",Rua Angélica Collodel Bettiol,tertiary,False,False,225.062,SC-445,7,"LINESTRING (-49.3187468 -28.5226739, -49.3193496 -28.5225944, -49.3196557 -28.5225548, -49.3210253 -28.5223758)",yes,
164184296,Avenida Governador Ivo Silveira,primary,True,False,37.862,SC-108,7,"LINESTRING (-49.317528 -28.5232273, -49.3174954 -28.5230937, -49.3174344 -28.522897)",,
164184293,Rua Giácomo de Brida,residential,False,False,79.523,,,"LINESTRING (-49.3176927 -28.5177308, -49.3179311 -28.5184146)",,
290446589,Travessa da Imigração,residential,False,False,78.607,,,"LINESTRING (-49.3176927 -28.5177308, -49.3169142 -28.5175524)",,
290446589,Travessa da Imigração,residential,False,True,139.45100000000002,,,"LINESTRING (-49.3176927 -28.5177308, -49.3187644 -28.5180204, -49.3188636 -28.5182748)",,
