osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,name,junction
776913547,True,BR-010;TO-050,primary,40,False,58.422,"LINESTRING (-47.7318323 -11.7132929, -47.7317453 -11.7130652, -47.7316727 -11.7129136, -47.731644 -11.7128638, -47.7316165 -11.7128128)",,
607774383,False,BR-010;TO-050,primary,60,False,46.837999999999994,"LINESTRING (-47.7316501 -11.7119239, -47.7315955 -11.7115734, -47.7315852 -11.7115075)",,
776913544,True,BR-010;TO-050,primary,40,False,45.818,"LINESTRING (-47.7316501 -11.7119239, -47.7317055 -11.7120788, -47.7317467 -11.71217, -47.7317756 -11.7122259, -47.7318151 -11.7123022)",,
712626678,False,TO-280,primary,,True,33.221,"LINESTRING (-47.7323676 -11.7125004, -47.7326724 -11.7125139)",Avenida JK,
776913545,True,TO-280,primary,,False,49.114000000000004,"LINESTRING (-47.7323676 -11.7125004, -47.7322477 -11.7125524, -47.7321302 -11.7126088, -47.7320611 -11.7126455, -47.731964 -11.7126971)",Avenida JK,
607774381,False,TO-280,tertiary,,False,42.652,"LINESTRING (-47.7310474 -11.7126669, -47.7306582 -11.7127105)",Avenida V1,
776913546,True,TO-280,tertiary,,False,52.815000000000005,"LINESTRING (-47.7310474 -11.7126669, -47.7311942 -11.7125967, -47.7312993 -11.7125524, -47.7313793 -11.7125088, -47.7313945 -11.7124993, -47.7314767 -11.7124476)",Avenida V1,
286466972,False,,residential,,False,58.893,"LINESTRING (-47.7293287 -11.7107334, -47.72925 -11.7102094)",Rua E,
286466972,False,,residential,,True,57.774,"LINESTRING (-47.7293287 -11.7107334, -47.7293917 -11.7112493)",Rua E,
713328912,False,,residential,,True,116.513,"LINESTRING (-47.7293287 -11.7107334, -47.7303913 -11.7106096)",Rua B,
286466080,False,,residential,,False,44.28,"LINESTRING (-47.7325429 -11.711011, -47.7325616 -11.7114088)",Avenida Pedro Ludovico,
286466080,False,,residential,,True,84.768,"LINESTRING (-47.7325429 -11.711011, -47.7324404 -11.7102553)",Avenida Pedro Ludovico,
286466080,False,,residential,,False,84.768,"LINESTRING (-47.7324404 -11.7102553, -47.7325429 -11.711011)",Avenida Pedro Ludovico,
286467408,False,,residential,,False,108.005,"LINESTRING (-47.7324404 -11.7102553, -47.732201 -11.7093127)",Avenida Pedro Ludovico,
713328913,False,,unclassified,,False,105.898,"LINESTRING (-47.7324404 -11.7102553, -47.732302 -11.7103381, -47.7321024 -11.7103815, -47.7315026 -11.7104659)",Avenida Pedro Ludovico Teixeira,
286466080,False,,residential,,True,110.257,"LINESTRING (-47.7326724 -11.7125139, -47.7325672 -11.7115277)",Avenida Pedro Ludovico,
286466205,False,,residential,,False,106.983,"LINESTRING (-47.7326724 -11.7125139, -47.7327917 -11.7134689)",Avenida Novo Acordo,
712626678,False,TO-280,primary,,False,33.221,"LINESTRING (-47.7326724 -11.7125139, -47.7323676 -11.7125004)",Avenida JK,
713328912,False,,residential,,False,122.05,"LINESTRING (-47.7315026 -11.7104659, -47.7303913 -11.7106096)",Rua B,
607774383,False,BR-010;TO-050,primary,60,False,118.501,"LINESTRING (-47.7315026 -11.7104659, -47.7314777 -11.7102509, -47.7313798 -11.709407)",,
607774383,False,BR-010;TO-050,primary,60,True,116.17,"LINESTRING (-47.7315026 -11.7104659, -47.7315175 -11.7106532, -47.7315852 -11.7115075)",,
713328913,False,,unclassified,,True,105.898,"LINESTRING (-47.7315026 -11.7104659, -47.7321024 -11.7103815, -47.732302 -11.7103381, -47.7324404 -11.7102553)",Avenida Pedro Ludovico Teixeira,
286466080,False,,residential,,False,110.257,"LINESTRING (-47.7325672 -11.7115277, -47.7326724 -11.7125139)",Avenida Pedro Ludovico,
286466080,False,,residential,,True,13.235,"LINESTRING (-47.7325672 -11.7115277, -47.7325616 -11.7114088)",Avenida Pedro Ludovico,
286468336,True,,tertiary,,False,17.073,"LINESTRING (-47.7262929 -11.7121446, -47.7263048 -11.7122977)",Avenida V3,
777608211,False,,residential,,False,53.679,"LINESTRING (-47.7262929 -11.7121446, -47.7267811 -11.7120773)",Rua C,
777608211,False,,residential,,True,14.228,"LINESTRING (-47.7262929 -11.7121446, -47.7261643 -11.7121673)",Rua C,
286466082,False,,residential,,False,106.99100000000001,"LINESTRING (-47.7315852 -11.7115075, -47.7321426 -11.7114291, -47.7324119 -11.7114175, -47.7325616 -11.7114088)",Rua C,
286466082,False,,residential,,True,118.48,"LINESTRING (-47.7315852 -11.7115075, -47.730993 -11.7115908, -47.7305049 -11.7116317)",Rua C,
607774383,False,BR-010;TO-050,primary,60,False,116.17,"LINESTRING (-47.7315852 -11.7115075, -47.7315175 -11.7106532, -47.7315026 -11.7104659)",,
607774383,False,BR-010;TO-050,primary,60,True,46.837999999999994,"LINESTRING (-47.7315852 -11.7115075, -47.7315955 -11.7115734, -47.7316501 -11.7119239)",,
286467403,False,,residential,,True,34.322,"LINESTRING (-47.7316762 -11.706971, -47.7319822 -11.7068969)",Rua Flor do Ypê,
286467409,False,,residential,,False,30.872,"LINESTRING (-47.7316762 -11.706971, -47.731628 -11.7066974)",Avenida Pedro Ludovico,
