osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,junction,bridge
166550375,True,2,PB-110,Avenida Solon de Lucena,primary,False,9.351,,"LINESTRING (-37.2769412 -7.026368, -37.2769741 -7.0262905)",,
471112973,True,2,,Avenida Doutor Pedro Firmino,primary,False,178.40699999999998,50,"LINESTRING (-37.2769412 -7.026368, -37.276916 -7.0263558, -37.2766455 -7.0262252, -37.2762814 -7.0260494, -37.2754876 -7.0256659)",,
167412258,True,2,,Avenida Doutor Pedro Firmino,primary,False,14.003,50,"LINESTRING (-37.2769741 -7.0262905, -37.2770879 -7.0263462)",,
166550375,True,2,PB-110,Avenida Solon de Lucena,primary,False,58.141000000000005,,"LINESTRING (-37.2769741 -7.0262905, -37.2769852 -7.0262665, -37.2771849 -7.0258411, -37.2771967 -7.0258166)",,
503085111,True,,,Rua Escritor Rui Barbosa,residential,False,113.625,,"LINESTRING (-37.2779913 -7.0256442, -37.2784258 -7.0247178)",,
172677422,True,,,Rua Felizardo Leite,primary,False,97.421,,"LINESTRING (-37.2803195 -7.0295681, -37.2811979 -7.0296551)",,
471112973,True,2,,Avenida Doutor Pedro Firmino,primary,False,13.915,50,"LINESTRING (-37.2770547 -7.0264225, -37.2769412 -7.026368)",,
503558134,True,2,PB-110,Avenida Solon de Lucena,primary,False,105.148,,"LINESTRING (-37.2770547 -7.0264225, -37.2770427 -7.0264481, -37.2766657 -7.0272857)",,
503558134,True,2,PB-110,Avenida Solon de Lucena,primary,False,9.242,,"LINESTRING (-37.2770879 -7.0263462, -37.2770547 -7.0264225)",,
511172717,True,2,,Avenida Doutor Pedro Firmino,primary,False,56.808,50,"LINESTRING (-37.2770879 -7.0263462, -37.2771139 -7.0263589, -37.2775497 -7.0265719)",,
471112976,True,,,Rua Leôncio Wanderley,residential,False,84.895,,"LINESTRING (-37.2785172 -7.0286735, -37.2784899 -7.0294365)",,
503103803,True,,,Rua Doutor José Genuíno,residential,False,132.313,,"LINESTRING (-37.2785172 -7.0286735, -37.2779301 -7.02863, -37.2773216 -7.0285849)",,
167922306,True,2,,Rua Vereador Joaquim Leitão,residential,False,76.402,,"LINESTRING (-37.2786163 -7.0259397, -37.2779913 -7.0256442)",,
"[503085107, 471112975]",True,,,Rua Leôncio Wanderley,residential,False,130.207,,"LINESTRING (-37.2786163 -7.0259397, -37.2785761 -7.0270785, -37.2785739 -7.0271099)",,
1196826603,True,3,,Avenida Doutor Pedro Firmino,primary,False,11.293,50,"LINESTRING (-37.2775497 -7.0265719, -37.27762 -7.0266457)",,
503085111,True,,,Rua Escritor Rui Barbosa,residential,False,114.107,,"LINESTRING (-37.2775497 -7.0265719, -37.2777461 -7.0261779, -37.2777942 -7.0260665, -37.2779913 -7.0256442)",,
166550375,True,2,PB-110,Avenida Solon de Lucena,primary,False,43.159000000000006,,"LINESTRING (-37.2759367 -7.0293818, -37.2759844 -7.0291673, -37.2760143 -7.0290511, -37.2760273 -7.0290043)",,
168937682,True,,,Rua Severino Martins,residential,False,29.361,,"LINESTRING (-37.2784258 -7.0247178, -37.2786664 -7.0248305)",,
168937689,True,,,Rua Severino Martins,residential,False,57.410000000000004,,"LINESTRING (-37.2784258 -7.0247178, -37.2779849 -7.0245102, -37.2779558 -7.0244965)",,
"[503085109, 471112972, 503086197]",True,,,Rua Escritor Rui Barbosa,residential,False,96.50500000000001,,"LINESTRING (-37.2784258 -7.0247178, -37.2784801 -7.0246088, -37.2785222 -7.0245245, -37.2785894 -7.0243893, -37.2786282 -7.0243113, -37.2786679 -7.0242453, -37.2787008 -7.0241621, -37.2787142 -7.0240868, -37.2787162 -7.0240535, -37.2787055 -7.0240082, -37.2786874 -7.0239823, -37.2786484 -7.023936)",,
167413639,True,,,,secondary,False,12.424,,"LINESTRING (-37.2781009 -7.0241974, -37.2780477 -7.0241854, -37.2779906 -7.0241752)",,
511172719,True,2,PB-110,Avenida Solon de Lucena,primary,False,36.913,,"LINESTRING (-37.2781009 -7.0241974, -37.2780468 -7.0243092, -37.278031 -7.0243414, -37.2779558 -7.0244965)",,
444027670,True,2,,Rua do Prado,primary,False,7.07,,"LINESTRING (-37.2764568 -7.0302032, -37.2763929 -7.0301986)",,
172677424,True,,,Rua Escritor Rui Barbosa,residential,False,98.854,,"LINESTRING (-37.2764568 -7.0302032, -37.2765032 -7.0293773, -37.2765165 -7.0293169)",,
167413242,True,,,Rua Escritor Rui Barbosa,residential,False,90.194,,"LINESTRING (-37.2772224 -7.0274007, -37.2772445 -7.0273447, -37.2775201 -7.0266453)",,
1231775176,True,,,Rua Bossuet Wanderley,residential,False,62.772,,"LINESTRING (-37.2772224 -7.0274007, -37.2767045 -7.0272973, -37.2766657 -7.0272857)",,
503558136,True,2,PB-110,Avenida Solon de Lucena,primary,False,37.297,,"LINESTRING (-37.2782759 -7.0235454, -37.278379 -7.0233031, -37.2783885 -7.0232741, -37.2784017 -7.0232343)",,
1231775173,True,2,,Rua do Prado,primary,False,58.12,,"LINESTRING (-37.2763929 -7.0301986, -37.2758667 -7.0301772)",,
751784838,True,,,Rua Escritor Rui Barbosa,residential,False,99.947,,"LINESTRING (-37.2763929 -7.0301986, -37.2764017 -7.0299606, -37.2764318 -7.0294172, -37.276438 -7.0294006, -37.2764501 -7.0293819, -37.2764674 -7.029356, -37.2764882 -7.0293155)",,
174804600,True,2,PB-110,Rua Cândido Mota,primary,False,73.397,,"LINESTRING (-37.2758667 -7.0301772, -37.275872 -7.0300917, -37.2758845 -7.0299274, -37.2758854 -7.0299162, -37.2758872 -7.0298923, -37.2759024 -7.0296913, -37.2759155 -7.0295189)",,
503558135,True,,,Rua Escritor Rui Barbosa,residential,False,12.209,,"LINESTRING (-37.2783475 -7.0236291, -37.2782759 -7.0235454)",,
511172719,True,2,PB-110,Avenida Solon de Lucena,primary,False,68.803,,"LINESTRING (-37.2783475 -7.0236291, -37.2781009 -7.0241974)",,
511857292,False,,,Rua Leôncio Wanderley,secondary,True,12.274,,"LINESTRING (-37.2784897 -7.0233018, -37.2784017 -7.0232343)",,
167413238,True,2,PB-110,Avenida Solon de Lucena,primary,False,39.634,,"LINESTRING (-37.2784897 -7.0233018, -37.2784671 -7.0233559, -37.2783475 -7.0236291)",,
"[167413243, 511857284]",True,,,Rua Leôncio Wanderley,residential,False,78.10799999999999,,"LINESTRING (-37.2784897 -7.0233018, -37.2785171 -7.023354, -37.2786002 -7.0235119, -37.2786511 -7.0235864, -37.2787135 -7.0236683, -37.2787692 -7.0237275, -37.2787846 -7.0237913, -37.278794 -7.0238512, -37.2787927 -7.0239167)",,
471112971,True,,,Rua Escritor Rui Barbosa,residential,False,8.791,,"LINESTRING (-37.2775201 -7.0266453, -37.2775497 -7.0265719)",,
471112974,True,2,,Avenida Doutor Pedro Firmino,primary,False,11.025,50,"LINESTRING (-37.2775201 -7.0266453, -37.27762 -7.0266457)",,
471112973,True,2,,Avenida Doutor Pedro Firmino,primary,False,57.025,50,"LINESTRING (-37.2775201 -7.0266453, -37.2770998 -7.0264441, -37.2770804 -7.0264348, -37.2770547 -7.0264225)",,
167413524,True,2,,Rua José Gomes Alves,secondary,False,116.54499999999999,,"LINESTRING (-37.2759669 -7.0214424, -37.2759984 -7.0214923, -37.2760369 -7.0215532, -37.2760696 -7.021629, -37.276221 -7.021979, -37.2763139 -7.0221938, -37.2763777 -7.0223414, -37.2764004 -7.0223966)",,
751763755,True,1,,Rua Frei Caneca,secondary,False,28.251,,"LINESTRING (-37.2764967 -7.0224263, -37.2767016 -7.0225786)",,
167413520,True,2,,,secondary,False,16.609,,"LINESTRING (-37.2764967 -7.0224263, -37.2765104 -7.0224428, -37.2765205 -7.0224616, -37.2765267 -7.022482, -37.2765287 -7.0225032, -37.2765265 -7.0225245, -37.2765201 -7.0225448, -37.2765098 -7.0225636)",roundabout,
444009835,False,4,,Avenida Presidente Floriano Peixoto,tertiary,True,18.917,40,"LINESTRING (-37.2763312 -7.0225652, -37.2763183 -7.0226085, -37.2762828 -7.0227284)",,
444009857,True,2,,,secondary,False,16.968000000000004,,"LINESTRING (-37.2763312 -7.0225652, -37.2763203 -7.0225462, -37.2763131 -7.0225231, -37.2763113 -7.0224967, -37.2763166 -7.0224689, -37.2763271 -7.0224465, -37.2763441 -7.0224253)",roundabout,
167413525,True,,,,secondary,False,1.92,,"LINESTRING (-37.2770661 -7.024067, -37.277049 -7.0240702)",roundabout,
167413519,True,,,Rua José Gomes Alves,secondary,False,158.365,,"LINESTRING (-37.2764859 -7.0225886, -37.2768225 -7.0233846, -37.2770413 -7.0239018)",,
167413520,True,2,,,secondary,False,5.008,,"LINESTRING (-37.2764859 -7.0225886, -37.2764725 -7.0225973, -37.2764451 -7.0226078)",roundabout,
167413525,True,,,,secondary,False,5.952,,"LINESTRING (-37.277049 -7.0240702, -37.2770215 -7.0240661, -37.2769985 -7.0240538)",roundabout,
167413529,True,,,Rua Paulo Mendes,residential,False,165.812,,"LINESTRING (-37.277049 -7.0240702, -37.2769246 -7.0243132, -37.2767219 -7.0247266, -37.2763872 -7.0254089)",,
471112972,True,,,Rua Escritor Rui Barbosa,residential,False,47.62,,"LINESTRING (-37.2786484 -7.023936, -37.2783735 -7.0236535, -37.2783475 -7.0236291)",,
167476262,True,,,Rua Paulo Mendes,residential,False,125.136,,"LINESTRING (-37.2770931 -7.023915, -37.2775786 -7.022898)",,
511172739,True,,,,secondary,False,11.796999999999999,,"LINESTRING (-37.2770931 -7.023915, -37.2771094 -7.0239287, -37.2771217 -7.023946, -37.2771293 -7.0239659, -37.2771316 -7.023987, -37.2771285 -7.024008)",roundabout,
167413516,True,2,,Rua José Gomes Alves,secondary,False,117.22,,"LINESTRING (-37.2763441 -7.0224253, -37.276298 -7.0222776, -37.2760259 -7.021644, -37.2759952 -7.0215724, -37.2759669 -7.0214424)",,
"[511172736, 167413520]",True,2,,,secondary,False,7.074,,"LINESTRING (-37.2763441 -7.0224253, -37.2763569 -7.0224148, -37.2763753 -7.0224043, -37.2764004 -7.0223966)",roundabout,
444009835,False,4,,Avenida Presidente Floriano Peixoto,tertiary,True,5.946,40,"LINESTRING (-37.2756377 -7.0250258, -37.2756215 -7.0250768)",,
751763753,True,,,Rua Vidal de Negreiros,residential,False,17.754,,"LINESTRING (-37.2756377 -7.0250258, -37.2757664 -7.0251216)",,
444009835,False,4,,Avenida Presidente Floriano Peixoto,tertiary,False,139.798,40,"LINESTRING (-37.2756377 -7.0250258, -37.2757848 -7.0244626, -37.2758052 -7.0243916, -37.2758261 -7.0243187, -37.2758464 -7.0242482, -37.275981 -7.0238159)",,
167413520,True,2,,,secondary,False,1.758,,"LINESTRING (-37.2764004 -7.0223966, -37.2764163 -7.0223956)",roundabout,
