osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,junction,tunnel
637978546,BR-369,Avenida Inglaterra,secondary,False,False,81.638,"LINESTRING (-51.2745076 -23.2768642, -51.2737254 -23.2767134)",,,
637978546,BR-369,Avenida Inglaterra,secondary,False,True,98.589,"LINESTRING (-51.2745076 -23.2768642, -51.2754533 -23.2770415)",,,
255398444,,Rua Nossa Senhora do Rocio,residential,False,True,95.28,"LINESTRING (-51.2745076 -23.2768642, -51.2744696 -23.2770375, -51.2743234 -23.2777042)",,,
106669815,,Avenida Inglaterra,residential,True,False,66.118,"LINESTRING (-51.2818232 -23.2782311, -51.2824621 -23.2783266)",,,
637978540,,Avenida Inglaterra,secondary,True,False,62.453,"LINESTRING (-51.2818232 -23.2782311, -51.2824329 -23.2781889)",2,,
106423369,,Rua Belo Horizonte,primary,False,False,162.908,"LINESTRING (-51.2738989 -23.2758405, -51.2754611 -23.2761355)",,,
255398448,,Travessa Dom Pedro II,residential,False,False,98.667,"LINESTRING (-51.2738989 -23.2758405, -51.2737254 -23.2767134)",,,
106670506,,Rua Rio Grande do Norte,residential,False,False,106.672,"LINESTRING (-51.2782804 -23.2797303, -51.277415 -23.2802673)",,,
106670506,,Rua Rio Grande do Norte,residential,False,True,103.184,"LINESTRING (-51.2782804 -23.2797303, -51.2791291 -23.279227)",,,
1084221345,,Avenida Canadá,secondary,False,False,132.459,"LINESTRING (-51.2782804 -23.2797303, -51.2782314 -23.2796265, -51.2780481 -23.2786964, -51.2780388 -23.2785638)",2,,
1084221345,,Avenida Canadá,secondary,False,True,136.659,"LINESTRING (-51.2782804 -23.2797303, -51.2783323 -23.2798001, -51.279382 -23.2804166)",2,,
255398444,,Rua Nossa Senhora do Rocio,residential,False,False,96.475,"LINESTRING (-51.2741444 -23.2785561, -51.2743234 -23.2777042)",,,
255398444,,Rua Nossa Senhora do Rocio,residential,False,True,69.053,"LINESTRING (-51.2741444 -23.2785561, -51.2742533 -23.279169)",,,
106669782,,Rua França,secondary,True,False,100.804,"LINESTRING (-51.2790249 -23.2786, -51.2780388 -23.2785638)",2,,
370497920,,Rua Espanha,tertiary,True,False,98.9,"LINESTRING (-51.2790249 -23.2786, -51.2791992 -23.2777251)",2,,
255398446,,Rua Equador,residential,False,False,18.285,"LINESTRING (-51.2814156 -23.2762193, -51.2814596 -23.2760599)",,,
255398446,,Rua Equador,residential,False,True,18.85,"LINESTRING (-51.2814156 -23.2762193, -51.2813634 -23.2763819)",,,
