osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,junction,bridge
243496098,False,Rua Sigefredo Diógenes,secondary,False,78.617,"LINESTRING (-38.6193513 -5.8820881, -38.6188437 -5.8815932)",,,,
243496098,False,Rua Sigefredo Diógenes,secondary,True,51.711,"LINESTRING (-38.6193513 -5.8820881, -38.6196852 -5.8824136)",,,,
243248355,False,Rua Clóvis Carvalho,residential,False,185.812,"LINESTRING (-38.6193513 -5.8820881, -38.6189369 -5.8822469, -38.6184642 -5.8824176, -38.6181463 -5.8825277, -38.6181249 -5.8825394, -38.6181145 -5.8825524, -38.6181105 -5.882571, -38.6181138 -5.8825914, -38.6182127 -5.8828892)",,,,
239744249,True,Rua Savino Barreira,tertiary,False,46.563,"LINESTRING (-38.62178 -5.886836, -38.6217345 -5.8864197)",2,,,
239748485,True,Travessa Celso Barreira,residential,False,76.696,"LINESTRING (-38.62178 -5.886836, -38.6214971 -5.886872, -38.6210907 -5.88691)",,,,
239744248,True,Rua da Rodoviaria 2,tertiary,False,60.093,"LINESTRING (-38.6214589 -5.8845514, -38.6216319 -5.8850637)",2,,,
435994131,False,Travessa Monsenhor Fernandes Távora,residential,True,23.287,"LINESTRING (-38.6214589 -5.8845514, -38.621654 -5.8844727)",,,,
239744252,False,Travessa Monsenhor Fernandes Távora,residential,False,32.071,"LINESTRING (-38.6214589 -5.8845514, -38.6213916 -5.8845738, -38.6211839 -5.8846428)",4,,,
674294568,False,Avenida Oito de novembro,secondary,True,47.267,"LINESTRING (-38.6205576 -5.8839645, -38.6204778 -5.8835469)",2,60,,
239744250,True,Avenida Oito de novembro,secondary,False,95.346,"LINESTRING (-38.6205576 -5.8839645, -38.6205724 -5.8839878, -38.6205922 -5.8840325, -38.620613 -5.8840862, -38.6206277 -5.8841399, -38.6207031 -5.8846035, -38.6207366 -5.8847989)",2,60,,
239744250,True,Avenida Oito de novembro,secondary,False,144.696,"LINESTRING (-38.6208782 -5.885626, -38.6210907 -5.88691)",2,60,,
243494611,True,,residential,False,10.509,"LINESTRING (-38.6208782 -5.885626, -38.6207863 -5.88565)",,,,
239744250,True,Avenida Oito de novembro,secondary,False,12.232,"LINESTRING (-38.6208577 -5.8855179, -38.6208782 -5.885626)",2,60,,
239744259,True,Travessa Nelson Maia,residential,False,32.225,"LINESTRING (-38.6208577 -5.8855179, -38.6211357 -5.8854312)",3,,,
239744259,True,Travessa Nelson Maia,residential,False,31.684,"LINESTRING (-38.6211357 -5.8854312, -38.6214092 -5.8853465)",3,,,
243248324,False,,residential,False,81.03,"LINESTRING (-38.6211357 -5.8854312, -38.620907 -5.8847389)",2,,,
243248324,False,,residential,True,12.965,"LINESTRING (-38.6211357 -5.8854312, -38.6211725 -5.8855419)",2,,,
239744259,True,Travessa Nelson Maia,residential,False,31.606,"LINESTRING (-38.6214092 -5.8853465, -38.6216828 -5.8852645)",3,,,
243248323,False,,residential,False,82.12,"LINESTRING (-38.6214092 -5.8853465, -38.6211839 -5.8846428)",2,,,
243248323,False,,residential,True,13.434,"LINESTRING (-38.6214092 -5.8853465, -38.6214428 -5.8854626)",2,,,
243248367,True,Rua Cônego Mourão,residential,False,86.625,"LINESTRING (-38.6215407 -5.8896714, -38.6222977 -5.8894717)",,,,
239749093,True,Avenida Virgílio Távora,tertiary,False,50.012,"LINESTRING (-38.6243967 -5.888963, -38.6243209 -5.8885196)",2,,,
803715759,False,Rua Cônego Mourão,residential,False,8.514,"LINESTRING (-38.6243967 -5.888963, -38.6244722 -5.8889481)",,,,
239747075,False,Rua Savino Barreira,tertiary,True,18.425,"LINESTRING (-38.6222977 -5.8894717, -38.6222967 -5.8894043, -38.6222991 -5.8893466, -38.6223012 -5.8893061)",,,,
243248367,True,Rua Cônego Mourão,residential,False,90.52,"LINESTRING (-38.6222977 -5.8894717, -38.6223259 -5.8894633, -38.6223738 -5.8894477, -38.6224694 -5.8894206, -38.6226223 -5.889376, -38.6227839 -5.8893319, -38.6230863 -5.8892546)",,,,
239744249,True,Rua Savino Barreira,tertiary,False,53.877,"LINESTRING (-38.6220463 -5.8881293, -38.6219564 -5.8876531)",2,,,
243248365,True,Travessa Sá Pereira,residential,False,81.563,"LINESTRING (-38.6220463 -5.8881293, -38.6213201 -5.8882567)",,,,
803715758,False,Travessa Sá Pereira,residential,True,10.157,"LINESTRING (-38.6220463 -5.8881293, -38.6221375 -5.8881186)",,,,
239744250,True,Avenida Oito de novembro,secondary,False,68.831,"LINESTRING (-38.6213201 -5.8882567, -38.6214066 -5.8888697)",2,60,,
243248365,True,Travessa Sá Pereira,residential,False,10.67,"LINESTRING (-38.6213201 -5.8882567, -38.6212262 -5.8882787)",,,,
239744250,True,Avenida Oito de novembro,secondary,False,53.518,"LINESTRING (-38.6212356 -5.8877828, -38.6213201 -5.8882567)",2,60,,
239748484,True,Rua Sinobilino Pinheiro,residential,False,81.021,"LINESTRING (-38.6212356 -5.8877828, -38.6219564 -5.8876531)",,,,
239744249,True,Rua Savino Barreira,tertiary,False,50.441,"LINESTRING (-38.6219564 -5.8876531, -38.6218601 -5.8872097)",2,,,
239748484,True,Rua Sinobilino Pinheiro,residential,False,10.286,"LINESTRING (-38.6219564 -5.8876531, -38.6220476 -5.887635)",,,,
243494610,False,,residential,False,10.215,"LINESTRING (-38.6210907 -5.88691, -38.6209989 -5.88692)",,,,
239744250,True,Avenida Oito de novembro,secondary,False,98.367,"LINESTRING (-38.6210907 -5.88691, -38.6211551 -5.8873122, -38.6212356 -5.8877828)",2,60,,
806432121,False,Rua Savino Barreira,tertiary,False,4.096,"LINESTRING (-38.621699 -5.8853829, -38.6217006 -5.8854197)",2,,,
243364119,True,Travessa Nelson Maia,residential,False,29.693,"LINESTRING (-38.621699 -5.8853829, -38.6216433 -5.8854014, -38.6214428 -5.8854626)",2,,,
243249158,False,,residential,False,8.989,"LINESTRING (-38.6230273 -5.8849656, -38.6231057 -5.8849443)",,,,
243364119,True,Travessa Nelson Maia,residential,False,56.37,"LINESTRING (-38.6230273 -5.8849656, -38.6225459 -5.885132)",2,,,
239749093,True,Avenida Virgílio Távora,tertiary,False,104.658,"LINESTRING (-38.6230273 -5.8849656, -38.6229126 -5.8846471, -38.6226919 -5.8840856)",2,,,
