osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,tunnel
102940127,2,CE-251,Avenida Contorno Norte,primary,False,True,12.062,"LINESTRING (-38.6269585 -3.8753867, -38.6270598 -3.8754261)",,
912542868,2,CE-251,Avenida Padre José Holanda do Vale,primary,True,False,19.994,"LINESTRING (-38.6269585 -3.8753867, -38.6270263 -3.8752201)",,
103425644,,,,residential,False,False,12.049,"LINESTRING (-38.6267539 -3.8762199, -38.6266532 -3.8761793)",,
912541633,2,CE-251,Avenida Padre José Holanda do Vale,secondary,True,False,152.987,"LINESTRING (-38.6267539 -3.8762199, -38.6264773 -3.8769005, -38.6262479 -3.8774997)",,
102940127,2,CE-251,Avenida Contorno Norte,primary,False,False,12.062,"LINESTRING (-38.6270598 -3.8754261, -38.6269585 -3.8753867)",,
912541633,2,CE-251,Avenida Padre José Holanda do Vale,secondary,True,False,94.566,"LINESTRING (-38.6270598 -3.8754261, -38.6267539 -3.8762199)",,
103363281,,,Avenida Estruturante,tertiary,True,False,82.423,"LINESTRING (-38.6283065 -3.875693, -38.6289977 -3.8759648)",,
396277726,,,Rua Novo Oriente,residential,False,False,102.547,"LINESTRING (-38.6283065 -3.875693, -38.6286512 -3.8748373)",,
913920449,2,,Rua Oriente,tertiary,False,True,63.071,"LINESTRING (-38.6283065 -3.875693, -38.6277718 -3.8755003)",,
102943843,,,Avenida Estruturante,tertiary_link,True,False,50.294,"LINESTRING (-38.6289977 -3.8759648, -38.6290087 -3.8760581, -38.6290133 -3.8761137, -38.6289994 -3.87617, -38.6289704 -3.8762087, -38.6289037 -3.8762383, -38.6288457 -3.8762596, -38.6287838 -3.8762611)",,
102943836,,,Avenida Estruturante,tertiary,True,False,82.82600000000001,"LINESTRING (-38.6287838 -3.8762611, -38.6285438 -3.8759841, -38.6284048 -3.8758464, -38.6283374 -3.8757605, -38.6283065 -3.875693)",,
102940126,2,CE-251,Avenida Padre José Holanda do Vale,primary,True,False,84.623,"LINESTRING (-38.6277152 -3.8736626, -38.6274485 -3.8743756)",,
