osmid,ref,highway,junction,oneway,reversed,length,name,geometry,maxspeed
391254709,MT-325,secondary,roundabout,True,False,14.836,,"LINESTRING (-57.5084956 -11.2540989, -57.5083812 -11.2541711)",
863410344,MT-325,secondary,,True,False,83.87,Avenida Arinos,"LINESTRING (-57.5084956 -11.2540989, -57.5088936 -11.2547443)",
391254709,MT-325,secondary,roundabout,True,False,75.368,,"LINESTRING (-57.5076424 -11.2541599, -57.5074609 -11.2540207, -57.5073294 -11.2538353, -57.5072594 -11.25362)",
391254709,MT-325,secondary,roundabout,True,False,13.913,,"LINESTRING (-57.5087909 -11.2534235, -57.5087932 -11.2535486)",
"[476695942, 300875270]",,tertiary,,True,False,75.916,Avenida Mato Grosso,"LINESTRING (-57.5087909 -11.2534235, -57.5088846 -11.2534375, -57.5094857 -11.2534212)",
391254709,MT-325,secondary,roundabout,True,False,71.14500000000001,,"LINESTRING (-57.5087932 -11.2535486, -57.5087489 -11.2537574, -57.508647 -11.2539458, -57.5084956 -11.2540989)",
391254709,MT-325,secondary,roundabout,True,False,73.953,,"LINESTRING (-57.5083812 -11.2541711, -57.5081678 -11.2542442, -57.507942 -11.2542537, -57.507723 -11.2541987)",
391254709,MT-325,secondary,roundabout,True,False,85.126,,"LINESTRING (-57.5072504 -11.2535336, -57.5072828 -11.2532804, -57.5073991 -11.2530521, -57.5075861 -11.2528747)",
391254709,MT-325,secondary,roundabout,True,False,14.277,,"LINESTRING (-57.5075861 -11.2528747, -57.5077 -11.2528114)",
465891463,,residential,,True,False,63.983999999999995,,"LINESTRING (-57.5075861 -11.2528747, -57.5073039 -11.2524663, -57.507256 -11.252399)",
391254709,MT-325,secondary,roundabout,True,False,45.158,,"LINESTRING (-57.5082069 -11.2527643, -57.5083995 -11.2528388, -57.508565 -11.2529608)",
391254709,MT-325,secondary,roundabout,True,False,9.792,,"LINESTRING (-57.507723 -11.2541987, -57.5076424 -11.2541599)",
465891460,,tertiary,,True,False,80.566,,"LINESTRING (-57.507723 -11.2541987, -57.5073788 -11.2548398)",
391254709,MT-325,secondary,roundabout,True,False,31.714,,"LINESTRING (-57.5077 -11.2528114, -57.5078235 -11.2527679, -57.5079528 -11.2527454, -57.5079807 -11.252741)",
391254709,MT-325,secondary,roundabout,True,False,9.657,,"LINESTRING (-57.5072594 -11.25362, -57.5072504 -11.2535336)",
1204417199,MT-325,secondary,,True,False,67.035,Avenida Mato Grosso,"LINESTRING (-57.5072594 -11.25362, -57.5066459 -11.2536573)",
476695921,,residential,,False,False,13.724,Rua Belo Horizonte,"LINESTRING (-57.5124645 -11.2532665, -57.5125321 -11.2533706)",
476695921,,residential,,False,True,72.853,Rua Belo Horizonte,"LINESTRING (-57.5124645 -11.2532665, -57.5121061 -11.2527136)",
