osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,width
230040161,2,Rua do Cruzeiro,tertiary,False,True,78.749,"LINESTRING (-41.0815135 -10.9701779, -41.0822347 -10.9701942)",,,
230041820,,Rua Bela Vista,residential,False,False,76.156,"LINESTRING (-41.0815135 -10.9701779, -41.0811784 -10.9695772)",,,
383266685,2,Rua da Saudade,tertiary,False,True,69.564,"LINESTRING (-41.0815135 -10.9701779, -41.0808763 -10.9701858)",,,
230046111,,Travessa dos Evangélicos,residential,False,True,59.639,"LINESTRING (-41.0781884 -10.9702635, -41.0781811 -10.9697272)",,,
230046860,,Travessa da Caixa dagua,residential,False,True,14.477,"LINESTRING (-41.0781884 -10.9702635, -41.0781296 -10.9703802)",,,
383266685,2,Rua da Saudade,tertiary,False,False,137.096,"LINESTRING (-41.0781884 -10.9702635, -41.079337 -10.9702051, -41.0793735 -10.9702114, -41.0794007 -10.9702278, -41.0794265 -10.9702535)",,,
383266685,2,Rua da Saudade,tertiary,False,True,144.746,"LINESTRING (-41.0781884 -10.9702635, -41.0780835 -10.9702717, -41.0779436 -10.9702874, -41.0777112 -10.9703289, -41.0768856 -10.9704996)",,,
230050759,,Rua São José,residential,False,True,5.053,"LINESTRING (-41.0820825 -10.9697847, -41.0821285 -10.9697796)",,,
"[784791384, 230040156]",2,Rua J Ferreira Silva,secondary,True,False,81.292,"LINESTRING (-41.0820825 -10.9697847, -41.0820479 -10.9697316, -41.0820061 -10.9696729, -41.0819722 -10.9696357, -41.081928 -10.9695929, -41.0815649 -10.9692632)",,,
230040156,2,Rua J Ferreira Silva,secondary,True,False,31.493,"LINESTRING (-41.0815649 -10.9692632, -41.081335 -10.9690921)",,,
230041824,,Rua Agostinho Estavão Neto,residential,False,True,54.765,"LINESTRING (-41.0815649 -10.9692632, -41.0811784 -10.9695772)",,,
230040155,2,Rua Gilberto de Miranda,tertiary,False,True,32.608,"LINESTRING (-41.0822347 -10.9701942, -41.0824995 -10.9703299)",,,
230040158,2,Rua J Ferreira Silva,secondary,True,False,48.471,"LINESTRING (-41.0822347 -10.9701942, -41.0820825 -10.9697847)",,,
230040161,2,Rua do Cruzeiro,tertiary,False,False,78.749,"LINESTRING (-41.0822347 -10.9701942, -41.0815135 -10.9701779)",,,
230041818,,Rua Sete de Setembro,residential,False,True,74.392,"LINESTRING (-41.0822347 -10.9701942, -41.0824446 -10.9708307)",,,
230041819,,Rua Marechal Deodoro da Fonseca,residential,False,True,11.933,"LINESTRING (-41.0807987 -10.9686904, -41.0806971 -10.96873)",,,
