osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,tunnel,bridge,junction
767604094,True,2,MG-338,Rua Comendador João Fernandes,secondary,False,80.048,"LINESTRING (-43.7729597 -21.227217, -43.7737044 -21.2270263)",,,,
767604095,True,2,MG-338,Praça Pedro Teixeira,secondary,False,31.891,"LINESTRING (-43.7737044 -21.2270263, -43.7737792 -21.2273045)",,,,
243100125,True,1,,Rua Vigário Brito,residential,False,175.988,"LINESTRING (-43.7737044 -21.2270263, -43.7738382 -21.2269381, -43.7738819 -21.2268981, -43.7739059 -21.2268537, -43.7740481 -21.2265325, -43.7740933 -21.226353, -43.7740901 -21.2262034, -43.7739112 -21.2255838)",,,,
201763304,False,,,Rua Teobaldo Tolendal,residential,True,141.401,"LINESTRING (-43.7741111 -21.2241155, -43.7753907 -21.2236747)",,,,
201763307,True,,,Rua Teobaldo Tolendal,residential,False,112.274,"LINESTRING (-43.7741111 -21.2241155, -43.7733044 -21.2244025, -43.7732441 -21.2244297, -43.7731844 -21.2244753, -43.773133 -21.2245269)",,,,
338845567,True,2,,Rua Silva Jardim,tertiary,False,27.396,"LINESTRING (-43.7782582 -21.2227117, -43.7782048 -21.222953)",,,,
251504691,False,,,Rua Doutor Belisário Pena,residential,False,60.879,"LINESTRING (-43.7751251 -21.2213388, -43.7752682 -21.2218698)",,,,
944850468,False,2,,Avenida Pereira Teixeira,tertiary,False,164.066,"LINESTRING (-43.7751251 -21.2213388, -43.7736108 -21.2217682)",40,,,
944850468,False,2,,Avenida Pereira Teixeira,tertiary,True,154.532,"LINESTRING (-43.7751251 -21.2213388, -43.7765651 -21.220979)",40,,,
944850468,False,2,,Avenida Pereira Teixeira,tertiary,False,154.532,"LINESTRING (-43.7765651 -21.220979, -43.7751251 -21.2213388)",40,,,
243099943,False,,,Rua José Felipe Sad,residential,False,56.749,"LINESTRING (-43.7740227 -21.2276888, -43.7740941 -21.2281948)",,,,
243100152,False,2,MG-338,Rua José Bonifácio,secondary,False,117.01,"LINESTRING (-43.7740227 -21.2276888, -43.7751511 -21.2276577)",40,,,
243100056,True,1,MG-338,Praça Conde de Prados,secondary,False,29.775,"LINESTRING (-43.7740227 -21.2276888, -43.7738863 -21.2277168, -43.7737418 -21.2277448)",,,,
201764071,True,2,,Rua Rio de Janeiro,tertiary,False,91.349,"LINESTRING (-43.7775233 -21.2221674, -43.7769948 -21.22151)",,,,
961963314,True,,,Rua Rio de Janeiro,residential,False,83.232,"LINESTRING (-43.7775233 -21.2221674, -43.7780527 -21.2227302)",,,,
338845567,True,2,,Rua Silva Jardim,tertiary,False,195.727,"LINESTRING (-43.7778711 -21.2248654, -43.7776178 -21.2261954, -43.7774684 -21.2265804)",,,,
1266608270,True,2,,Praça Soares Ferreira,tertiary,False,16.858,"LINESTRING (-43.7771168 -21.2270189, -43.7771049 -21.2268677)",,,,
229553030,True,2,,Rua Baronesa Maria Rosa,tertiary,False,85.067,"LINESTRING (-43.7773981 -21.2235937, -43.7774607 -21.2228309)",,,,
201763316,False,,,Rua 13 de Maio,residential,False,144.506,"LINESTRING (-43.7773981 -21.2235937, -43.7772996 -21.2236077, -43.7771725 -21.2236423, -43.7761209 -21.2241033)",,,,
246780779,True,2,MG-338,Rua General Hernani Rabello,secondary,False,110.754,"LINESTRING (-43.7725957 -21.228279, -43.7722983 -21.2279714, -43.7722404 -21.2278694, -43.7721351 -21.2274133)",,,,
246780782,True,2,MG-135,Rua General Câmara,secondary,False,206.021,"LINESTRING (-43.7725957 -21.228279, -43.7722963 -21.2285423, -43.7722224 -21.2286563, -43.7721689 -21.2287947, -43.7718033 -21.2299336)",,,,
247281735,True,1,,Rua 15 de Novembro,tertiary,False,173.317,"LINESTRING (-43.7724474 -21.2220748, -43.7729351 -21.2235657)",40,,,
247281737,True,2,,Avenida Pereira Teixeira,tertiary,False,125.318,"LINESTRING (-43.7724474 -21.2220748, -43.7736108 -21.2217682)",40,,,
247281736,True,,,Rua Presidente Kennedy,residential,False,101.033,"LINESTRING (-43.7736108 -21.2217682, -43.7737813 -21.2226628)",,,,
944850468,False,2,,Avenida Pereira Teixeira,tertiary,True,164.066,"LINESTRING (-43.7736108 -21.2217682, -43.7751251 -21.2213388)",40,,,
201761267,False,,,Rua Hermílio Alves,residential,True,67.678,"LINESTRING (-43.7701329 -21.2218945, -43.7695189 -21.2221015)",,,,
126511201,True,2,MG-338,Avenida Bias Fortes,secondary,False,175.019,"LINESTRING (-43.7713865 -21.2223576, -43.7718634 -21.2238675)",40,,,
