osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction,maxspeed,ref
159645978,Rua Joinville,residential,False,False,70.904,"LINESTRING (-49.5169757 -27.0522826, -49.5169852 -27.0529202)",,,,,
159646000,Rua Danilo Marchetti,residential,False,True,64.066,"LINESTRING (-49.5169757 -27.0522826, -49.5163288 -27.0522885)",,,,,
159645978,Rua Joinville,residential,False,True,289.948,"LINESTRING (-49.5169757 -27.0522826, -49.5169562 -27.0509859, -49.5175025 -27.0497688)",,,,,
159645978,Rua Joinville,residential,False,True,70.904,"LINESTRING (-49.5169852 -27.0529202, -49.5169757 -27.0522826)",,,,,
745491993,Rua Joinville,tertiary,True,False,48.052,"LINESTRING (-49.5169852 -27.0529202, -49.5169917 -27.0533523)",,,,,
745491994,Rua Willi Luderwaldt,residential,False,False,202.966,"LINESTRING (-49.5169852 -27.0529202, -49.5179545 -27.0529802, -49.5180771 -27.0530205, -49.518155 -27.0531069, -49.5181756 -27.0532621, -49.5181728 -27.0538386)",,,,,
745491990,Rua Doutor Getúlio Vargas,tertiary,True,False,66.588,"LINESTRING (-49.5169917 -27.0533523, -49.5166466 -27.0533365, -49.5163202 -27.0533211)",,,,,
745491991,Rua Doutor Getúlio Vargas,tertiary,False,False,129.708,"LINESTRING (-49.5169917 -27.0533523, -49.5170961 -27.0533605, -49.5171732 -27.05338, -49.5173988 -27.0534709, -49.5181728 -27.0538386)",,,,,
159645993,Rua Doutor Getúlio Vargas,tertiary,False,False,97.534,"LINESTRING (-49.5153369 -27.053271, -49.5163202 -27.0533211)",,,,,
423030740,Rua 11 de Março,tertiary,False,False,165.155,"LINESTRING (-49.5153369 -27.053271, -49.5149224 -27.053897, -49.5146583 -27.0542822, -49.5145001 -27.0545552)",,,,,
159645993,Rua Doutor Getúlio Vargas,tertiary,False,True,97.534,"LINESTRING (-49.5163202 -27.0533211, -49.5153369 -27.053271)",,,,,
314701785,Rua Nereu Ramos,tertiary,True,False,45.416,"LINESTRING (-49.5163202 -27.0533211, -49.5163211 -27.0532506, -49.5163258 -27.0529127)",,,,,
159651179,Rua Heinrich Berg,residential,False,False,70.529,"LINESTRING (-49.5189772 -27.0544933, -49.5191883 -27.0542147, -49.519258 -27.0541144, -49.5193036 -27.0539388)",,,,,
745491991,Rua Doutor Getúlio Vargas,tertiary,False,False,114.21799999999999,"LINESTRING (-49.5189772 -27.0544933, -49.5192233 -27.0547473, -49.5196007 -27.0550943, -49.5197636 -27.0552442)",,,,,
