osmid,ref,highway,oneway,reversed,length,bridge,name,geometry,lanes,maxspeed
"[83667209, 187128226, 190021174]",SPA-053/312,secondary,False,False,100.282,viaduct,Ponte Velha,"LINESTRING (-47.0038953 -23.3994757, -47.0041442 -23.399285, -47.0045968 -23.3988988, -47.0046209 -23.398869)",,
685372190,,tertiary,False,True,124.03099999999999,,Rua Bom Jesus,"LINESTRING (-47.0038953 -23.3994757, -47.0037592 -23.3992745, -47.0036792 -23.3991128, -47.0034391 -23.3984473)",,
"[83667209, 187128226, 190021174]",SPA-053/312,secondary,False,True,100.28200000000001,viaduct,Ponte Velha,"LINESTRING (-47.0046209 -23.398869, -47.0045968 -23.3988988, -47.0041442 -23.399285, -47.0038953 -23.3994757)",,
432183774,SPA-053/312,secondary,False,False,90.51700000000001,,Estrada dos Romeiros,"LINESTRING (-47.0046209 -23.398869, -47.0046261 -23.398847, -47.0046098 -23.3986836, -47.0045788 -23.3980568)",,
448566878,,tertiary,False,True,107.315,,,"LINESTRING (-47.0046209 -23.398869, -47.0049141 -23.3991324, -47.0051323 -23.3993408, -47.00536 -23.3995554)",,
"[190021200, 190021169, 190021182]",SP-312,primary,False,False,172.975,viaduct,Avenida Maria José de Oliveira Bueno,"LINESTRING (-47.0036376 -23.3955062, -47.0037162 -23.3955819, -47.0042631 -23.3957317, -47.0043017 -23.3957426, -47.0049965 -23.395938, -47.0052171 -23.396032)",,
190021212,,tertiary,False,False,94.55399999999999,,Rua José Bonifácio,"LINESTRING (-47.0036376 -23.3955062, -47.0035879 -23.395562, -47.0031796 -23.3960471, -47.003061 -23.3961715)",,
470689499,SP-312,primary,False,True,63.048,,Contorno Viário,"LINESTRING (-47.0036376 -23.3955062, -47.0037443 -23.3953841, -47.0038521 -23.3952614, -47.0040251 -23.3950646)",2,
432206857,,residential,False,False,123.40200000000002,,Rua Gino Zucolin,"LINESTRING (-46.9992394 -23.4004943, -46.999328 -23.4004473, -46.9993562 -23.4004239, -46.999381 -23.4003956, -46.9994809 -23.400243, -46.9996833 -23.3999747, -46.9997222 -23.399939, -46.9997786 -23.3999119, -47.0001356 -23.3998622)",,
660241666,SP-312,primary,False,False,691.9159999999999,,Contorno Viário,"LINESTRING (-46.9992394 -23.4004943, -46.9992425 -23.4003255, -46.9992367 -23.4002193, -46.9992104 -23.4000846, -46.9991734 -23.3999644, -46.9991101 -23.3998159, -46.9988702 -23.3992837, -46.9988224 -23.3991599, -46.9987879 -23.3990346, -46.9987755 -23.39891, -46.9987713 -23.3987724, -46.9988071 -23.3971569, -46.9988444 -23.3967731, -46.9989127 -23.3963722, -46.9990438 -23.3959259, -46.9993135 -23.3953032, -46.9995433 -23.3949349, -46.9998495 -23.3945667)",3,
660241666,SP-312,primary,False,True,691.9159999999999,,Contorno Viário,"LINESTRING (-46.9998495 -23.3945667, -46.9995433 -23.3949349, -46.9993135 -23.3953032, -46.9990438 -23.3959259, -46.9989127 -23.3963722, -46.9988444 -23.3967731, -46.9988071 -23.3971569, -46.9987713 -23.3987724, -46.9987755 -23.39891, -46.9987879 -23.3990346, -46.9988224 -23.3991599, -46.9988702 -23.3992837, -46.9991101 -23.3998159, -46.9991734 -23.3999644, -46.9992104 -23.4000846, -46.9992367 -23.4002193, -46.9992425 -23.4003255, -46.9992394 -23.4004943)",3,
1163737798,SP-312,primary,False,False,74.436,,Contorno Viário,"LINESTRING (-46.9998495 -23.3945667, -47.0000777 -23.3943006, -47.0003227 -23.394058)",3,
"[477583090, 1163737799]",,unclassified,False,False,226.865,,Viela da Barragem,"LINESTRING (-46.9998495 -23.3945667, -46.9997368 -23.3944157, -46.9996199 -23.3942588, -46.9994303 -23.3939475, -46.9992228 -23.3937562, -46.9989979 -23.3936655, -46.998945 -23.3935876, -46.9989698 -23.3935217, -46.9990562 -23.3934861, -46.9992346 -23.3934562, -46.9993504 -23.3934334, -46.9994437 -23.3933617, -46.9993988 -23.3932975, -46.999286 -23.3932949)",,
432267186,SP-312,primary,False,False,26.841,,Avenida Maria José de Oliveira Bueno,"LINESTRING (-47.0063103 -23.3966029, -47.0065531 -23.3966957)",2,
432267186,SP-312,primary,False,True,128.626,,Avenida Maria José de Oliveira Bueno,"LINESTRING (-47.0063103 -23.3966029, -47.0058382 -23.3963807, -47.0054681 -23.3961953, -47.0053009 -23.3960961, -47.0052171 -23.396032)",2,
477782156,,residential,False,True,58.554,,Rua Vereador Roberto Carlos Soldado,"LINESTRING (-47.0063103 -23.3966029, -47.0062501 -23.3966617, -47.0061909 -23.3966888, -47.0060634 -23.3967341, -47.0058866 -23.3967879, -47.005799 -23.3968255)",,
190019309,,residential,False,True,68.401,,Rua Geraldo Paulino da Silveira,"LINESTRING (-47.005799 -23.3968255, -47.0061622 -23.3973425)",,
477782156,,residential,False,True,10.91,,Rua Vereador Roberto Carlos Soldado,"LINESTRING (-47.005799 -23.3968255, -47.0057207 -23.3968923)",,
477782156,,residential,False,False,58.554,,Rua Vereador Roberto Carlos Soldado,"LINESTRING (-47.005799 -23.3968255, -47.0058866 -23.3967879, -47.0060634 -23.3967341, -47.0061909 -23.3966888, -47.0062501 -23.3966617, -47.0063103 -23.3966029)",,
477782156,,residential,False,False,10.91,,Rua Vereador Roberto Carlos Soldado,"LINESTRING (-47.0057207 -23.3968923, -47.005799 -23.3968255)",,
477782156,,residential,False,True,106.166,,Rua Vereador Roberto Carlos Soldado,"LINESTRING (-47.0057207 -23.3968923, -47.0050462 -23.3976192)",,
1121564263,,residential,False,False,32.592999999999996,,Rua 3,"LINESTRING (-47.0057207 -23.3968923, -47.0056246 -23.3968129, -47.0054813 -23.3966983)",,
432267186,SP-312,primary,False,True,13.147,,Avenida Maria José de Oliveira Bueno,"LINESTRING (-47.0070999 -23.3969425, -47.0069842 -23.3968905)",2,
190019314,,residential,False,True,105.767,,Rua João de Oliveira,"LINESTRING (-47.0070999 -23.3969425, -47.0064565 -23.3971916, -47.006229 -23.3972966, -47.0061622 -23.3973425)",,
432267186,SP-312,primary,False,False,22.357,,Avenida Maria José de Oliveira Bueno,"LINESTRING (-47.0070999 -23.3969425, -47.0072026 -23.3969911, -47.0072953 -23.3970334)",2,
432267186,SP-312,primary,False,True,22.357,,Avenida Maria José de Oliveira Bueno,"LINESTRING (-47.0072953 -23.3970334, -47.0072026 -23.3969911, -47.0070999 -23.3969425)",2,
190019309,,residential,False,False,68.401,,Rua Geraldo Paulino da Silveira,"LINESTRING (-47.0061622 -23.3973425, -47.005799 -23.3968255)",,
190019309,,residential,False,True,61.298,,Rua Geraldo Paulino da Silveira,"LINESTRING (-47.0061622 -23.3973425, -47.0065216 -23.3977842)",,
190019314,,residential,False,False,105.767,,Rua João de Oliveira,"LINESTRING (-47.0061622 -23.3973425, -47.006229 -23.3972966, -47.0064565 -23.3971916, -47.0070999 -23.3969425)",,
190019314,,residential,False,True,85.104,,Rua João de Oliveira,"LINESTRING (-47.0061622 -23.3973425, -47.0061 -23.3973911, -47.0056063 -23.397912)",,
477782156,,residential,False,False,106.166,,Rua Vereador Roberto Carlos Soldado,"LINESTRING (-47.0050462 -23.3976192, -47.0057207 -23.3968923)",,
477782156,,residential,False,True,9.526,,Rua Vereador Roberto Carlos Soldado,"LINESTRING (-47.0050462 -23.3976192, -47.0050044 -23.3976958)",,
190019299,SPA-053/312,secondary,True,False,66.358,,Estrada dos Romeiros,"LINESTRING (-47.0050462 -23.3976192, -47.0051653 -23.3976521, -47.0052661 -23.3976985, -47.0054647 -23.3978076, -47.0056063 -23.397912)",,
190019299,SPA-053/312,secondary,True,False,29.258000000000003,,Estrada dos Romeiros,"LINESTRING (-47.0047656 -23.3976656, -47.0048691 -23.3976354, -47.004998 -23.397621, -47.0050462 -23.3976192)",,
432183773,SPA-053/312,secondary,False,True,52.189,,Estrada dos Romeiros,"LINESTRING (-47.0047656 -23.3976656, -47.0046796 -23.3976994, -47.0046299 -23.3977495, -47.0045911 -23.3978288, -47.0045773 -23.3979287, -47.0045788 -23.3980568)",,
190019308,SPA-053/312,secondary,True,False,12.267,,Estrada dos Romeiros,"LINESTRING (-47.0067065 -23.3978293, -47.0065988 -23.3978783)",,
