osmid,oneway,name,highway,reversed,length,lanes,maxspeed,geometry,junction
516267194,True,Praça Barão do Rio Branco,tertiary,False,17.317,,,"LINESTRING (-45.558389 -23.0280904, -45.5582736 -23.0282043)",
214343799,True,Rua Visconde do Rio Branco,tertiary,False,18.756999999999998,1,30,"LINESTRING (-45.558389 -23.0280904, -45.5583491 -23.0280926, -45.5583192 -23.0280954, -45.5582841 -23.0280855, -45.5582305 -23.0280352)",
516012570,True,Rua Coronel Marcondes de Mattos,tertiary,False,97.922,,,"LINESTRING (-45.5573598 -23.0291742, -45.5567498 -23.0298527)",
99885623,True,Rua Doutor Pedro Costa,secondary,False,170.983,2,,"LINESTRING (-45.5573598 -23.0291742, -45.5583439 -23.030129, -45.5585097 -23.0302898)",
883883547,True,Rua Marechal Floriano Peixoto,tertiary,False,87.817,,,"LINESTRING (-45.5600804 -23.0318846, -45.5595215 -23.0324839)",
99885623,True,Rua Doutor Pedro Costa,secondary,False,63.608999999999995,2,,"LINESTRING (-45.5600804 -23.0318846, -45.5603234 -23.0321138, -45.5605162 -23.0322925)",
226009133,True,Rua Marechal Arthur da Costa e Silva,secondary,False,119.621,2,50,"LINESTRING (-45.5651922 -23.0350586, -45.566059 -23.0357804)",
214346319,True,Rua José Gomes Tinoco,residential,False,104.17599999999999,,,"LINESTRING (-45.5651922 -23.0350586, -45.5655723 -23.0346014, -45.5657086 -23.0345779, -45.5657789 -23.0345868, -45.5659316 -23.0346794)",
226009133,True,Rua Marechal Arthur da Costa e Silva,secondary,False,36.463,2,50,"LINESTRING (-45.5649465 -23.0348211, -45.5651922 -23.0350586)",
516012063,True,Avenida Professor Walter Thaumaturgo,secondary,False,117.892,2,50,"LINESTRING (-45.564772 -23.0346708, -45.565494 -23.0338446)",
516012064,True,Rua Marechal Arthur da Costa e Silva,secondary,False,24.457,,,"LINESTRING (-45.564772 -23.0346708, -45.5648593 -23.034746, -45.5649465 -23.0348211)",
900745990,False,Rua Marechal Arthur da Costa e Silva,secondary,False,94.796,,,"LINESTRING (-45.5620859 -23.0322659, -45.5627487 -23.0328615)",
900745990,False,Rua Marechal Arthur da Costa e Silva,secondary,True,68.118,,,"LINESTRING (-45.5620859 -23.0322659, -45.5615822 -23.0318654)",
"[885402710, 646601639]",True,Avenida Professor Moreira,residential,False,102.376,,,"LINESTRING (-45.5620859 -23.0322659, -45.5615082 -23.0329578, -45.561474 -23.0329942)",
900745990,False,Rua Marechal Arthur da Costa e Silva,secondary,False,68.118,,,"LINESTRING (-45.5615822 -23.0318654, -45.5620859 -23.0322659)",
429283999,True,Praça Santa Terezinha,secondary,False,171.96200000000002,,,"LINESTRING (-45.5615822 -23.0318654, -45.5620401 -23.0312991, -45.5624512 -23.0307915, -45.5625061 -23.0307228, -45.5625834 -23.0306234)",
879302184,True,Avenida Professor Walter Thaumaturgo,secondary,False,120.784,2,50,"LINESTRING (-45.5655945 -23.0339132, -45.5649465 -23.0348211)",
879302184,True,Avenida Professor Walter Thaumaturgo,secondary,False,20.217,2,50,"LINESTRING (-45.5657019 -23.0337606, -45.5655945 -23.0339132)",
