osmid,lanes,ref,name,highway,area,junction,oneway,reversed,length,geometry
181674113,1,BR-376;MS-276,Praça Governador Garcia Neto,trunk,no,roundabout,True,False,19.821,"LINESTRING (-54.165402 -22.2772696, -54.1654506 -22.2772308, -54.1655085 -22.2772052, -54.1655717 -22.2771944)"
181674968,,,Avenida Francisco Alves da Silva,tertiary,,,True,False,86.663,"LINESTRING (-54.165402 -22.2772696, -54.1653644 -22.2771312, -54.1650949 -22.2765454)"
181677648,,,Avenida Francisco Alves da Silva,tertiary,,,True,False,73.77,"LINESTRING (-54.1657286 -22.2775967, -54.1659293 -22.2782336)"
594657985,1,BR-376;MS-276,Praça Governador Garcia Neto,trunk,no,roundabout,True,False,10.742,"LINESTRING (-54.1657286 -22.2775967, -54.1656836 -22.2776215, -54.1656342 -22.2776366)"
594657985,1,BR-376;MS-276,Praça Governador Garcia Neto,trunk,no,roundabout,True,False,24.367,"LINESTRING (-54.1658245 -22.2774053, -54.1658206 -22.2774599, -54.1658025 -22.2775121, -54.1657711 -22.2775587, -54.1657286 -22.2775967)"
181674113,1,BR-376;MS-276,Praça Governador Garcia Neto,trunk,no,roundabout,True,False,26.033,"LINESTRING (-54.1655717 -22.2771944, -54.1656348 -22.2771994, -54.1656942 -22.2772192, -54.1657462 -22.2772527, -54.1657868 -22.2772975)"
181674113,1,BR-376;MS-276,Praça Governador Garcia Neto,trunk,no,roundabout,True,False,23.333000000000002,"LINESTRING (-54.1653469 -22.2774661, -54.1653424 -22.2773962, -54.1653613 -22.2773286, -54.165402 -22.2772696)"
594657985,1,BR-376;MS-276,Praça Governador Garcia Neto,trunk,no,roundabout,True,False,25.906,"LINESTRING (-54.1656342 -22.2776366, -54.1655502 -22.2776396, -54.1654704 -22.277616, -54.165404 -22.2775685)"
320508685,,,Rua Fanoel do Ouro,residential,,,False,False,97.521,"LINESTRING (-54.1723954 -22.2737101, -54.1715644 -22.2741318)"
320508687,,,Rua Guerino Marches,residential,,,False,False,112.349,"LINESTRING (-54.1723954 -22.2737101, -54.1728004 -22.2746484)"
320508687,,,Rua Guerino Marches,residential,,,False,True,27.057,"LINESTRING (-54.1723954 -22.2737101, -54.1723071 -22.2734809)"
181674111,2,BR-376;MS-276,Avenida Deodato Leonardo da Silva,trunk,,,True,False,84.531,"LINESTRING (-54.165404 -22.2775685, -54.1646146 -22.277779)"
