osmid,oneway,name,highway,reversed,length,lanes,geometry,maxspeed,tunnel,ref
648635125,True,Rua Doutor Deodato Wertheimer,secondary,False,20.081,,"LINESTRING (-46.1955281 -23.5194445, -46.1955644 -23.519267)",,,
498441154,True,Avenida Francisco Rodrigues Filho,secondary,False,38.224,1,"LINESTRING (-46.1955281 -23.5194445, -46.195474 -23.5193611, -46.1954428 -23.5193163, -46.1954038 -23.5192672, -46.1953065 -23.5191688)",,,
"[31824998, 167714662]",True,"['Rua Doutor Deodato Wertheimer', 'Rua Navajas']",residential,False,145.27,,"LINESTRING (-46.195118 -23.5213471, -46.195265 -23.5205785, -46.194721 -23.5204112)",,,
"[648634433, 648634435, 614514889, 496764137, 648634430]",True,Complexo Viário Tirreno da San Biagio,secondary,False,306.2819999999999,1,"LINESTRING (-46.195118 -23.5213471, -46.1952027 -23.5213734, -46.1953365 -23.5214029, -46.1954305 -23.5214136, -46.1955835 -23.521423, -46.1957284 -23.5214302, -46.195861 -23.5214309, -46.1959658 -23.5214272, -46.1959935 -23.5214242, -46.1960611 -23.521417, -46.196114 -23.5214059, -46.1961865 -23.5213844, -46.196243 -23.521363, -46.1963473 -23.5213154, -46.1964284 -23.5212653, -46.1964912 -23.5212155, -46.1965988 -23.5211188, -46.1967657 -23.5209455, -46.1968135 -23.5208939, -46.1968895 -23.5207964, -46.1969428 -23.5207131, -46.1969611 -23.5206799, -46.196978 -23.5206416, -46.1970019 -23.5205774, -46.1970259 -23.5205013, -46.197053 -23.5204092, -46.1970796 -23.5202939, -46.1971007 -23.5202001, -46.1971118 -23.5201399, -46.1971145 -23.5200911, -46.197113 -23.520037, -46.1970978 -23.5199969, -46.1970826 -23.5199624)",40,yes,
"[614514890, 235457134]",True,"['Avenida Governador Adhemar de Barros', 'Rua Doutor Ricardo Vilela']",tertiary,False,184.79399999999998,1,"LINESTRING (-46.195118 -23.5213471, -46.1952958 -23.5213308, -46.1954272 -23.5213327, -46.195529 -23.5213396, -46.1957193 -23.5213509, -46.19585 -23.5213555, -46.1959512 -23.5213553, -46.1960019 -23.5213496, -46.1960638 -23.5213368, -46.1961463 -23.5213145, -46.196214 -23.5213012, -46.1962766 -23.5212928, -46.1963459 -23.5212881, -46.196408 -23.5212882, -46.1964581 -23.5212932, -46.1965073 -23.5213037, -46.1965705 -23.5213255, -46.1966347 -23.5213543, -46.1968774 -23.5214691)",30,,
610075822,True,Rua Barão de Jaceguai,residential,False,60.097,2,"LINESTRING (-46.1949717 -23.5219531, -46.1943876 -23.5218805)",,,
235552791,True,Rua Doutor Deodato Wertheimer,secondary,False,69.016,,"LINESTRING (-46.1949717 -23.5219531, -46.1950979 -23.5214303, -46.195118 -23.5213471)",,,SP-098
31826677,True,Avenida Voluntário Fernando Pinheiro Franco,primary,False,113.75200000000001,,"LINESTRING (-46.194559 -23.5239903, -46.1950589 -23.5240851, -46.1956513 -23.5241988)",50,,
496538225,True,Rua Coronel Marcolino Paiva,residential,False,126.865,,"LINESTRING (-46.1942509 -23.5253875, -46.1954695 -23.5256184)",,,
496538227,True,Rua Doutor Deodato Wertheimer,primary,False,125.564,,"LINESTRING (-46.1942509 -23.5253875, -46.1945067 -23.5242829)",,,SP-098
197609181,True,Rua Ipiranga,secondary,False,40.146,,"LINESTRING (-46.1940384 -23.526297, -46.1937288 -23.5260739)",,,
235457131,True,Rua Doutor Deodato Wertheimer,primary,False,103.426,,"LINESTRING (-46.1940384 -23.526297, -46.1942509 -23.5253875)",,,SP-098
31825000,True,Rua Coronel Moreira da Glória,residential,False,97.566,,"LINESTRING (-46.1945367 -23.5212722, -46.194721 -23.5204112)",,,
663064701,True,Rua Doutor Ricardo Vilella,tertiary,False,59.85,,"LINESTRING (-46.1945367 -23.5212722, -46.1950476 -23.521338, -46.195118 -23.5213471)",,,
663064701,True,Rua Doutor Ricardo Vilella,tertiary,False,143.029,,"LINESTRING (-46.1931428 -23.5211272, -46.1944726 -23.5212655, -46.1945367 -23.5212722)",,,
679435809,True,Rua Presidente Rodrigues Alves,residential,False,72.933,,"LINESTRING (-46.1931428 -23.5211272, -46.1930849 -23.5216514, -46.1930826 -23.5217804)",,,
31825003,True,Rua Padre João,residential,False,60.974,,"LINESTRING (-46.1920306 -23.5210093, -46.1920823 -23.520463)",,,
663064701,True,Rua Doutor Ricardo Vilella,tertiary,False,114.151,,"LINESTRING (-46.1920306 -23.5210093, -46.1931428 -23.5211272)",,,
784947051,True,Rua Capitão Manoel Caetano,residential,False,72.271,,"LINESTRING (-46.1910446 -23.5209182, -46.1909706 -23.5215646)",,,
