osmid,oneway,ref,highway,reversed,length,geometry,name,lanes,bridge
693327111,True,MA-008,tertiary,False,27.761000000000003,"LINESTRING (-46.0109561 -4.8840503, -46.0109688 -4.8841053, -46.0109729 -4.8841548, -46.0109702 -4.8842002, -46.0109541 -4.884251, -46.010944 -4.8842697, -46.0109303 -4.8842889)",,,
780499997,True,MA-008,secondary_link,False,45.962999999999994,"LINESTRING (-46.0109561 -4.8840503, -46.0111239 -4.884173, -46.0113108 -4.884261)",,,
288980930,False,MA-008,secondary,False,26.844,"LINESTRING (-46.0113108 -4.884261, -46.0115509 -4.8842286)",Rua Santa Rita,,
288980930,False,MA-008,secondary,True,42.355,"LINESTRING (-46.0113108 -4.884261, -46.011115 -4.8842857, -46.0110198 -4.8842917, -46.0109303 -4.8842889)",Rua Santa Rita,,
495686815,False,MA-008,tertiary,True,64.574,"LINESTRING (-46.010824 -4.8837546, -46.0108474 -4.883631, -46.0109604 -4.8831902)",,,
693327109,True,MA-008,tertiary,False,36.667,"LINESTRING (-46.010824 -4.8837546, -46.0108401 -4.8838387, -46.0108528 -4.8838862, -46.0108729 -4.8839363, -46.0108971 -4.883973, -46.0109561 -4.8840503)",,,
495686815,False,MA-008,tertiary,False,60.264,"LINESTRING (-46.0110764 -4.8826607, -46.0109604 -4.8831902)",,,
288958138,False,,residential,True,64.006,"LINESTRING (-46.0110764 -4.8826607, -46.0111539 -4.8824437, -46.0112243 -4.8822329, -46.0112599 -4.882115)",Avenida Paulo Ramos,,
288957917,False,,residential,True,87.171,"LINESTRING (-46.011759 -4.8814147, -46.0125362 -4.8815368)",,,
288956368,False,,residential,False,95.81099999999999,"LINESTRING (-46.011759 -4.8814147, -46.0117142 -4.881506, -46.0116659 -4.8815838, -46.0115549 -4.8817542, -46.0113832 -4.8819667, -46.0112599 -4.882115)",Rua Rio Branco,,
288957915,False,,residential,False,77.353,"LINESTRING (-46.0124197 -4.8822227, -46.0125362 -4.8815368)",,,
288957917,False,,residential,False,87.854,"LINESTRING (-46.0133213 -4.8816478, -46.0125362 -4.8815368)",,,
288957915,False,,residential,True,77.353,"LINESTRING (-46.0125362 -4.8815368, -46.0124197 -4.8822227)",,,
288957917,False,,residential,False,87.171,"LINESTRING (-46.0125362 -4.8815368, -46.011759 -4.8814147)",,,
288957917,False,,residential,True,87.854,"LINESTRING (-46.0125362 -4.8815368, -46.0133213 -4.8816478)",,,
288958737,False,,residential,False,58.061,"LINESTRING (-46.0083333 -4.8863734, -46.0085302 -4.8858895)",Rua São Francisco,,
495686815,False,MA-008,tertiary,True,60.264,"LINESTRING (-46.0109604 -4.8831902, -46.0110764 -4.8826607)",,,
288958737,False,,residential,True,198.06799999999998,"LINESTRING (-46.0109604 -4.8831902, -46.0106349 -4.8831092, -46.0105209 -4.8830905, -46.0104391 -4.8830851, -46.0103372 -4.8830891, -46.0100448 -4.8831125, -46.0099838 -4.8831299, -46.0099409 -4.8831593, -46.0099074 -4.8832027, -46.0096489 -4.883839)",Rua São Francisco,,
