osmid,oneway,ref,highway,access,reversed,length,geometry,name
207309531,False,PR-485,primary,yes,True,8.469,"LINESTRING (-53.7275836 -23.5039516, -53.7275871 -23.5038755)",
875339457,True,PR-485,primary,yes,False,53.65,"LINESTRING (-53.7275836 -23.5039516, -53.7275625 -23.5044337)",
397341550,False,,residential,,True,18.29,"LINESTRING (-53.7271864 -23.5106059, -53.7270071 -23.5106106)",
875339457,True,PR-485,primary,yes,False,39.965,"LINESTRING (-53.7271864 -23.5106059, -53.7271482 -23.5109636)",
353576393,False,PR-485,primary,yes,True,9.318,"LINESTRING (-53.7270953 -23.5113414, -53.727103 -23.5112579)",
926180750,False,,residential,,True,49.204,"LINESTRING (-53.7270953 -23.5113414, -53.7272711 -23.511339, -53.7275771 -23.5113586)",
397341549,False,,residential,,True,107.94,"LINESTRING (-53.7248665 -23.5074529, -53.7255974 -23.5067507)",Rua Arapongas
288077690,False,,residential,,False,93.55699999999999,"LINESTRING (-53.7248665 -23.5074529, -53.7245648 -23.5071897, -53.724196 -23.5068786)",
288077690,False,,residential,,True,200.964,"LINESTRING (-53.7248665 -23.5074529, -53.7250999 -23.5076866, -53.7259246 -23.5084417, -53.7262465 -23.5087429)",
"[397341549, 288077670]",False,,residential,,"[False, True]",312.528,"LINESTRING (-53.7248665 -23.5074529, -53.7241214 -23.5081137, -53.7241194 -23.5081524, -53.7241436 -23.5081912, -53.7243058 -23.5083473, -53.7249456 -23.5089512, -53.7254994 -23.5094603)","['Rua Arapongas', 'Rua Maringá']"
288077676,False,,residential,,False,109.458,"LINESTRING (-53.7329909 -23.5075636, -53.7322332 -23.5082609)",Rua XV de Novembro
288077668,False,,residential,,False,205.801,"LINESTRING (-53.7329909 -23.5075636, -53.7324116 -23.5070052, -53.7315854 -23.5062354)",Rua Guarapuava
"[288077666, 288077676]",False,,residential,,"[False, True]",307.632,"LINESTRING (-53.7329909 -23.5075636, -53.7337366 -23.5068847, -53.7331519 -23.5063387, -53.7323901 -23.5055713)","['Rua XV de Novembro', 'Rua Hermenegildo Vieira da Costa']"
288077667,False,,residential,,False,111.935,"LINESTRING (-53.7288469 -23.5037241, -53.7280945 -23.5044571)",Rua Arapongas
"[288077666, 288077667]",False,,residential,,True,300.088,"LINESTRING (-53.7288469 -23.5037241, -53.7295694 -23.5030637, -53.729724 -23.5031534, -53.7305662 -23.5039405, -53.7309283 -23.5043046)","['Rua Arapongas', 'Rua Hermenegildo Vieira da Costa']"
288077668,False,,residential,,True,200.801,"LINESTRING (-53.7288469 -23.5037241, -53.7295416 -23.5044054, -53.7302148 -23.5050228)",Rua Guarapuava
288077676,False,,residential,,False,110.451,"LINESTRING (-53.7322332 -23.5082609, -53.7314849 -23.5089791)",Rua XV de Novembro
288077676,False,,residential,,True,109.458,"LINESTRING (-53.7322332 -23.5082609, -53.7329909 -23.5075636)",Rua XV de Novembro
288077669,False,,residential,,False,201.737,"LINESTRING (-53.7322332 -23.5082609, -53.7317128 -23.5077579, -53.7308478 -23.5069659)",Rua Curitiba
288077667,False,,residential,,False,77.39,"LINESTRING (-53.7280945 -23.5044571, -53.7275407 -23.504933)",Rua Arapongas
288077667,False,,residential,,True,111.935,"LINESTRING (-53.7280945 -23.5044571, -53.7288469 -23.5037241)",Rua Arapongas
288077669,False,,residential,,False,50.188,"LINESTRING (-53.7280945 -23.5044571, -53.7277485 -23.5041361)",Rua Curitiba
288077669,False,,residential,,True,198.134,"LINESTRING (-53.7280945 -23.5044571, -53.7294692 -23.5057164)",Rua Curitiba
875339457,True,PR-485,primary,yes,False,16.581,"LINESTRING (-53.7271482 -23.5109636, -53.7271068 -23.5111078)",
926181062,False,,residential,,True,61.995,"LINESTRING (-53.7271482 -23.5109636, -53.7272631 -23.5110771, -53.7275771 -23.5113586)",Rua Maringá
288077691,False,,residential,,False,74.972,"LINESTRING (-53.7254994 -23.5094603, -53.7249564 -23.5099149)",Rua Pedro Alves de Silveira
288077691,False,,residential,,True,110.302,"LINESTRING (-53.7254994 -23.5094603, -53.7262465 -23.5087429)",Rua Pedro Alves de Silveira
"[397341549, 288077670]",False,,residential,,"[False, True]",312.528,"LINESTRING (-53.7254994 -23.5094603, -53.7249456 -23.5089512, -53.7243058 -23.5083473, -53.7241436 -23.5081912, -53.7241194 -23.5081524, -53.7241214 -23.5081137, -53.7248665 -23.5074529)","['Rua Arapongas', 'Rua Maringá']"
288077670,False,,residential,,True,205.26700000000002,"LINESTRING (-53.7254994 -23.5094603, -53.726111 -23.5100149, -53.7265073 -23.5103814, -53.7266052 -23.5104724, -53.7267359 -23.510572, -53.7268218 -23.5106034, -53.7268788 -23.5106181, -53.7269311 -23.5106194, -53.7269689 -23.5106175, -53.7270071 -23.5106106)",Rua Maringá
353576393,False,PR-485,primary,yes,False,16.695,"LINESTRING (-53.7271068 -23.5111078, -53.727103 -23.5112579)",
288077671,True,,primary,,False,56.372,"LINESTRING (-53.7271068 -23.5111078, -53.7270364 -23.5108619, -53.7270071 -23.5106106)",
288077671,True,,primary,,False,28.146,"LINESTRING (-53.7273221 -23.5046551, -53.7273489 -23.5045794, -53.7273784 -23.5044903, -53.7274106 -23.5044155)",
288077673,False,,residential,,True,184.792,"LINESTRING (-53.7259649 -23.5039024, -53.727259 -23.5050658)",Rua Josué Balthazar
437987641,False,,unclassified,,True,8.539,"LINESTRING (-53.7259649 -23.5039024, -53.7258965 -23.5039467)",Rua Tibagi
288077671,True,,primary,,False,54.118,"LINESTRING (-53.7271477 -23.5067507, -53.7271799 -23.5062649)",
