osmid,highway,oneway,reversed,length,lanes,geometry,name,bridge,ref
380540768,residential,False,False,72.214,,"LINESTRING (-39.2858971 -14.588512, -39.2865395 -14.5883242)",,,
380540768,residential,False,True,62.949,,"LINESTRING (-39.2858971 -14.588512, -39.2853285 -14.588645)",,,
380540778,residential,False,True,151.143,,"LINESTRING (-39.2858971 -14.588512, -39.2857482 -14.5871604)",,,
413288726,tertiary,False,False,19.767,2,"LINESTRING (-39.2820467 -14.5899171, -39.2818824 -14.5899966)",,,
413288726,tertiary,False,True,51.719,2,"LINESTRING (-39.2820467 -14.5899171, -39.2824611 -14.5896815)",,,
1073073014,tertiary,False,True,53.426,2,"LINESTRING (-39.2820467 -14.5899171, -39.2819139 -14.5895174, -39.2819086 -14.589457)",,,
413288722,residential,False,True,35.196,,"LINESTRING (-39.2870919 -14.5899392, -39.2868901 -14.5901883)",Rua 8 de Dezembro,,
413288735,tertiary,False,True,49.81,2,"LINESTRING (-39.2870919 -14.5899392, -39.2870797 -14.590387)",,,
413288735,tertiary,False,False,93.529,2,"LINESTRING (-39.2870919 -14.5899392, -39.2871308 -14.5893227, -39.2871402 -14.5890994)",,,
413288722,residential,False,False,86.09700000000001,,"LINESTRING (-39.2853619 -14.5906802, -39.2856342 -14.5906776, -39.2858823 -14.5906517, -39.2861545 -14.5905959)",Rua 8 de Dezembro,,
"[718068409, 814850695]",residential,False,True,260.85299999999995,,"LINESTRING (-39.2853619 -14.5906802, -39.285543 -14.5911695, -39.2855691 -14.5912409, -39.2855966 -14.591298, -39.2856241 -14.5913194, -39.2856549 -14.5913243, -39.2856905 -14.5913217, -39.2857378 -14.5913068, -39.2858326 -14.5912734, -39.2861559 -14.5911968, -39.2868076 -14.5910345, -39.2872824 -14.5909385)",Travessa Ednoel Tomaz,,
847388615,residential,False,True,64.61999999999999,,"LINESTRING (-39.2853619 -14.5906802, -39.2851983 -14.5906491, -39.2850535 -14.5906127, -39.2849261 -14.5905595, -39.2848 -14.5904894)",Rua Hipérides Cardoso,,
413288727,tertiary,False,False,41.801,2,"LINESTRING (-39.2882788 -14.5913902, -39.2886429 -14.5915212)",,,
413288727,tertiary,False,True,77.565,2,"LINESTRING (-39.2882788 -14.5913902, -39.287623 -14.5911007)",,,
"[814907997, 814907998, 380540781]",tertiary,False,False,383.798,2,"LINESTRING (-39.2882788 -14.5913902, -39.2881863 -14.5915096, -39.2881259 -14.591577, -39.2880897 -14.5916121, -39.288018 -14.5916536, -39.2879408 -14.5916983, -39.2878577 -14.5917276, -39.287739 -14.5917458, -39.2874835 -14.591773, -39.2872582 -14.5918314, -39.2870933 -14.591895, -39.2868505 -14.5920105, -39.2864858 -14.5921818, -39.2862497 -14.5922792, -39.2861035 -14.5923597, -39.285948 -14.5924752, -39.2856771 -14.5927088, -39.2855644 -14.5927853, -39.2854236 -14.592858, -39.2852848 -14.592908, -39.2851762 -14.5929417)",Avenida Natal,yes,
413288688,residential,False,False,37.44,,"LINESTRING (-39.2886429 -14.5915212, -39.2888145 -14.5912283)",Rua Otávio Ramos Pinto,,
413288727,tertiary,False,True,41.801,2,"LINESTRING (-39.2886429 -14.5915212, -39.2882788 -14.5913902)",,,
413288727,tertiary,False,False,44.519,2,"LINESTRING (-39.2886429 -14.5915212, -39.2887381 -14.5915394, -39.2888273 -14.5915563, -39.289052 -14.5915777)",,,
380540773,residential,False,False,81.58,,"LINESTRING (-39.2850441 -14.5874317, -39.2853217 -14.5873149, -39.2857482 -14.5871604)",,,
380540773,residential,False,True,72.97,,"LINESTRING (-39.2850441 -14.5874317, -39.2847517 -14.587568, -39.2844386 -14.5877269)",,,
380540776,residential,False,False,138.348,,"LINESTRING (-39.2850441 -14.5874317, -39.2851916 -14.5880313, -39.2853285 -14.588645)",,,
395238638,residential,False,False,41.019,,"LINESTRING (-39.287953 -14.5904838, -39.288312 -14.5906078)",Rua Jonas Irineu,,
413288720,residential,False,False,111.317,,"LINESTRING (-39.287953 -14.5904838, -39.2884226 -14.5895918)",,,
413288720,residential,False,True,38.425,,"LINESTRING (-39.287953 -14.5904838, -39.2877948 -14.5907936)",,,
413288696,residential,False,True,106.083,,"LINESTRING (-39.2887163 -14.5897377, -39.288312 -14.5906078)",Rua Valdemar Moura,,
413288729,residential,False,False,20.218,,"LINESTRING (-39.2887163 -14.5897377, -39.2888825 -14.5898225)",Rua B,,
