osmid,name,highway,oneway,reversed,length,ref,geometry,maxspeed,bridge,lanes
313017759,Rua Juvenilio Ubaldo Bonfim,residential,False,False,53.561,,"LINESTRING (-41.1198769 -18.8609732, -41.1196309 -18.8613949)",,,
325261282,Avenida Presidente Vargas,secondary,False,False,51.146,ES-164,"LINESTRING (-41.1198769 -18.8609732, -41.1194585 -18.8607391)",,,
325261282,Avenida Presidente Vargas,secondary,False,True,51.071,ES-164,"LINESTRING (-41.1198769 -18.8609732, -41.1202956 -18.8612055)",,,
217564355,Rua Presidente Vargas,tertiary,False,False,66.273,,"LINESTRING (-41.1225913 -18.8624403, -41.1220495 -18.8621364)",,,
313017719,Rua Doutor Carlos Lindenberg,residential,False,False,53.92,,"LINESTRING (-41.1225913 -18.8624403, -41.1223417 -18.8628638)",,,
313017719,Rua Doutor Carlos Lindenberg,residential,False,True,52.558,,"LINESTRING (-41.1225913 -18.8624403, -41.1228194 -18.8620198)",,,
313017765,Avenida Presidente Vargas,tertiary,False,True,55.71,,"LINESTRING (-41.1225913 -18.8624403, -41.1230027 -18.8626595, -41.1230516 -18.8626878)",,,
313017737,Rua Joaquim Simas de Barros,residential,False,True,55.38,,"LINESTRING (-41.123767 -18.8659852, -41.1234174 -18.8663575)",,,
313017843,Rua José Lopes da Silva,residential,False,True,42.415,,"LINESTRING (-41.123767 -18.8659852, -41.1241428 -18.8661232)",,,
313017843,Rua José Lopes da Silva,residential,False,False,68.146,,"LINESTRING (-41.123767 -18.8659852, -41.123419 -18.865821, -41.1231878 -18.865711)",,,
313017733,Rua Janio Pereira,residential,False,False,49.801,,"LINESTRING (-41.1264587 -18.8582317, -41.1260621 -18.8584761)",,,
313017740,Rua José Cardoso Filho,residential,False,False,66.565,,"LINESTRING (-41.1264587 -18.8582317, -41.1265925 -18.8582136, -41.1267122 -18.8582104, -41.1270872 -18.8582529)",,,
931974568,Rua William Benjamim,residential,False,True,29.231,,"LINESTRING (-41.1233088 -18.8582112, -41.1231698 -18.8584388)",,,
787005446,Rua João Rodrigues de Oliveira,residential,False,True,44.994,,"LINESTRING (-41.1270872 -18.8582529, -41.1267558 -18.8585086)",,,
313017740,Rua José Cardoso Filho,residential,False,True,66.565,,"LINESTRING (-41.1270872 -18.8582529, -41.1267122 -18.8582104, -41.1265925 -18.8582136, -41.1264587 -18.8582317)",,,
313017768,Rua São Geraldo,secondary,False,False,70.736,ES-164,"LINESTRING (-41.1253419 -18.8583443, -41.1247672 -18.8586743)",,,
313017777,Rua Wine Soares,residential,False,False,52.088,,"LINESTRING (-41.1253419 -18.8583443, -41.1255853 -18.8587522)",,,
787005446,Rua João Rodrigues de Oliveira,residential,False,False,44.994,,"LINESTRING (-41.1267558 -18.8585086, -41.1270872 -18.8582529)",,,
313017806,,residential,False,False,45.237,,"LINESTRING (-41.1267558 -18.8585086, -41.1268511 -18.8586082, -41.1270511 -18.8588042)",,,
787005446,Rua João Rodrigues de Oliveira,residential,False,True,113.892,,"LINESTRING (-41.1267558 -18.8585086, -41.1263152 -18.8588578, -41.1258939 -18.8591258)",,,
313017733,Rua Janio Pereira,residential,False,False,58.82,,"LINESTRING (-41.1260621 -18.8584761, -41.1255853 -18.8587522)",,,
313017733,Rua Janio Pereira,residential,False,True,49.801,,"LINESTRING (-41.1260621 -18.8584761, -41.1264587 -18.8582317)",,,
313017741,Rua José Ribeiro Lana,residential,False,True,74.38,,"LINESTRING (-41.1260621 -18.8584761, -41.1259818 -18.8587851, -41.1258939 -18.8591258)",60,,
313017802,Rua Irineia Gonçalves,residential,False,True,42.71,,"LINESTRING (-41.1225702 -18.8586879, -41.1229307 -18.8588644)",,,
313017768,Rua São Geraldo,secondary,False,True,70.736,ES-164,"LINESTRING (-41.1247672 -18.8586743, -41.1253419 -18.8583443)",,,
313017816,,residential,False,False,54.476,,"LINESTRING (-41.1247672 -18.8586743, -41.1250151 -18.8591044)",,,
313017768,Rua São Geraldo,secondary,False,False,121.084,ES-164,"LINESTRING (-41.1247672 -18.8586743, -41.1243509 -18.8589069, -41.1237889 -18.8592473)",,,
313017774,Rua Valdevino Pereira Souza,residential,False,True,58.879,,"LINESTRING (-41.1177895 -18.8587547, -41.1182807 -18.8590083)",,,
"[737765152, 737765151, 464933807]",,residential,False,False,55.297999999999995,,"LINESTRING (-41.1177895 -18.8587547, -41.117919 -18.8585027, -41.1179665 -18.8584022, -41.1180121 -18.8583043)",,yes,
