osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,name,bridge
30560808,False,BR-393,trunk,30,False,19.506,"LINESTRING (-42.3440411 -21.6585562, -42.3442262 -21.6585905)",,
30560808,False,BR-393,trunk,30,True,20.327,"LINESTRING (-42.3440411 -21.6585562, -42.343972 -21.6585413, -42.3438493 -21.6585157)",,
286193435,True,,residential,,False,20.467000000000002,"LINESTRING (-42.3440411 -21.6585562, -42.3440116 -21.6586226, -42.3439734 -21.6586724, -42.3439405 -21.6587133)",Avenida Amaro Rodrigues,
30560808,False,BR-393,trunk,30,True,3.272,"LINESTRING (-42.344257 -21.6585973, -42.3442262 -21.6585905)",,
444074750,True,BR-393,trunk,30,False,73.082,"LINESTRING (-42.344257 -21.6585973, -42.3442845 -21.6585643, -42.3443268 -21.6585431, -42.3445118 -21.6584702, -42.3445681 -21.6584652, -42.3446245 -21.6584752, -42.3448934 -21.6585973)",,
444074752,True,BR-393,trunk,30,False,51.849,"LINESTRING (-42.3448934 -21.6585973, -42.3446137 -21.6589844)",Rua Sebastião Pereira de Andrade Sobrinho,
444074751,False,BR-393,trunk,30,False,24.567,"LINESTRING (-42.3448934 -21.6585973, -42.3449732 -21.6584752, -42.3450255 -21.6584141)",Rua Sebastião Pereira de Andrade Sobrinho,
247464557,False,,residential,,False,49.357,"LINESTRING (-42.3451012 -21.6582409, -42.3451294 -21.6577978)",Rua Osório Vieira Fonseca,
444074751,False,BR-393,trunk,30,True,20.787,"LINESTRING (-42.3451012 -21.6582409, -42.3450255 -21.6584141)",Rua Sebastião Pereira de Andrade Sobrinho,
1183514038,False,BR-393,trunk,40,False,230.792,"LINESTRING (-42.3451012 -21.6582409, -42.345399 -21.6583462, -42.3466549 -21.6587588, -42.3468789 -21.658808, -42.3470163 -21.6588298, -42.3472242 -21.6587868)",Rua Martins Peixoto,
1183514038,False,BR-393,trunk,40,True,23.094,"LINESTRING (-42.3474401 -21.6587332, -42.3472242 -21.6587868)",Rua Martins Peixoto,
"[326351712, 326351713]",False,,residential,,True,147.537,"LINESTRING (-42.3474401 -21.6587332, -42.3477499 -21.6596668, -42.3477761 -21.6597173, -42.3478022 -21.6597359, -42.3478317 -21.6597434, -42.3478834 -21.659744, -42.3480831 -21.6597235)","['Rua Jarbas de Paula Guedes', 'Rua Malvina Fabrício']",
1183514038,False,BR-393,trunk,40,False,38.839,"LINESTRING (-42.3474401 -21.6587332, -42.3476627 -21.6586759, -42.3478022 -21.6586397)",Rua Martins Peixoto,
286193463,False,,residential,,False,47.101,"LINESTRING (-42.3497951 -21.6574992, -42.349751 -21.6574037, -42.3496077 -21.6571131)",Rua Sebastião Jonas da Silveira,
