osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,lanes,maxspeed,junction
216862144,Rua Imperatriz Dona Leopoldina,residential,False,False,50.71,,"LINESTRING (-46.2268171 -23.3151943, -46.2272829 -23.3153524)",,,,
1181184941,Rua Vereador Sebastião Claudiano,primary,False,False,63.265,SP-056,"LINESTRING (-46.2268171 -23.3151943, -46.2265709 -23.3157164)",,,,
216862175,Rua José Bonifácio,residential,False,False,55.473,,"LINESTRING (-46.2265709 -23.3157164, -46.2270664 -23.3159209)",,,,
1181184941,Rua Vereador Sebastião Claudiano,primary,False,True,63.265,SP-056,"LINESTRING (-46.2265709 -23.3157164, -46.2268171 -23.3151943)",,,,
1181184941,Rua Vereador Sebastião Claudiano,primary,False,False,88.28,SP-056,"LINESTRING (-46.2265709 -23.3157164, -46.2264039 -23.3160922, -46.226259 -23.3164567)",,,,
216862136,Rodovia Prefeito Joaquim Simão,primary,True,False,38.358000000000004,SP-056,"LINESTRING (-46.226259 -23.3164567, -46.2262529 -23.3165913, -46.2262324 -23.3168007)",,,,
1181184941,Rua Vereador Sebastião Claudiano,primary,False,True,88.28,SP-056,"LINESTRING (-46.226259 -23.3164567, -46.2264039 -23.3160922, -46.2265709 -23.3157164)",,,,
233626047,Rua Conselheiro Rodrigues Alves,residential,True,False,107.649,,"LINESTRING (-46.2280234 -23.3193094, -46.2272348 -23.3199519)",,,,
432939639,Rua Duque de Caxias,residential,False,False,77.194,,"LINESTRING (-46.2280234 -23.3193094, -46.2286169 -23.3188794)",,,,
432939638,Avenida da República,primary,True,False,133.529,SP-056,"LINESTRING (-46.2280234 -23.3193094, -46.2283726 -23.3197783, -46.2287573 -23.3203033)",,,,
505421724,Rua Monte Serrat,residential,False,True,40.551,,"LINESTRING (-46.2300625 -23.3220677, -46.2303943 -23.3218673)",,,,
971959979,Rua Monte Serrat,residential,True,False,54.939,,"LINESTRING (-46.2300625 -23.3220677, -46.229636 -23.3223689)",,,,
"[829109912, 500577715]","['Avenida da República', 'Praça da Bandeira']",primary,True,False,105.357,SP-056,"LINESTRING (-46.2300625 -23.3220677, -46.2304852 -23.3226631, -46.230505 -23.3226699, -46.2305325 -23.3226674, -46.2305646 -23.3226594, -46.2307304 -23.3226058)",,,,
216862156,Avenida República,primary,True,False,36.323,SP-056,"LINESTRING (-46.2260379 -23.3165272, -46.2262324 -23.3168007)",,,,
216862189,,primary,True,False,25.755,SP-056,"LINESTRING (-46.2260379 -23.3165272, -46.2261252 -23.316531, -46.2261705 -23.3165281, -46.2262108 -23.3165072, -46.226259 -23.3164567)",,,,
82151881,Avenida Brasil,residential,False,False,55.284,,"LINESTRING (-46.2248612 -23.3156362, -46.2244045 -23.3159032)",,,,
216862202,Rua José Bueno,tertiary,False,False,98.83699999999999,,"LINESTRING (-46.2248612 -23.3156362, -46.2247838 -23.315602, -46.224694 -23.3155565, -46.2246097 -23.3154905, -46.2245453 -23.3154018, -46.2244897 -23.3153041, -46.2242723 -23.3149607)",,,,
216862202,Rua José Bueno,tertiary,False,True,43.745,,"LINESTRING (-46.2248612 -23.3156362, -46.2249836 -23.3156624, -46.2250896 -23.3156882, -46.2251955 -23.3157129, -46.2252738 -23.3157403)",,,,
424173100,Rua João Pessoa,primary,True,False,86.199,SP-056,"LINESTRING (-46.2306338 -23.3236789, -46.2301356 -23.3232207, -46.2301152 -23.3232002, -46.2300507 -23.3231197)",,,,
81994615,Avenida Manoel Ferraz de Campos Salles,primary,True,False,67.213,SP-056,"LINESTRING (-46.2299064 -23.322918, -46.2297901 -23.3226466, -46.2297197 -23.3224932, -46.2296822 -23.3224304, -46.229636 -23.3223689)",,,,
81994615,Avenida Manoel Ferraz de Campos Salles,primary,True,False,111.03500000000001,SP-056,"LINESTRING (-46.229636 -23.3223689, -46.2293155 -23.3219972, -46.2292276 -23.3219023, -46.2291762 -23.3218384, -46.2290858 -23.3217437, -46.2289405 -23.3216022)",,,,
81994615,Avenida Manoel Ferraz de Campos Salles,primary,True,False,18.201,SP-056,"LINESTRING (-46.2272348 -23.3199519, -46.2271097 -23.3198353)",,,,
81994615,Avenida Manoel Ferraz de Campos Salles,primary,True,False,61.907,SP-056,"LINESTRING (-46.2271097 -23.3198353, -46.2268429 -23.3195716, -46.2266896 -23.3194341)",,,,
