osmid,oneway,lanes,ref,name,highway,reversed,length,bridge,maxspeed,geometry,junction
886704394,True,1,SP-056,Rodovia Alberto Hinoto,primary,False,12.481,,,"LINESTRING (-46.348803 -23.4734083, -46.3489011 -23.4734754)",
"[153101339, 30032956, 845942351]",False,2,SP-056,Rodovia Alberto Hinoto,primary,True,231.423,yes,60,"LINESTRING (-46.348803 -23.4734083, -46.348765 -23.4733743, -46.3483465 -23.4730385, -46.3478583 -23.4725981, -46.347688 -23.4724259, -46.3474734 -23.4721995, -46.3472307 -23.4719141)",
504417601,False,2,SP-056,Rodovia Alberto Hinoto,primary,False,22.908,,,"LINESTRING (-46.3489641 -23.4735872, -46.3489687 -23.4736548, -46.3489647 -23.4737114, -46.3489594 -23.4737452, -46.3489473 -23.4737913)",
504417602,True,1,SP-056,Rodovia Alberto Hinoto,primary,False,25.977,,,"LINESTRING (-46.3489641 -23.4735872, -46.3489198 -23.4735545, -46.3488855 -23.4735179, -46.348803 -23.4734083)",
30058763,False,,,Rua Carlos Barbosa da Silva,residential,False,84.24,,,"LINESTRING (-46.3487622 -23.4743031, -46.3495347 -23.4745712)",
504417601,False,2,SP-056,Rodovia Alberto Hinoto,primary,True,59.959,,,"LINESTRING (-46.3487622 -23.4743031, -46.3489473 -23.4737913)",
504417601,False,2,SP-056,Rodovia Alberto Hinoto,primary,False,44.608000000000004,,,"LINESTRING (-46.3487622 -23.4743031, -46.3486978 -23.474538, -46.3486657 -23.4746942)",
30058745,False,,,Rua Vênus,residential,True,79.702,,,"LINESTRING (-46.3486657 -23.4746942, -46.3493831 -23.4749784)",
504417601,False,2,SP-056,Rodovia Alberto Hinoto,primary,False,55.519999999999996,,,"LINESTRING (-46.3486657 -23.4746942, -46.3486442 -23.4749575, -46.3486737 -23.4751912)",
504417601,False,2,SP-056,Rodovia Alberto Hinoto,primary,True,44.608000000000004,,,"LINESTRING (-46.3486657 -23.4746942, -46.3486978 -23.474538, -46.3487622 -23.4743031)",
30058734,False,,,Rua Marte,residential,True,85.56,,,"LINESTRING (-46.3486737 -23.4751912, -46.349469 -23.475436)",
