osmid,oneway,name,highway,reversed,length,ref,geometry,bridge,lanes
225052286,False,Rua Martin Jacob,residential,True,30.65,,"LINESTRING (-40.7448766 -20.0244261, -40.7451502 -20.0245256)",,
"[31609153, 31578575]",True,Avenida Frederico Grulke,primary,False,148.63600000000002,ES-355,"LINESTRING (-40.7448766 -20.0244261, -40.7446794 -20.0247638, -40.7445735 -20.0249931, -40.7444769 -20.0252111, -40.7444273 -20.0253144, -40.7443951 -20.0253749, -40.7443079 -20.0254807, -40.744198 -20.0255904)",,
225052286,False,Rua Martin Jacob,residential,False,31.458,,"LINESTRING (-40.7448766 -20.0244261, -40.7447257 -20.0244053, -40.7446063 -20.0243915, -40.7445783 -20.0243877)",,
"[569391401, 181450067, 569391403]",False,Rua Nicolau Heinke,residential,True,146.267,ES-355,"LINESTRING (-40.7435254 -20.0233141, -40.7438642 -20.0233393, -40.7442563 -20.0233412, -40.7443663 -20.0233538, -40.7444716 -20.0233727, -40.7445611 -20.0234014, -40.7446496 -20.0234412, -40.7448712 -20.0235642)",yes,
323560093,False,Rua Florencio Augusto Berger,primary,False,80.106,ES-355,"LINESTRING (-40.7435254 -20.0233141, -40.7435945 -20.0231491, -40.7437071 -20.0229871, -40.7437916 -20.0228744, -40.7439254 -20.022704)",,
833862067,False,,residential,True,229.65799999999996,,"LINESTRING (-40.7435254 -20.0233141, -40.7434127 -20.023311, -40.7433501 -20.0233211, -40.7432746 -20.0233412, -40.7432143 -20.0233585, -40.7431626 -20.0233607, -40.7431133 -20.0233497, -40.7430476 -20.0233239, -40.7428877 -20.0232568, -40.7426956 -20.0231721, -40.7426248 -20.0231494, -40.7425679 -20.0231371, -40.7425243 -20.0231393, -40.7424586 -20.023161, -40.7423218 -20.0232048, -40.7422477 -20.0232379, -40.742183 -20.0232618, -40.7421303 -20.02327, -40.7420663 -20.0232678, -40.7419295 -20.0232458, -40.7418564 -20.0232234, -40.7417283 -20.0231913, -40.7415845 -20.0231535, -40.7414259 -20.0231232)",,
31578575,True,Avenida Frederico Grulke,primary,False,81.73,ES-355,"LINESTRING (-40.7452883 -20.0238011, -40.7448766 -20.0244261)",,
569391403,False,Rua Nicolau Heinke,residential,False,50.919,ES-355,"LINESTRING (-40.7452883 -20.0238011, -40.7448712 -20.0235642)",,
181450060,False,Rua Walter Hugo Toepfer,residential,False,82.208,,"LINESTRING (-40.7437855 -20.0252394, -40.7437866 -20.0253163, -40.7437842 -20.0253447, -40.7437755 -20.0253992, -40.7437591 -20.0254445, -40.7437286 -20.0254886, -40.743382 -20.025839)",,
569391480,True,Rua Florencio Augusto Berger,primary,False,219.59699999999998,ES-355,"LINESTRING (-40.7437855 -20.0252394, -40.7438271 -20.0247959, -40.7438372 -20.0246277, -40.7438345 -20.0244841, -40.743803 -20.0243537, -40.743746 -20.024205, -40.7436018 -20.0238906, -40.7435455 -20.0236764, -40.7435341 -20.0235107, -40.7435254 -20.0233141)",,
181450196,False,Rua Emilia Roepke Boldt,residential,False,59.08200000000001,,"LINESTRING (-40.7429675 -20.0254281, -40.7431044 -20.0255574, -40.7431598 -20.02561, -40.7432393 -20.0256865, -40.7433558 -20.025814)",,
