osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,width,access,bridge
253257589,True,Rua Coronel Fernando Machado,residential,40,False,191.642,"LINESTRING (-51.2317542 -30.0351039, -51.232565 -30.0350822, -51.2327987 -30.0350698, -51.2333821 -30.034941, -51.2335585 -30.0349187, -51.2337235 -30.034913)",,,,
287533469,True,Rua Coronel Fernando Machado,residential,40,False,184.09900000000002,"LINESTRING (-51.2298438 -30.0350318, -51.2311858 -30.0350942, -51.2317542 -30.0351039)",,,,
321457779,True,Rua Espírito Santo,residential,40,False,125.84200000000001,"LINESTRING (-51.2298438 -30.0350318, -51.2299489 -30.0359881, -51.2299552 -30.0360497, -51.2299669 -30.0361585)",,,,
27103295,True,Praça Marechal Deodoro,residential,40,False,55.347,"LINESTRING (-51.2301515 -30.0323823, -51.2296488 -30.0324237, -51.2295795 -30.032432)",,,,
219276440,True,Rua Duque de Caxias,tertiary,40,False,156.85199999999998,"LINESTRING (-51.2342596 -30.033746, -51.2341988 -30.033728, -51.2341527 -30.0337148, -51.2327506 -30.0333357, -51.2327051 -30.0333234)",2,,,
326309717,True,Rua General Bento Martins,tertiary,40,False,139.655,"LINESTRING (-51.2342596 -30.033746, -51.2342297 -30.033813, -51.2337553 -30.0348377, -51.2337235 -30.034913)",2,,,
219276440,True,Rua Duque de Caxias,tertiary,40,False,17.954,"LINESTRING (-51.2355154 -30.0340599, -51.2353369 -30.0340131)",2,,,
27028060,True,Rua Riachuelo,tertiary,40,False,124.24699999999999,"LINESTRING (-51.2300611 -30.031563, -51.2300948 -30.0315635, -51.2304911 -30.0315672, -51.2306041 -30.0315841, -51.2308917 -30.0316691, -51.2312067 -30.0317734, -51.2313065 -30.0318011)",2,,,
40171837,True,Rua General Câmara,residential,40,False,91.52,"LINESTRING (-51.2300611 -30.031563, -51.2300726 -30.0316455, -51.2301515 -30.0323823)",,,,
"[48156216, 27103340]",True,"['Rua General Andrade Neves', 'Rua General Câmara']",residential,30,False,337.46000000000004,"LINESTRING (-51.2300611 -30.031563, -51.2299904 -30.0304433, -51.2286969 -30.0306228, -51.2283345 -30.030684, -51.2282097 -30.0307003, -51.2281333 -30.0307123, -51.2278112 -30.0307615)",,,,
27102750,True,Rua General Cypriano Ferreira,residential,40,False,72.559,"LINESTRING (-51.2352446 -30.0348482, -51.2353059 -30.0353812, -51.2353308 -30.0354961)",,,,
208654363,True,Rua General Cypriano Ferreira,residential,40,False,91.45,"LINESTRING (-51.2352446 -30.0348482, -51.2354895 -30.0341329, -51.2355154 -30.0340599)",,,,
27102750,True,Rua General Cypriano Ferreira,residential,40,False,61.942,"LINESTRING (-51.2353308 -30.0354961, -51.2354719 -30.0360396)",,,,
219276439,True,Rua Demétrio Ribeiro,residential,40,False,155.311,"LINESTRING (-51.2353308 -30.0354961, -51.2338417 -30.035685, -51.2337337 -30.0356931)",,,,
27028140,True,Rua General Lima e Silva,tertiary,40,False,26.939,"LINESTRING (-51.2256683 -30.0350663, -51.2258747 -30.0349027)",2,,,
485965701,True,Rua Coronel Fernando Machado,tertiary,40,False,79.146,"LINESTRING (-51.226429 -30.0348646, -51.227249 -30.0349164)",2,,,
425149130,False,Rua Coronel Genuíno,residential,40,False,129.029,"LINESTRING (-51.226429 -30.0348646, -51.2262044 -30.0345493, -51.2259693 -30.0342843, -51.2256275 -30.0339376)",,,,
"[451653456, 451653180, 48149365]",True,"['Rua 7 de Setembro', 'Rua General Câmara']",residential,40,False,231.953,"LINESTRING (-51.2303455 -30.0282997, -51.2299954 -30.0291239, -51.2292236 -30.0288466, -51.2291169 -30.0288097, -51.228701 -30.0286737)",,,,
451653573,True,Rua Siqueira Campos,secondary,60,False,88.199,"LINESTRING (-51.2303455 -30.0282997, -51.2295995 -30.0280444, -51.2294935 -30.0280081)",3,,,
"[218873866, 451653284]",True,Rua Caldas Júnior,tertiary,40,False,88.083,"LINESTRING (-51.2318456 -30.0306234, -51.2321499 -30.0299797, -51.2321905 -30.0298897)",1,,,
27103144,True,Rua General João Manoel,residential,40,False,87.943,"LINESTRING (-51.2333865 -30.0311505, -51.2336393 -30.0303905)",,,,
48158102,True,Rua dos Andradas,residential,40,False,159.498,"LINESTRING (-51.2333865 -30.0311505, -51.2328619 -30.030971, -51.2323598 -30.0307993, -51.2318456 -30.0306234)",,7.2,,
451653288,True,Rua Caldas Júnior,tertiary,40,False,99.139,"LINESTRING (-51.2321905 -30.0298897, -51.232579 -30.029064)",1,,,
444013696,True,Rua 7 de Setembro,residential,40,False,150.18099999999998,"LINESTRING (-51.2321905 -30.0298897, -51.2326993 -30.0300672, -51.2336393 -30.0303905)",,,,
27028045,True,Rua 7 de Setembro,residential,40,False,104.362,"LINESTRING (-51.2336393 -30.0303905, -51.2342115 -30.0305876, -51.2346466 -30.0307374)",,,,
451653455,True,Rua General Bento Martins,tertiary,40,False,88.054,"LINESTRING (-51.2354849 -30.0310281, -51.2351468 -30.0317639)",1,,,
48158102,True,Rua dos Andradas,residential,40,False,182.818,"LINESTRING (-51.2351468 -30.0317639, -51.2350292 -30.031736, -51.2349413 -30.0317123, -51.234302 -30.0314671, -51.2337961 -30.0312922, -51.2333865 -30.0311505)",,7.2,,
451653455,True,Rua General Bento Martins,tertiary,40,False,125.179,"LINESTRING (-51.2351468 -30.0317639, -51.2347217 -30.0327324, -51.2346833 -30.0328157)",1,,,
219276441,True,Rua General Bento Martins,tertiary,30,False,86.86500000000001,"LINESTRING (-51.2337235 -30.034913, -51.2337113 -30.0349793, -51.2337337 -30.0356931)",2,,,
326126529,True,Rua Coronel Fernando Machado,residential,40,False,146.607,"LINESTRING (-51.2337235 -30.034913, -51.2338136 -30.0349109, -51.2352446 -30.0348482)",,,,
444002075,True,Rua Demétrio Ribeiro,residential,40,False,176.328,"LINESTRING (-51.2299669 -30.0361585, -51.228137 -30.0360874)",,,,
444002075,True,Rua Demétrio Ribeiro,residential,40,False,178.88,"LINESTRING (-51.2318107 -30.0359589, -51.2300359 -30.0361539, -51.2299669 -30.0361585)",,,,
444002077,True,Rua General Auto,residential,40,False,95.228,"LINESTRING (-51.2318107 -30.0359589, -51.2317593 -30.0351697, -51.2317542 -30.0351039)",,,,
27103144,True,Rua General João Manoel,residential,40,False,133.946,"LINESTRING (-51.2330318 -30.0323153, -51.2330427 -30.032279, -51.233169 -30.0318584, -51.2333865 -30.0311505)",,,,
326309725,True,Rua Riachuelo,tertiary,30,False,168.442,"LINESTRING (-51.2330318 -30.0323153, -51.2330725 -30.0323276, -51.2345941 -30.0327864, -51.2346833 -30.0328157)",1,,,
27103144,True,Rua General João Manoel,residential,40,False,116.42700000000002,"LINESTRING (-51.2327051 -30.0333234, -51.2327223 -30.0332713, -51.2328979 -30.0327393, -51.2330112 -30.0323798, -51.2330195 -30.0323514, -51.2330318 -30.0323153)",,,,
186936338,False,Rua General João Manoel,residential,40,True,123.011,"LINESTRING (-51.2327051 -30.0333234, -51.2326899 -30.033372, -51.2325594 -30.0337574, -51.2325195 -30.033882, -51.232521 -30.0340167, -51.2325383 -30.0344067)",2,,,
"[219276440, 326309716]",True,Rua Duque de Caxias,tertiary,"['40', '30']",False,108.505,"LINESTRING (-51.2327051 -30.0333234, -51.2325638 -30.0332865, -51.2324945 -30.033276, -51.2323677 -30.0332733, -51.2320173 -30.0332991, -51.2319789 -30.0333019, -51.2315888 -30.0333366)",2,,,
407596050,True,Rua General Bento Martins,tertiary,40,False,111.198,"LINESTRING (-51.2346833 -30.0328157, -51.2346621 -30.0328622, -51.2344587 -30.0333111, -51.2343035 -30.0336465, -51.2342596 -30.033746)",2,,,
219276439,True,Rua Demétrio Ribeiro,residential,40,False,187.458,"LINESTRING (-51.2337337 -30.0356931, -51.2318107 -30.0359589)",,,,
219276441,True,Rua General Bento Martins,tertiary,30,False,82.229,"LINESTRING (-51.2337337 -30.0356931, -51.2337538 -30.0364324)",2,,,
219276440,True,Rua Duque de Caxias,tertiary,40,False,107.87899999999999,"LINESTRING (-51.2353369 -30.0340131, -51.2343343 -30.0337665, -51.2342596 -30.033746)",2,,,
326309712,True,Rua Caldas Júnior,tertiary,40,False,88.903,"LINESTRING (-51.232579 -30.029064, -51.2329278 -30.0283237)",1,,,
326309727,True,Rua Siqueira Campos,secondary,60,False,50.631,"LINESTRING (-51.232579 -30.029064, -51.2320899 -30.0288966)",3,,,
218873866,True,Rua Caldas Júnior,tertiary,40,False,140.868,"LINESTRING (-51.2313065 -30.0318011, -51.2315377 -30.0312821, -51.2318456 -30.0306234)",1,,,
444048526,True,Rua Riachuelo,tertiary,40,False,175.656,"LINESTRING (-51.2313065 -30.0318011, -51.231854 -30.0319643, -51.2319819 -30.0320024, -51.2329918 -30.0323034, -51.2330318 -30.0323153)",1,,,
126213877,True,Rua General João Manoel,residential,40,False,99.652,"LINESTRING (-51.2340217 -30.0295577, -51.2336393 -30.0303905)",1,,,
444048529,True,Rua Siqueira Campos,secondary,60,False,149.349,"LINESTRING (-51.2340217 -30.0295577, -51.2336094 -30.0294118, -51.2330886 -30.0292384, -51.232579 -30.029064)",3,,,
444048536,False,Rua Washington Luiz,tertiary,40,False,171.059,"LINESTRING (-51.2354719 -30.0360396, -51.2337538 -30.0364324)",2,,,
444048536,False,Rua Washington Luiz,tertiary,40,False,102.648,"LINESTRING (-51.2337538 -30.0364324, -51.2327225 -30.0366671)",2,,,
444048536,False,Rua Washington Luiz,tertiary,40,True,171.059,"LINESTRING (-51.2337538 -30.0364324, -51.2354719 -30.0360396)",2,,,
