osmid,oneway,highway,junction,reversed,length,geometry,ref,name,lanes,bridge,maxspeed
242606571,True,tertiary,circular,False,16.098,"LINESTRING (-41.5091294 -20.2362, -41.5090823 -20.2362464, -41.5090107 -20.2362911)",,,,,
360351909,False,trunk,,False,263.646,"LINESTRING (-41.5091294 -20.2362, -41.5093437 -20.2363344, -41.5095019 -20.2364414, -41.509636 -20.2365345, -41.5097219 -20.2365924, -41.5098318 -20.2366629, -41.5099834 -20.2367497, -41.5101242 -20.2368264, -41.5103495 -20.2369359, -41.5105708 -20.2370429, -41.5108202 -20.2371435, -41.5110388 -20.2372228, -41.5113406 -20.2373214)",BR-262,Rodovia Federal Deputado Aloízio Santos,,,
360351917,False,trunk,,True,61.418000000000006,"LINESTRING (-41.5091294 -20.2362, -41.5089302 -20.2360715, -41.5086451 -20.235886)",BR-262,Rodovia Federal Deputado Aloízio Santos,,,
342416112,True,tertiary,circular,False,20.085,"LINESTRING (-41.5086451 -20.235886, -41.5086814 -20.235854, -41.5087118 -20.2358324, -41.5087435 -20.2358154, -41.5088059 -20.2357899)",,,,,
360351917,False,trunk,,False,61.418000000000006,"LINESTRING (-41.5086451 -20.235886, -41.5089302 -20.2360715, -41.5091294 -20.2362)",BR-262,Rodovia Federal Deputado Aloízio Santos,,,
360351927,False,trunk,,True,227.42499999999998,"LINESTRING (-41.5086451 -20.235886, -41.5082386 -20.2356134, -41.5080643 -20.2354977, -41.5078618 -20.2353517, -41.5076981 -20.2352372, -41.5074997 -20.2351051, -41.5073079 -20.2349754, -41.5071362 -20.2348572, -41.5069525 -20.2347401, -41.506878 -20.2346889)",BR-262,Rodovia Federal Deputado Aloízio Santos,,,
360351913,False,trunk,,False,60.85,"LINESTRING (-41.5064048 -20.234369, -41.506878 -20.2346889)",BR-262,Rodovia Federal Deputado Aloízio Santos,,,
242548732,True,tertiary,circular,False,14.896,"LINESTRING (-41.5064048 -20.234369, -41.5064532 -20.2343206, -41.5065166 -20.2342885)",,,,,
835707412,True,tertiary,,False,37.202,"LINESTRING (-41.5090642 -20.2358013, -41.5093625 -20.2359846)",,Avenida Mário Andrezza,,,
360352377,True,tertiary,circular,False,29.595,"LINESTRING (-41.5090642 -20.2358013, -41.5091254 -20.2358776, -41.5091547 -20.2359333, -41.5091665 -20.2359699, -41.5091834 -20.2360384)",,,,,
360351902,False,tertiary,,True,28.499,"LINESTRING (-41.5087123 -20.2362772, -41.5089344 -20.2364264)",,Avenida Sete de Setembro,,,
835707410,False,tertiary,,False,36.561,"LINESTRING (-41.5087123 -20.2362772, -41.5084248 -20.2360892)",,Avenida Sete de Setembro,,,
360352382,True,tertiary,circular,False,35.645,"LINESTRING (-41.5087123 -20.2362772, -41.5086798 -20.2362431, -41.5086526 -20.236205, -41.5086312 -20.2361639, -41.5086161 -20.2361203, -41.5086074 -20.2360752, -41.5086055 -20.2360295, -41.5086102 -20.2359839)",,,,,
360351902,False,tertiary,,False,106.598,"LINESTRING (-41.5098608 -20.2369502, -41.509616 -20.2368427, -41.5094724 -20.2367679, -41.5093537 -20.2367006, -41.5092558 -20.2366383, -41.5091527 -20.2365685, -41.5089854 -20.2364605)",,Avenida Sete de Setembro,,,
360351902,False,tertiary,,True,164.12300000000002,"LINESTRING (-41.5098608 -20.2369502, -41.5102595 -20.2371107, -41.5108326 -20.2373216, -41.5113232 -20.2374934)",,Avenida Sete de Setembro,,,
326844090,False,tertiary,,False,15.709,"LINESTRING (-41.5130112 -20.2375288, -41.5130011 -20.237599, -41.512995 -20.2376692)",,,2,,
"[360351909, 227214950, 329520655]",False,trunk,,True,176.49499999999998,"LINESTRING (-41.5130112 -20.2375288, -41.5128158 -20.2375298, -41.5125985 -20.2375236, -41.5123826 -20.2375097, -41.5122297 -20.2374934, -41.5116598 -20.2374002, -41.5115283 -20.23737, -41.5113406 -20.2373214)",BR-262,Rodovia Federal Deputado Aloízio Santos,,yes,
