osmid,name,highway,oneway,reversed,length,ref,lanes,maxspeed,geometry
425593994,Rua Coronel Periandro,residential,False,False,8.152,,,,"LINESTRING (-35.7253773 -7.7446155, -35.725448 -7.7446371)"
425596464,Rua Maria Cecilia de Miranda,secondary,False,True,90.895,PE-102,,,"LINESTRING (-35.7253773 -7.7446155, -35.725723 -7.7453577)"
425593996,Rua Coronel Periandro,secondary,False,True,31.387999999999998,,2,40,"LINESTRING (-35.7253773 -7.7446155, -35.7252002 -7.7445576, -35.7251029 -7.7445432)"
425596464,Rua Maria Cecilia de Miranda,secondary,False,False,64.572,PE-102,,,"LINESTRING (-35.7261521 -7.7469265, -35.7261363 -7.7465817, -35.7261082 -7.7463478)"
1086261131,,residential,False,False,196.014,,,,"LINESTRING (-35.7261521 -7.7469265, -35.7253993 -7.7468981, -35.7251168 -7.7468594, -35.7245655 -7.7468434, -35.7244334 -7.746807, -35.7243947 -7.7467728)"
418179842,Rua Severino Augusto de Miranda,secondary,False,True,35.15,,2,40,"LINESTRING (-35.7244109 -7.7444635, -35.724551 -7.7441795)"
425594003,Rua Coronel Periandro,unclassified,False,True,9.834,,,,"LINESTRING (-35.7244109 -7.7444635, -35.7243269 -7.7444336)"
425593996,Rua Coronel Periandro,secondary,False,False,51.448,,2,40,"LINESTRING (-35.7244109 -7.7444635, -35.7246557 -7.7445098, -35.7248722 -7.7445326)"
425593996,Rua Coronel Periandro,secondary,False,False,25.446,,2,40,"LINESTRING (-35.7248722 -7.7445326, -35.7251029 -7.7445432)"
425593996,Rua Coronel Periandro,secondary,False,True,51.448,,2,40,"LINESTRING (-35.7248722 -7.7445326, -35.7246557 -7.7445098, -35.7244109 -7.7444635)"
425594034,Rua Maria Cecília de Miranda,residential,False,False,54.230000000000004,,,,"LINESTRING (-35.7248722 -7.7445326, -35.7246772 -7.7446958, -35.7244719 -7.744813)"
425593996,Rua Coronel Periandro,secondary,False,True,25.446,,2,40,"LINESTRING (-35.7251029 -7.7445432, -35.7248722 -7.7445326)"
425593996,Rua Coronel Periandro,secondary,False,False,31.387999999999998,,2,40,"LINESTRING (-35.7251029 -7.7445432, -35.7252002 -7.7445576, -35.7253773 -7.7446155)"
464544285,Rua Maria Cecília de Miranda,residential,False,True,44.248000000000005,,,,"LINESTRING (-35.7251029 -7.7445432, -35.7254111 -7.7443853, -35.7254648 -7.7443753)"
425594076,Rua Treze de Maio,residential,False,True,193.998,,,,"LINESTRING (-35.7228318 -7.7413982, -35.7227674 -7.7431417)"
425594076,Rua Treze de Maio,residential,False,False,193.998,,,,"LINESTRING (-35.7227674 -7.7431417, -35.7228318 -7.7413982)"
425594097,Rua Treze de Maio,residential,False,True,50.922,,,,"LINESTRING (-35.7227674 -7.7431417, -35.7226925 -7.7435936)"
