osmid,oneway,name,highway,reversed,length,maxspeed,junction,geometry,lanes
180892559,True,Avenida Antônio Domingues Bordin,secondary,False,37.029,,,"LINESTRING (-51.8531936 -21.3628109, -51.8530404 -21.36251)",
180895266,True,,secondary,False,12.472,40,roundabout,"LINESTRING (-51.8531936 -21.3628109, -51.8532248 -21.3627873, -51.8532602 -21.3627697, -51.8532985 -21.3627586)",
180895266,True,,secondary,False,20.04,40,roundabout,"LINESTRING (-51.8532985 -21.3627586, -51.8533629 -21.3627557, -51.8534253 -21.362771, -51.8534797 -21.3628033)",
196795412,False,Rua Antonio Possari,residential,True,15.982,,,"LINESTRING (-51.8617888 -21.3638976, -51.8617232 -21.3637675)",
855794862,True,Avenida Doutor Milton Noronha Gustavo,residential,False,146.796,,,"LINESTRING (-51.8617888 -21.3638976, -51.8604894 -21.3644253)",
180895266,True,,secondary,False,5.757,40,roundabout,"LINESTRING (-51.8533601 -21.3631447, -51.8533416 -21.3631455, -51.853323 -21.3631448, -51.8533047 -21.3631426)",
180895265,True,Avenida João Leme,secondary,False,133.197,,,"LINESTRING (-51.8534797 -21.3628033, -51.8546469 -21.3623)",
180895266,True,,secondary,False,15.472000000000001,40,roundabout,"LINESTRING (-51.8534797 -21.3628033, -51.8535129 -21.3628378, -51.8535365 -21.3628787, -51.853549 -21.3629236)",
196917715,False,Rua Nicola Zwing,residential,False,18.182,,,"LINESTRING (-51.8553871 -21.3576519, -51.8555474 -21.3575852)",
196917715,False,Rua Nicola Zwing,residential,True,139.006,,,"LINESTRING (-51.8553871 -21.3576519, -51.8541613 -21.3581613)",
180895266,True,,secondary,False,20.391,40,roundabout,"LINESTRING (-51.853549 -21.3629236, -51.8535499 -21.3629694, -51.8535393 -21.3630142, -51.8535178 -21.3630555, -51.8534866 -21.3630909)",
180895265,True,Avenida João Leme,secondary,False,35.089,,,"LINESTRING (-51.8568462 -21.3613595, -51.856844 -21.3612866, -51.8568578 -21.3612401, -51.8568906 -21.3612057, -51.8570326 -21.3611384)",
180895265,True,Avenida João Leme,secondary,False,27.378,,,"LINESTRING (-51.8574385 -21.3609715, -51.8575012 -21.3609482, -51.8575501 -21.3609475, -51.8575857 -21.3609582, -51.8576254 -21.3609783, -51.8576723 -21.3610207)",
180895266,True,,secondary,False,17.033,40,roundabout,"LINESTRING (-51.8533047 -21.3631426, -51.8532524 -21.3631273, -51.8532062 -21.3630998, -51.8531691 -21.3630622)",
855735972,True,Avenida Pedro Milanez,secondary,False,26.867,,,"LINESTRING (-51.8533047 -21.3631426, -51.8532358 -21.3632038, -51.8532117 -21.3632238, -51.8531859 -21.363246, -51.8531144 -21.3633068)",
180895265,True,Avenida João Leme,secondary,False,45.948,,,"LINESTRING (-51.8570326 -21.3611384, -51.8574385 -21.3609715)",
180895271,True,Avenida Prestes Maia,tertiary,False,73.253,,,"LINESTRING (-51.8570326 -21.3611384, -51.856731 -21.3605425)",
196795414,True,Avenida Antônio Domingues Bordin,tertiary,False,73.215,,,"LINESTRING (-51.8534866 -21.3630909, -51.8537681 -21.3636949)",
180895266,True,,secondary,False,14.609,40,roundabout,"LINESTRING (-51.8534866 -21.3630909, -51.8534282 -21.3631279, -51.8533601 -21.3631447)",
180895266,True,,secondary,False,12.567,40,roundabout,"LINESTRING (-51.8531315 -21.3629611, -51.8531369 -21.3629048, -51.8531593 -21.3628523)",
180895270,True,Avenida Prestes Maia,tertiary,False,87.14,,,"LINESTRING (-51.8557066 -21.3575208, -51.8560637 -21.3582304)",
196917715,False,Rua Nicola Zwing,residential,False,136.128,,,"LINESTRING (-51.8557066 -21.3575208, -51.8568852 -21.3569787)",
196917715,False,Rua Nicola Zwing,residential,True,17.975,,,"LINESTRING (-51.8557066 -21.3575208, -51.8555474 -21.3575852)",
180895268,True,Avenida João Leme,secondary,False,103.813,,,"LINESTRING (-51.8569188 -21.3615104, -51.8560024 -21.3618889)",
196786685,True,,secondary,False,18.387,,,"LINESTRING (-51.8569188 -21.3615104, -51.8568462 -21.3613595)",
180895268,True,Avenida João Leme,secondary,False,13.097,,,"LINESTRING (-51.8613935 -21.3595765, -51.8612784 -21.3596253)",
180999976,False,Rua Júlio Barata,residential,False,127.706,,,"LINESTRING (-51.8616323 -21.357371, -51.861475 -21.3575363, -51.8613104 -21.3576807, -51.8611993 -21.3577589, -51.8606323 -21.358016)",
181000170,False,Rua Oscar Torquato da Silva,residential,True,89.765,,,"LINESTRING (-51.8541613 -21.3581613, -51.8545359 -21.3588893)",
196917715,False,Rua Nicola Zwing,residential,False,139.006,,,"LINESTRING (-51.8541613 -21.3581613, -51.8553871 -21.3576519)",
196917715,False,Rua Nicola Zwing,residential,True,146.93,,,"LINESTRING (-51.8541613 -21.3581613, -51.8528645 -21.3586974)",
527141637,False,,residential,True,30.977,,,"LINESTRING (-51.8541613 -21.3581613, -51.8540981 -21.358048, -51.8540485 -21.3579668, -51.8540147 -21.3579187)",
181000169,False,Rua Francisco Sposito Auriena,residential,False,89.605,,,"LINESTRING (-51.8528645 -21.3586974, -51.8532291 -21.3594282)",
196917715,False,Rua Nicola Zwing,residential,False,146.93,,,"LINESTRING (-51.8528645 -21.3586974, -51.8541613 -21.3581613)",
180895271,True,Avenida Prestes Maia,tertiary,False,96.392,,,"LINESTRING (-51.8560662 -21.3591759, -51.8557346 -21.3583659)",
706522420,False,Rua Aurora Francisco de Camargo,residential,False,46.498,,,"LINESTRING (-51.8560662 -21.3591759, -51.8564728 -21.3589985)",
706522420,False,Rua Aurora Francisco de Camargo,residential,True,129.205,,,"LINESTRING (-51.8560662 -21.3591759, -51.854909 -21.3596103)",
180999976,False,Rua Júlio Barata,residential,False,13.158,,,"LINESTRING (-51.8606323 -21.358016, -51.8605167 -21.3580651)",
370366914,True,Avenida Rodion Podolsck,secondary,False,87.946,,,"LINESTRING (-51.8606323 -21.358016, -51.8609887 -21.3587339)",
180999976,False,Rua Júlio Barata,residential,True,127.706,,,"LINESTRING (-51.8606323 -21.358016, -51.8611993 -21.3577589, -51.8613104 -21.3576807, -51.861475 -21.3575363, -51.8616323 -21.357371)",
180894120,True,Avenida Rodion Podolsck,secondary,False,88.436,60,,"LINESTRING (-51.8605167 -21.3580651, -51.860168 -21.3573391)",2
180999976,False,Rua Júlio Barata,residential,False,147.637,,,"LINESTRING (-51.8605167 -21.3580651, -51.8592182 -21.3586132)",
180999976,False,Rua Júlio Barata,residential,True,13.158,,,"LINESTRING (-51.8605167 -21.3580651, -51.8606323 -21.358016)",
180895270,True,Avenida Prestes Maia,tertiary,False,95.339,,,"LINESTRING (-51.8560637 -21.3582304, -51.8564728 -21.3589985)",
181134416,False,Rua Quintino Maudonnet,residential,False,135.154,,,"LINESTRING (-51.8560637 -21.3582304, -51.8572493 -21.3577223)",
181134416,False,Rua Quintino Maudonnet,residential,True,37.263,,,"LINESTRING (-51.8560637 -21.3582304, -51.8557346 -21.3583659)",
180895271,True,Avenida Prestes Maia,tertiary,False,87.168,,,"LINESTRING (-51.8557346 -21.3583659, -51.8553871 -21.3576519)",
181134416,False,Rua Quintino Maudonnet,residential,False,37.263,,,"LINESTRING (-51.8557346 -21.3583659, -51.8560637 -21.3582304)",
181134416,False,Rua Quintino Maudonnet,residential,True,137.101,,,"LINESTRING (-51.8557346 -21.3583659, -51.8545359 -21.3588893)",
181000170,False,Rua Oscar Torquato da Silva,residential,False,89.765,,,"LINESTRING (-51.8545359 -21.3588893, -51.8541613 -21.3581613)",
181000170,False,Rua Oscar Torquato da Silva,residential,True,88.996,,,"LINESTRING (-51.8545359 -21.3588893, -51.854909 -21.3596103)",
181134416,False,Rua Quintino Maudonnet,residential,False,137.101,,,"LINESTRING (-51.8545359 -21.3588893, -51.8557346 -21.3583659)",
181134416,False,Rua Quintino Maudonnet,residential,True,148.003,,,"LINESTRING (-51.8545359 -21.3588893, -51.8532291 -21.3594282)",
181000169,False,Rua Francisco Sposito Auriena,residential,False,89.773,,,"LINESTRING (-51.8532291 -21.3594282, -51.853598 -21.3601588)",
181000169,False,Rua Francisco Sposito Auriena,residential,True,89.605,,,"LINESTRING (-51.8532291 -21.3594282, -51.8528645 -21.3586974)",
181134416,False,Rua Quintino Maudonnet,residential,False,148.003,,,"LINESTRING (-51.8532291 -21.3594282, -51.8545359 -21.3588893)",
181000170,False,Rua Oscar Torquato da Silva,residential,False,88.996,,,"LINESTRING (-51.854909 -21.3596103, -51.8545359 -21.3588893)",
181000170,False,Rua Oscar Torquato da Silva,residential,True,86.585,,,"LINESTRING (-51.854909 -21.3596103, -51.8552528 -21.3603201)",
706522420,False,Rua Aurora Francisco de Camargo,residential,False,129.205,,,"LINESTRING (-51.854909 -21.3596103, -51.8560662 -21.3591759)",
706522420,False,Rua Aurora Francisco de Camargo,residential,True,148.834,,,"LINESTRING (-51.854909 -21.3596103, -51.853598 -21.3601588)",
180895270,True,Avenida Prestes Maia,tertiary,False,87.193,,,"LINESTRING (-51.8567826 -21.3596582, -51.8571443 -21.3603663)",
