osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,bridge,maxspeed
175034638,True,2,BR-458,Avenida Cláudio Moura,trunk,False,54.331,"LINESTRING (-42.5307892 -19.4771132, -42.5309403 -19.4770708, -42.5312914 -19.4769932)",,,
182054777,True,,,Rua Ouro Preto,residential,False,17.423000000000002,"LINESTRING (-42.5307892 -19.4771132, -42.5307714 -19.4770495, -42.5307468 -19.4769617)",,,
175034653,True,2,BR-458,Avenida Cláudio Moura,trunk,False,192.359,"LINESTRING (-42.5314337 -19.4773164, -42.5312115 -19.4773743, -42.5310053 -19.4774423, -42.5308184 -19.4775189, -42.5306963 -19.4775774, -42.5305747 -19.477653, -42.5304589 -19.4777487, -42.5303635 -19.4778311, -42.5302739 -19.4779275, -42.5301908 -19.4780187, -42.5300852 -19.4781681, -42.5300047 -19.4783009)",,,
175034638,True,2,BR-458,Avenida Cláudio Moura,trunk,False,61.187,"LINESTRING (-42.5302692 -19.4773615, -42.5303675 -19.4773025, -42.530723 -19.4771398, -42.5307892 -19.4771132)",,,
175034638,True,2,BR-458,Avenida Cláudio Moura,trunk,False,115.78599999999999,"LINESTRING (-42.5295286 -19.4781188, -42.5296649 -19.4779257, -42.529794 -19.4777586, -42.5298558 -19.4776853, -42.5299587 -19.4775845, -42.5300583 -19.4774994, -42.5301426 -19.4774361, -42.5302692 -19.4773615)",,,
175034916,True,2,,,trunk_link,False,81.728,"LINESTRING (-42.5295286 -19.4781188, -42.5296404 -19.4780225, -42.5297214 -19.477988, -42.5298049 -19.4779823, -42.5298862 -19.4779996, -42.5299559 -19.4780472, -42.530004 -19.4781183, -42.5300208 -19.4781841, -42.5300047 -19.4783009)",,,
175034649,True,2,,,trunk_link,False,105.86600000000001,"LINESTRING (-42.5296117 -19.4792222, -42.5294013 -19.4794444, -42.5293387 -19.4794834, -42.5292809 -19.4795084, -42.5292254 -19.479519, -42.5291504 -19.4795195, -42.5290861 -19.4795031, -42.5290282 -19.4794675, -42.5289925 -19.4794201, -42.528976 -19.4793549, -42.5289878 -19.4793005, -42.5290174 -19.4792141)",,,
175176175,True,,BR-458,Avenida Cláudio Moura,trunk,False,401.987,"LINESTRING (-42.5296117 -19.4792222, -42.5295286 -19.4794271, -42.529432 -19.4795712, -42.5293247 -19.4797128, -42.5292094 -19.4798215, -42.5291035 -19.47991, -42.5289626 -19.4799872, -42.5288124 -19.4800643, -42.5286716 -19.4801262, -42.5284683 -19.4801787, -42.5263335 -19.4807925)",,,
175033712,True,2,BR-458,Avenida Cláudio Moura,trunk,False,133.589,"LINESTRING (-42.5282132 -19.480064, -42.5282495 -19.4800572, -42.528383 -19.4799976, -42.528511 -19.4799205, -42.5286254 -19.4798582, -42.5287273 -19.4797912, -42.5288104 -19.4796894, -42.5288815 -19.4795377, -42.5289439 -19.479386, -42.5290174 -19.4792141)",,,
175033712,True,2,BR-458,Avenida Cláudio Moura,trunk,False,25.646,"LINESTRING (-42.5269014 -19.4804445, -42.5271361 -19.4803794)",,,
