osmid,name,highway,oneway,reversed,length,geometry,lanes,access,ref,maxspeed
93724176,Rua dos Manacas,residential,False,False,70.573,"LINESTRING (-39.064246 -16.4426979, -39.0648682 -16.4424818)",,,,
87589051,Rua das Araras,residential,False,False,69.84700000000001,"LINESTRING (-39.064246 -16.4426979, -39.0643573 -16.4429693, -39.0643808 -16.4430414, -39.0643995 -16.4431333, -39.0644002 -16.4432176, -39.0643888 -16.4432999)",,,,
93724176,Rua dos Manacas,residential,False,True,153.64,"LINESTRING (-39.064246 -16.4426979, -39.0634789 -16.4429308, -39.0633903 -16.4429783, -39.0633288 -16.4430467, -39.0632911 -16.4431095, -39.0632898 -16.4431713, -39.0633179 -16.4434581)",,,,
87589051,Rua das Araras,residential,False,True,82.531,"LINESTRING (-39.0640394 -16.4448473, -39.0641896 -16.4441192)",,,,
238269705,Avenida dos Navegantes,secondary,False,False,24.714,"LINESTRING (-39.0640394 -16.4448473, -39.0641709 -16.4448299, -39.0642681 -16.4448119)",4,,,
238269705,Avenida dos Navegantes,secondary,False,True,72.607,"LINESTRING (-39.0640394 -16.4448473, -39.0638856 -16.4448725, -39.0638041 -16.4448859, -39.0636566 -16.4448884, -39.0633635 -16.4448601)",4,,,
88725958,Rua Cova da Moça,residential,False,False,77.491,"LINESTRING (-39.0653807 -16.4443329, -39.0652303 -16.4436511)",,,,
238269705,Avenida dos Navegantes,secondary,False,False,43.992,"LINESTRING (-39.0653807 -16.4443329, -39.0657493 -16.4441553)",4,,,
88725958,Rua Cova da Moça,residential,False,True,114.572,"LINESTRING (-39.0653807 -16.4443329, -39.0655455 -16.4452087, -39.065567 -16.4453476)",,,,
238269705,Avenida dos Navegantes,secondary,False,True,130.111,"LINESTRING (-39.0653807 -16.4443329, -39.0649004 -16.4445572, -39.0642681 -16.4448119)",4,,,
88762727,Rua do Cajueiro,tertiary,False,False,8.029,"LINESTRING (-39.0625421 -16.4461522, -39.062467 -16.4461573)",,,,
88762724,Rua Pero Vaz de Caminha,tertiary,True,False,189.98000000000002,"LINESTRING (-39.0625421 -16.4461522, -39.0626273 -16.4462454, -39.0627654 -16.4464126, -39.063444 -16.4471856, -39.063684 -16.4474634)",,,,
88762727,Rua do Cajueiro,tertiary,False,True,55.663,"LINESTRING (-39.0625421 -16.4461522, -39.0626434 -16.4461361, -39.0628485 -16.4461039, -39.0630551 -16.4460608)",,,,
88762727,Rua do Cajueiro,tertiary,False,True,5.313,"LINESTRING (-39.0624174 -16.4461618, -39.062467 -16.4461573)",,,,
88725957,Rua do Golfo,tertiary,False,False,75.614,"LINESTRING (-39.0624174 -16.4461618, -39.0620211 -16.4460872, -39.0617234 -16.4460229)",2,,,
88725958,Rua Cova da Moça,residential,False,False,14.731,"LINESTRING (-39.0658414 -16.4466707, -39.0658143 -16.4465408)",,,,
88725966,Praça dos Ex-Combatentes,residential,False,True,40.201,"LINESTRING (-39.0658414 -16.4466707, -39.0656123 -16.4469578)",,,,
