osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref
144230816,False,Rua Barão do Guaicuí,residential,True,70.828,"LINESTRING (-44.7331041 -17.5989267, -44.7332664 -17.5983088)",,,
293470865,False,Rua Tomaz Antonio Gonzaga,residential,False,7.63,"LINESTRING (-44.7331041 -17.5989267, -44.733174 -17.5989431)",,,
293470865,False,Rua Tomaz Antonio Gonzaga,residential,True,78.644,"LINESTRING (-44.7331041 -17.5989267, -44.7323866 -17.5987465)",,,
582517837,False,Rua Esmeraldas,residential,False,8.815,"LINESTRING (-44.7270128 -17.6000146, -44.7269926 -17.6000915)",,,
582517837,False,Rua Esmeraldas,residential,True,51.971,"LINESTRING (-44.7270128 -17.6000146, -44.7271185 -17.5995582)",,,
293525656,False,Rua Doutor Antônio Gomes Pinto Coelho,residential,False,50.124,"LINESTRING (-44.7325123 -17.598312, -44.7324819 -17.5984086, -44.7324117 -17.5986502, -44.7323866 -17.5987465)",,,
293525656,False,Rua Doutor Antônio Gomes Pinto Coelho,residential,True,271.582,"LINESTRING (-44.7325123 -17.598312, -44.7325198 -17.598282, -44.7325276 -17.5982505, -44.7325898 -17.5980007, -44.7326556 -17.5977364, -44.7328077 -17.5971253, -44.7329378 -17.5966027, -44.7330052 -17.596332, -44.7331039 -17.5959356)",,,
963718754,True,Avenida Salvador Roberto,unclassified,False,5.566,"LINESTRING (-44.7304535 -17.597834, -44.7305044 -17.5978463)",2,40,
293470865,False,Rua Tomaz Antonio Gonzaga,residential,False,71.882,"LINESTRING (-44.7303551 -17.5982939, -44.7310177 -17.5984317)",,,
635762280,False,Avenida Doutor Mallard,residential,False,65.643,"LINESTRING (-44.7303551 -17.5982939, -44.7301763 -17.5988591)",,,
635762280,False,Avenida Doutor Mallard,residential,True,43.041,"LINESTRING (-44.7303551 -17.5982939, -44.730434 -17.5979142)",,,
293523256,False,Avenida Maximiliano Gaidzinsk,residential,False,76.308,"LINESTRING (-44.7331039 -17.5959356, -44.7338071 -17.5960827)",,,
293525656,False,Rua Doutor Antônio Gomes Pinto Coelho,residential,False,271.58199999999994,"LINESTRING (-44.7331039 -17.5959356, -44.7330052 -17.596332, -44.7329378 -17.5966027, -44.7328077 -17.5971253, -44.7326556 -17.5977364, -44.7325898 -17.5980007, -44.7325276 -17.5982505, -44.7325198 -17.598282, -44.7325123 -17.598312)",,,
293525656,False,Rua Doutor Antônio Gomes Pinto Coelho,residential,True,187.22899999999998,"LINESTRING (-44.7331039 -17.5959356, -44.7331151 -17.5958883, -44.7333277 -17.594989, -44.7333729 -17.594798, -44.7334663 -17.5944028, -44.7334808 -17.5943413, -44.7334922 -17.594293)",,,
144230816,False,Rua Barão do Guaicuí,residential,False,139.049,"LINESTRING (-44.7338071 -17.5960827, -44.733521 -17.5973031)",,,
144230816,False,Rua Barão do Guaicuí,residential,True,187.143,"LINESTRING (-44.7338071 -17.5960827, -44.7342167 -17.5944456)",,,
293523256,False,Avenida Maximiliano Gaidzinsk,residential,False,105.511,"LINESTRING (-44.7338071 -17.5960827, -44.7347779 -17.5962926)",,,
293523256,False,Avenida Maximiliano Gaidzinsk,residential,True,76.308,"LINESTRING (-44.7338071 -17.5960827, -44.7331039 -17.5959356)",,,
293470865,False,Rua Tomaz Antonio Gonzaga,residential,False,113.083,"LINESTRING (-44.7353645 -17.5998363, -44.7364166 -17.6000052)",,,
293470865,False,Rua Tomaz Antonio Gonzaga,residential,True,6.489,"LINESTRING (-44.7353645 -17.5998363, -44.7353043 -17.5998257)",,,
