osmid,bridge,oneway,lanes,highway,reversed,length,name,geometry,ref,maxspeed,access
"[799513257, 50495795]",yes,True,2,motorway_link,False,232.54,Viaduto dos Aviadores,"LINESTRING (-43.2099623 -22.9136847, -43.2098378 -22.9131895, -43.2097071 -22.9127682, -43.2094578 -22.9120319, -43.2094109 -22.91188, -43.2093955 -22.9117805, -43.2093953 -22.9116654)",,,
795049249,viaduct,True,2,motorway,False,204.06599999999997,Viaduto Engenheiro Freyssinet,"LINESTRING (-43.2099623 -22.9136847, -43.2099478 -22.913427, -43.2099339 -22.9132771, -43.2099152 -22.9131381, -43.209889 -22.9130097, -43.2098595 -22.9128812, -43.2098184 -22.9127368, -43.2097562 -22.9125156, -43.2096919 -22.9123228, -43.2096483 -22.9121876, -43.2095457 -22.9118985)",RJ-071,90,
"[257963897, 787031725, 92350967]",viaduct,True,4,primary,False,327.43999999999994,"['Avenida Presidente Vargas', 'Viaduto dos Pracinhas']","LINESTRING (-43.2096567 -22.910038, -43.209539 -22.9102049, -43.2094639 -22.9102926, -43.2093737 -22.9103859, -43.2092707 -22.9104605, -43.2091447 -22.9105269, -43.2090059 -22.9105934, -43.2088608 -22.9106481, -43.2087227 -22.910688, -43.2085974 -22.9107122, -43.2083823 -22.9107414, -43.2081686 -22.9107447, -43.2079688 -22.9107301, -43.207778 -22.9106979, -43.2074971 -22.9106163, -43.2072175 -22.9105217, -43.206797 -22.9103909)",,,
16791839,,True,3,secondary,False,134.967,Avenida Francisco Bicalho,"LINESTRING (-43.2092868 -22.9092142, -43.209322 -22.9081736, -43.2093278 -22.908001)",,70,
227158419,,True,1,trunk_link,False,124.506,,"LINESTRING (-43.2092868 -22.9092142, -43.2093774 -22.9087119, -43.2094306 -22.9083963, -43.2094862 -22.9081097)",,,
45084524,,True,3,secondary,False,146.873,Avenida Francisco Bicalho,"LINESTRING (-43.2093278 -22.908001, -43.2093565 -22.9075849, -43.2094169 -22.9067087, -43.2094187 -22.9066828)",,70,
"[186079513, 795083599]",,True,"['1', '2']",primary,False,343.824,Rua Francisco Eugênio,"LINESTRING (-43.2133886 -22.9071129, -43.2130668 -22.9072006, -43.2130024 -22.9072142, -43.2129358 -22.90722, -43.2128736 -22.9072204, -43.2127412 -22.907215, -43.2126175 -22.9072055, -43.2117134 -22.9071111, -43.2113032 -22.9070739, -43.2112575 -22.9070699, -43.2110291 -22.907035, -43.2106042 -22.9069908, -43.2105644 -22.9069875, -43.2105231 -22.9069855, -43.2104785 -22.9069849, -43.2104406 -22.906989, -43.210406 -22.9069961, -43.2103481 -22.9070164, -43.2103266 -22.9070269, -43.2102518 -22.9070622, -43.210197 -22.9070905, -43.2101013 -22.9071397)",,,
"[794526573, 955403503]",,True,"['1', '2']",primary,False,311.442,Rua Francisco Eugênio,"LINESTRING (-43.2133886 -22.9071129, -43.2113789 -22.9069167, -43.2103649 -22.9068175)",,,
799513258,,True,3,trunk,False,29.182,Avenida Francisco Bicalho,"LINESTRING (-43.2101158 -22.9068776, -43.2101013 -22.9071397)",,60,
628930872,,True,2,primary,False,38.269000000000005,Rua Francisco Eugênio,"LINESTRING (-43.2101158 -22.9068776, -43.2100899 -22.906895, -43.210069 -22.9069118, -43.2100542 -22.9069285, -43.2100389 -22.9069518, -43.2100123 -22.9070026, -43.2099593 -22.9071799)",,,
"[186079524, 795083597]",,True,3,trunk,False,266.89099999999996,Avenida Francisco Bicalho,"LINESTRING (-43.2101013 -22.9071397, -43.2100732 -22.9076332, -43.2100565 -22.9078821, -43.2100398 -22.9081397, -43.209934 -22.9095349)",,60,
17982768,,True,1,primary_link,False,87.309,,"LINESTRING (-43.2068505 -22.9099452, -43.2071079 -22.9100687, -43.2072587 -22.9101335, -43.2074795 -22.9101905, -43.2076374 -22.9102391)",,,
"[360467472, 17982783]",,True,3,secondary,False,303.635,"['Avenida Presidente Vargas', 'Avenida Francisco Bicalho']","LINESTRING (-43.2068505 -22.9099452, -43.2072719 -22.9100603, -43.2074221 -22.9100999, -43.2075723 -22.9101131, -43.2077064 -22.9101108, -43.2078448 -22.9100947, -43.2083051 -22.9100034, -43.2085943 -22.9099427, -43.2088136 -22.9098966, -43.2088751 -22.9098782, -43.208917 -22.9098634, -43.2089579 -22.9098461, -43.2090114 -22.909817, -43.2090399 -22.9097976, -43.2090764 -22.9097709, -43.2091051 -22.9097455, -43.2091321 -22.9097135, -43.2091672 -22.9096632, -43.2091901 -22.9096192, -43.2092134 -22.909558, -43.2092349 -22.9094881, -43.2092706 -22.9093341, -43.2092868 -22.9092142)",,,
"[256565328, 257963898, 257963899]",viaduct,True,4,primary,False,293.88700000000006,"['Avenida Presidente Vargas', 'Viaduto dos Marinheiros']","LINESTRING (-43.2076374 -22.9102391, -43.2077783 -22.9102283, -43.207913 -22.910209, -43.2087699 -22.9100221, -43.2091454 -22.9099591, -43.2094511 -22.9099369, -43.2097301 -22.9099393, -43.2100416 -22.909971, -43.2102927 -22.9100215, -43.2104613 -22.9100584)",,,
952073800,,True,4,primary,False,136.186,Viaduto dos Marinheiros,"LINESTRING (-43.2112796 -22.9103079, -43.212538 -22.9107034)",,,
330236748,,True,1,primary_link,False,96.414,,"LINESTRING (-43.2112796 -22.9103079, -43.2116733 -22.9103212, -43.2119588 -22.9103631, -43.2120699 -22.910388, -43.212206 -22.9104311)",,,
17983747,,True,1,primary_link,False,111.947,,"LINESTRING (-43.212538 -22.9107034, -43.2126392 -22.9107715, -43.2126933 -22.9108022, -43.2127905 -22.9108257, -43.2129233 -22.9108565, -43.2131284 -22.9108856, -43.2135822 -22.91095)",,,
129175500,,True,3,primary,False,131.197,Avenida Osvaldo Aranha,"LINESTRING (-43.212538 -22.9107034, -43.2126469 -22.9107352, -43.2128549 -22.9107756, -43.2130091 -22.9108003, -43.2135847 -22.9108448, -43.2137955 -22.9107869)",,,
50521962,,True,5,primary,False,21.706,Rua Mirabeau Souto Uchoa,"LINESTRING (-43.2132611 -22.9110178, -43.2130499 -22.9110017)",,,
"[236677624, 125570038, 954417320, 17984815]",viaduct,True,"['4', '3']",primary,False,419.181,Viaduto dos Fuzileiros,"LINESTRING (-43.2124553 -22.9109378, -43.2120294 -22.910885, -43.2119321 -22.9108804, -43.2118238 -22.9108868, -43.2117122 -22.9109065, -43.2116082 -22.9109222, -43.210172 -22.9111912, -43.2097834 -22.9112442, -43.209444 -22.9112502, -43.2091536 -22.9112249, -43.2087916 -22.9111621, -43.2084311 -22.9110514)",,,
236684817,,True,3,primary,False,231.03699999999998,Rua Mirabeau Souto Uchoa,"LINESTRING (-43.2124553 -22.9109378, -43.211897 -22.9109968, -43.2116195 -22.9110444, -43.2107111 -22.9112196, -43.2104619 -22.911286, -43.2102572 -22.9113697)",,,
"[125570065, 954418420, 153656601, 92350959]",yes,True,1,trunk_link,False,101.94700000000002,,"LINESTRING (-43.2084311 -22.9110514, -43.2082166 -22.9109085, -43.2081398 -22.9108587, -43.2080783 -22.910799, -43.2080378 -22.9107306, -43.2080165 -22.910654, -43.2080032 -22.9105992, -43.2080064 -22.9105384, -43.2080269 -22.9104891, -43.2080558 -22.9104143, -43.2080881 -22.9103711, -43.2081211 -22.9103372)",,,
"[15048284, 181765430]",yes,True,4,primary,False,168.531,"['Viaduto dos Fuzileiros', 'Avenida Presidente Vargas']","LINESTRING (-43.2084311 -22.9110514, -43.2077998 -22.9108604, -43.2068763 -22.9105557)",,,
17985211,,True,2,motorway_link,False,51.06399999999999,Viaduto dos Aviadores,"LINESTRING (-43.2093953 -22.9116654, -43.2093977 -22.9115661, -43.2094109 -22.9115063, -43.2094257 -22.9114736, -43.2094692 -22.9113921, -43.2095068 -22.9113389, -43.2095879 -22.9112593)",,,
50495798,,True,1,motorway_link,False,111.702,,"LINESTRING (-43.2093953 -22.9116654, -43.2093108 -22.9114868, -43.2092382 -22.9112799, -43.2091632 -22.9111627, -43.2091018 -22.9111039, -43.2090394 -22.9110658, -43.2087403 -22.9109333)",,,
"[125569764, 125569765, 50495793, 236684660, 955365332]",yes,True,"['1', '2']",motorway_link,False,451.048,,"LINESTRING (-43.2095457 -22.9118985, -43.2094471 -22.9117478, -43.20937 -22.911641, -43.2093056 -22.9115613, -43.209191 -22.9114557, -43.2090797 -22.9113822, -43.2089549 -22.911321, -43.2087645 -22.9112562, -43.2077282 -22.910955, -43.2071935 -22.9107996, -43.2067435 -22.9106453, -43.2066368 -22.9106169, -43.2065363 -22.9106014, -43.2063003 -22.9105808, -43.2060837 -22.9105596, -43.2058964 -22.9105265, -43.2055767 -22.9104308)",,,
236674509,,True,2,tertiary,False,136.134,Rua Nelson Carneiro,"LINESTRING (-43.2082311 -22.911221, -43.206962 -22.9108572)",,,
30105519,,True,2,residential,False,225.383,Rua Dom Marcos Barbosa,"LINESTRING (-43.206962 -22.9108572, -43.206863 -22.9111332, -43.2068519 -22.9111641, -43.2067874 -22.9113438, -43.2066438 -22.911744, -43.2066173 -22.9118178, -43.2065918 -22.9118889, -43.206537 -22.9120415, -43.2064863 -22.9121828, -43.2062714 -22.9127817)",,,
"[955404882, 236674509]",,True,"['1', '2']",tertiary,False,149.769,Rua Nelson Carneiro,"LINESTRING (-43.206962 -22.9108572, -43.2066348 -22.9107676, -43.2061654 -22.9106281, -43.2058884 -22.9105544, -43.2055767 -22.9104308)",,,
787031724,,True,3,primary,False,69.741,Avenida Presidente Vargas,"LINESTRING (-43.2068763 -22.9105557, -43.2062225 -22.9103805)",,,
