osmid,ref,highway,oneway,reversed,length,geometry,junction,name,access,lanes
186380820,BA-120,primary,False,False,21.86,"LINESTRING (-39.6224224 -10.9791986, -39.6224013 -10.9790031)",,,,
816807653,BA-120,primary,False,True,41.002,"LINESTRING (-39.6224224 -10.9791986, -39.622428 -10.9795673)",,,,
183093219,,primary_link,True,False,49.992999999999995,"LINESTRING (-39.6224224 -10.9791986, -39.6224853 -10.9793893, -39.6225423 -10.9795462, -39.6225627 -10.9796263)",,,,
816807653,BA-120,primary,False,False,41.002,"LINESTRING (-39.622428 -10.9795673, -39.6224224 -10.9791986)",,,,
816807651,,secondary,True,False,16.261000000000003,"LINESTRING (-39.622428 -10.9795673, -39.6224857 -10.9795816, -39.6225627 -10.9796263)",circular,,,
816807654,BA-120,primary,False,True,56.839,"LINESTRING (-39.622428 -10.9795673, -39.6224063 -10.9797345, -39.6223272 -10.9800682)",,,,
186380821,BA-120,primary,False,True,65.051,"LINESTRING (-39.6223272 -10.9800682, -39.622244 -10.9803039, -39.622189 -10.9804309, -39.6220958 -10.980606)",,,,
"[816807646, 816807647]",,secondary,True,False,18.576999999999998,"LINESTRING (-39.6223272 -10.9800682, -39.6222711 -10.9800461, -39.6222295 -10.9800143, -39.622187 -10.979977)",circular,,,
816807654,BA-120,primary,False,False,56.839,"LINESTRING (-39.6223272 -10.9800682, -39.6224063 -10.9797345, -39.622428 -10.9795673)",,,,
183093258,,primary_link,True,False,71.262,"LINESTRING (-39.6220958 -10.980606, -39.6221789 -10.9803139, -39.6221922 -10.9801757, -39.6221904 -10.9800643, -39.622187 -10.979977)",,,,
186380821,BA-120,primary,False,False,65.051,"LINESTRING (-39.6220958 -10.980606, -39.622189 -10.9804309, -39.622244 -10.9803039, -39.6223272 -10.9800682)",,,,
1001438779,BA-120,primary,False,True,138.917,"LINESTRING (-39.6220958 -10.980606, -39.6219805 -10.9807825, -39.6218517 -10.9809365, -39.6216117 -10.9811978, -39.6212746 -10.9815572)",,BA-120,,
183093234,,tertiary,False,False,55.05,"LINESTRING (-39.627526 -10.9762897, -39.6273697 -10.9767604)",,Rua Benjamin Mendonça,,
183093272,,tertiary,False,False,35.969,"LINESTRING (-39.627526 -10.9762897, -39.6277265 -10.9765464)",,Avenida São José,,
407440975,,residential,False,True,57.437,"LINESTRING (-39.6290173 -10.976374, -39.6285756 -10.9766547)",,,,
759267001,,residential,False,False,44.83,"LINESTRING (-39.6290173 -10.976374, -39.6290743 -10.9765247, -39.6291769 -10.9767452)",,Rua Allan Kardec,,
183093250,,residential,False,False,49.216,"LINESTRING (-39.6291769 -10.9767452, -39.628792 -10.9769757)",,,,
"[759267001, 816811575]",,residential,False,"[False, True]",83.113,"LINESTRING (-39.6291769 -10.9767452, -39.6293106 -10.9769816, -39.6295128 -10.9774154)",,Rua Allan Kardec,,
759267001,,residential,False,True,44.83,"LINESTRING (-39.6291769 -10.9767452, -39.6290743 -10.9765247, -39.6290173 -10.976374)",,Rua Allan Kardec,,
183093218,,residential,False,False,66.146,"LINESTRING (-39.6234611 -10.9770474, -39.6232659 -10.9768742, -39.6232016 -10.9768334, -39.6231171 -10.9767893, -39.6229568 -10.9767321)",,,,
183093234,,tertiary,False,False,72.919,"LINESTRING (-39.6273288 -10.9768742, -39.627076 -10.9774812)",,Rua Benjamin Mendonça,,
183093234,,tertiary,False,True,13.419,"LINESTRING (-39.6273288 -10.9768742, -39.6273697 -10.9767604)",,Rua Benjamin Mendonça,,
759267004,,residential,False,False,102.125,"LINESTRING (-39.6273288 -10.9768742, -39.6278465 -10.9776392)",,Rua Therezinha Sales,,
759267004,,residential,False,True,75.089,"LINESTRING (-39.6273288 -10.9768742, -39.6269485 -10.9763115)",,Rua Therezinha Sales,,
759267011,,secondary,False,True,23.45,"LINESTRING (-39.6252675 -10.9769519, -39.6250898 -10.9768334)",,Avenida Deputado Ângelo Magalhães,,
759274275,,tertiary,False,True,67.266,"LINESTRING (-39.6252675 -10.9769519, -39.624888 -10.9774285)",,,,
759267011,,secondary,False,False,94.314,"LINESTRING (-39.6252675 -10.9769519, -39.6254231 -10.9769914, -39.6261198 -10.9770856)",,Avenida Deputado Ângelo Magalhães,,
183093250,,residential,False,False,65.431,"LINESTRING (-39.628792 -10.9769757, -39.6283054 -10.9773193)",,,,
183093250,,residential,False,True,49.216,"LINESTRING (-39.628792 -10.9769757, -39.6291769 -10.9767452)",,,,
183093257,,residential,False,False,42.802,"LINESTRING (-39.628792 -10.9769757, -39.6285756 -10.9766547)",,,,
183093260,,residential,False,False,16.021,"LINESTRING (-39.6261198 -10.9770856, -39.6261458 -10.9769438)",,,,
183093260,,residential,False,True,48.264,"LINESTRING (-39.6261198 -10.9770856, -39.6260427 -10.977513)",,,,
759267011,,secondary,False,False,31.814,"LINESTRING (-39.6261198 -10.9770856, -39.6264021 -10.9771567)",,Avenida Deputado Ângelo Magalhães,,
759267011,,secondary,False,True,94.314,"LINESTRING (-39.6261198 -10.9770856, -39.6254231 -10.9769914, -39.6252675 -10.9769519)",,Avenida Deputado Ângelo Magalhães,,
183093237,,residential,False,True,104.909,"LINESTRING (-39.6224554 -10.9771255, -39.62293 -10.9779459)",,,,
183093250,,residential,False,False,61.439,"LINESTRING (-39.6283054 -10.9773193, -39.6278465 -10.9776392)",,,,
183093250,,residential,False,True,65.431,"LINESTRING (-39.6283054 -10.9773193, -39.628792 -10.9769757)",,,,
183093272,,tertiary,False,False,65.583,"LINESTRING (-39.6283054 -10.9773193, -39.6286407 -10.9778087)",,Avenida São José,,
183093272,,tertiary,False,True,44.065,"LINESTRING (-39.6283054 -10.9773193, -39.6280648 -10.9770011)",,Avenida São José,,
183093255,,residential,False,False,76.176,"LINESTRING (-39.624888 -10.9774285, -39.6242805 -10.9777656)",,,,
759274275,,tertiary,False,False,67.266,"LINESTRING (-39.624888 -10.9774285, -39.6252675 -10.9769519)",,,,
759274275,,tertiary,False,True,117.599,"LINESTRING (-39.624888 -10.9774285, -39.6254419 -10.9783356)",,,,
183093234,,tertiary,False,True,72.919,"LINESTRING (-39.627076 -10.9774812, -39.6273288 -10.9768742)",,Rua Benjamin Mendonça,,
759260604,,secondary,False,False,65.181,"LINESTRING (-39.627076 -10.9774812, -39.6273785 -10.9779866)",,Praça Matriz,,
759267011,,secondary,False,True,45.902,"LINESTRING (-39.627076 -10.9774812, -39.626964 -10.977392, -39.6269 -10.9773482, -39.62672 -10.9772666)",,Avenida Deputado Ângelo Magalhães,,
183093250,,residential,False,False,64.048,"LINESTRING (-39.6278465 -10.9776392, -39.6273785 -10.9779866)",,,,
183093250,,residential,False,True,61.439,"LINESTRING (-39.6278465 -10.9776392, -39.6283054 -10.9773193)",,,,
