osmid,oneway,name,highway,maxspeed,width,reversed,length,geometry,ref,junction
197386461,True,Rodovia Vicinal Olímpio Correa de Moraes,secondary,60,9,False,87.561,"LINESTRING (-50.3691588 -19.9984307, -50.3694378 -19.9985505, -50.3696342 -19.9986085, -50.369763 -19.9986293, -50.3698918 -19.998638, -50.3699572 -19.9986421)",,
799750325,True,Rodovia Percy Waldir Semeghini,primary,,9,False,107.45099999999998,"LINESTRING (-50.370789 -19.997869, -50.3705427 -19.9983678, -50.3704838 -19.9985077, -50.3704637 -19.998669, -50.3704568 -19.9987724)",SP-543,
624274663,True,Rodovia Percy Waldir Semeghini,primary,,9,False,39.552,"LINESTRING (-50.3701404 -19.9986033, -50.3702155 -19.998612, -50.3702874 -19.9986344, -50.3703532 -19.9986696, -50.3704104 -19.9987162, -50.3704568 -19.9987724)",SP-543,roundabout
799750319,True,Rodovia Percy Waldir Semeghini,primary,,9,False,107.172,"LINESTRING (-50.3701404 -19.9986033, -50.3703528 -19.9984497, -50.3704589 -19.9983373, -50.370789 -19.997869)",SP-543,
199640012,True,Rua Bartolomeu Bueno,tertiary,,9,False,133.51999999999998,"LINESTRING (-50.3705156 -19.9989752, -50.3705509 -19.9990559, -50.3705911 -19.9991075, -50.3707013 -19.9992143, -50.3707932 -19.9992812, -50.3709722 -19.9993841, -50.3715241 -19.9996745)",,
624274663,True,Rodovia Percy Waldir Semeghini,primary,,9,False,43.425,"LINESTRING (-50.3705156 -19.9989752, -50.3704987 -19.9990715, -50.3704549 -19.9991601, -50.3703876 -19.9992344, -50.3703015 -19.9992891)",SP-543,roundabout
197386451,True,Rodovia Vicinal Olímpio Correa de Moraes,secondary,60,9,False,94.22,"LINESTRING (-50.3697546 -19.9990412, -50.3696551 -19.9988353, -50.3695545 -19.9987194, -50.3694063 -19.9985934, -50.3691588 -19.9984307)",,
624274663,True,Rodovia Percy Waldir Semeghini,primary,,9,False,52.795,"LINESTRING (-50.3697546 -19.9990412, -50.369746 -19.9989625, -50.3697557 -19.9988839, -50.3697834 -19.9988092, -50.3698278 -19.9987419, -50.3698866 -19.9986853, -50.3699572 -19.9986421)",SP-543,roundabout
624274663,True,Rodovia Percy Waldir Semeghini,primary,,9,False,16.131,"LINESTRING (-50.3703015 -19.9992891, -50.3702292 -19.9993146, -50.370153 -19.999326)",SP-543,roundabout
799750321,True,Rodovia Percy Waldir Semeghini,primary,,9,False,111.85499999999998,"LINESTRING (-50.3694245 -20.0000739, -50.3697189 -19.9995045, -50.369769 -19.9993271, -50.3697861 -19.9992085, -50.3697936 -19.9991392)",SP-543,
