osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,lanes,name,junction,tunnel
183932736,BR-070;MT-130,trunk,60,False,False,39.573,"LINESTRING (-54.3022705 -15.5655168, -54.3025969 -15.5656835)",,,,
702946116,,trunk_link,,True,False,73.325,"LINESTRING (-54.3022705 -15.5655168, -54.3015861 -15.565504)",,,,
183932737,BR-070;MT-130,trunk,60,False,True,590.491,"LINESTRING (-54.3022705 -15.5655168, -54.300317 -15.5645481, -54.2974176 -15.5629991)",,,,
138223515,,residential,60,True,False,96.058,"LINESTRING (-54.2981528 -15.5625365, -54.298344 -15.5616925)",1,Rua Piracicaba,,
183522051,,residential,60,False,False,7.489,"LINESTRING (-54.2981528 -15.5625365, -54.298221 -15.5625513)",,Avenida Silvério M. Danieli,,
183522051,,residential,60,False,True,172.605,"LINESTRING (-54.2981528 -15.5625365, -54.2967176 -15.5618308)",,Avenida Silvério M. Danieli,,
727623632,,tertiary,60,True,False,166.709,"LINESTRING (-54.2981295 -15.5630098, -54.2992215 -15.5635905, -54.2994918 -15.5637347)",2,Avenida São Paulo,,
1236538386,,tertiary,,True,False,7.9,"LINESTRING (-54.2981295 -15.5630098, -54.298123 -15.5630327, -54.2981079 -15.5630514, -54.2980866 -15.5630631)",,,,
702289883,BR-070;MT-130,trunk,40,True,False,15.955,"LINESTRING (-54.2974176 -15.5629991, -54.2972754 -15.5629564)",,,,
183932737,BR-070;MT-130,trunk,60,False,False,590.491,"LINESTRING (-54.2974176 -15.5629991, -54.300317 -15.5645481, -54.3022705 -15.5655168)",,,,
183218241,,secondary,60,True,False,36.932,"LINESTRING (-54.2965794 -15.5617336, -54.2966627 -15.5614113)",2,Avenida Porto Alegre,,
494333196,,tertiary,60,False,True,151.32100000000003,"LINESTRING (-54.2965794 -15.5617336, -54.296525 -15.5617285, -54.2964701 -15.561702, -54.2964304 -15.5616276, -54.2963219 -15.5604669)",,Rua Rio de Janeiro,,
