osmid,oneway,ref,name,highway,reversed,length,lanes,maxspeed,geometry
181082265,True,BA-142,Praça José Anísio Anjos Silva,primary,False,30.549,,,"LINESTRING (-41.2994555 -13.8122032, -41.299422 -13.812476)"
426825449,False,BA-142,Avenida Barra da Estiva,primary,False,12.551,2,,"LINESTRING (-41.2994555 -13.8122032, -41.2995554 -13.8121455)"
250198523,True,BA-142,Praça José Anísio Anjos Silva,primary,False,26.971,2,,"LINESTRING (-41.2987549 -13.8123919, -41.2988667 -13.812175)"
791527446,False,BA-142,Rua Juvenal Wanderley,primary,True,23.339,,,"LINESTRING (-41.2987549 -13.8123919, -41.2986739 -13.8125865)"
242513985,False,,Rua Afrisio Vieria lima,tertiary,False,88.172,2,,"LINESTRING (-41.2970109 -13.8134873, -41.2973467 -13.8127645)"
242514022,True,BA-142,Praça Gilberto Gil,primary,False,75.699,,,"LINESTRING (-41.2970109 -13.8134873, -41.2976501 -13.8137669)"
395868394,False,BA-142,Praça Gilberto Gil,primary,False,14.552,,,"LINESTRING (-41.2970109 -13.8134873, -41.2969546 -13.8136062)"
242514013,False,,Rua José Carlos Avelino,residential,False,68.134,,,"LINESTRING (-41.2976982 -13.8136934, -41.2979239 -13.8131212)"
426825448,True,BA-142,,primary,False,43.685,,,"LINESTRING (-41.2976982 -13.8136934, -41.2980808 -13.8138211)"
242513973,False,BA-142,Praça Gilberto Gil,primary,True,15.597,,,"LINESTRING (-41.2976501 -13.8137669, -41.2975929 -13.8138957)"
785071651,True,BA-142,Praça Gilberto Gil,primary,False,9.684,,,"LINESTRING (-41.2976501 -13.8137669, -41.2976982 -13.8136934)"
395868393,False,BA-142,Avenida José Carlos Brito,primary,False,19.603,2,80,"LINESTRING (-41.2953449 -13.8173679, -41.2953554 -13.8175439)"
181082269,False,,Avenida José Carlos Brito,tertiary,False,135.543,2,,"LINESTRING (-41.2953449 -13.8173679, -41.2953276 -13.8172507, -41.2953195 -13.8171335, -41.2953169 -13.8167415, -41.2953189 -13.8161504)"
242513974,False,BA-142,Rua Afrisio Vieria lima,primary,True,150.254,2,,"LINESTRING (-41.2953449 -13.8173679, -41.2955998 -13.816761, -41.2957299 -13.8164146, -41.2958291 -13.816102)"
242513971,False,,Rua Sebastião Pereira da Silva,tertiary,False,116.44,,,"LINESTRING (-41.2988667 -13.812175, -41.2984922 -13.8120226, -41.2978991 -13.8117152)"
250198523,True,BA-142,Praça José Anísio Anjos Silva,primary,False,9.701,2,,"LINESTRING (-41.2988667 -13.812175, -41.2988915 -13.8121614, -41.2989527 -13.8121571)"
181082265,True,BA-142,Praça José Anísio Anjos Silva,primary,False,72.638,,,"LINESTRING (-41.299422 -13.812476, -41.2987549 -13.8123919)"
181082292,False,,Avenida Sete de Setembro,secondary,False,35.317,,,"LINESTRING (-41.299422 -13.812476, -41.2997457 -13.8125215)"
181082267,False,,Rua Edilson Lima da Silva,tertiary,False,69.936,,,"LINESTRING (-41.2997457 -13.8125215, -41.2993167 -13.8129927)"
181082292,False,,Avenida Sete de Setembro,secondary,False,48.693,,,"LINESTRING (-41.2997457 -13.8125215, -41.300192 -13.8125842)"
181082292,False,,Avenida Sete de Setembro,secondary,True,35.317,,,"LINESTRING (-41.2997457 -13.8125215, -41.299422 -13.812476)"
181082292,False,,Avenida Sete de Setembro,secondary,False,10.167,,,"LINESTRING (-41.300192 -13.8125842, -41.3002852 -13.8125972)"
181082292,False,,Avenida Sete de Setembro,secondary,True,48.693,,,"LINESTRING (-41.300192 -13.8125842, -41.2997457 -13.8125215)"
181082263,False,,Rua Manoel Aguiar Pessoa,residential,False,256.264,,,"LINESTRING (-41.3009179 -13.8126861, -41.3001166 -13.8148554)"
181082292,False,,Avenida Sete de Setembro,secondary,True,8.052,,,"LINESTRING (-41.3009179 -13.8126861, -41.3008441 -13.8126757)"
181082260,False,,Rua Adelaido Luz,residential,False,254.332,,,"LINESTRING (-41.3014455 -13.812765, -41.3006524 -13.8149187)"
791527434,True,,Avenida Sete de Setembro,secondary,False,57.701,,,"LINESTRING (-41.3014455 -13.812765, -41.3010649 -13.8127188, -41.3009179 -13.8126861)"
791527434,True,,Avenida Sete de Setembro,secondary,False,65.416,,,"LINESTRING (-41.3020486 -13.8128207, -41.3014455 -13.812765)"
