osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction
373271434,Rua Geraldo Hermínio,residential,False,True,95.369,"LINESTRING (-42.8903868 -16.5593018, -42.8908915 -16.5594961, -42.8912378 -16.5595504)",,,
"[373271472, 373271467]",Rua Geraldo Hermínio,residential,False,"[False, True]",143.083,"LINESTRING (-42.8903868 -16.5593018, -42.8904703 -16.560376, -42.8903791 -16.5605665)",,,
373271364,Rua Santa Rita,residential,False,True,159.911,"LINESTRING (-42.8884227 -16.5594466, -42.8891165 -16.5600406, -42.8895697 -16.5603721)",,,
373271415,Rua Deputado Pedro Lagorne,secondary,False,True,27.011,"LINESTRING (-42.8884227 -16.5594466, -42.8882955 -16.5595647, -42.8882419 -16.5596168)",2,,
373271516,Rua Franklin Barbosa,residential,False,False,64.708,"LINESTRING (-42.8912378 -16.5595504, -42.8913126 -16.5589729)",,,
373271516,Rua Franklin Barbosa,residential,False,True,24.959,"LINESTRING (-42.8912378 -16.5595504, -42.8912085 -16.5597731)",,,
373271434,Rua Geraldo Hermínio,residential,False,False,95.369,"LINESTRING (-42.8912378 -16.5595504, -42.8908915 -16.5594961, -42.8903868 -16.5593018)",,,
373271531,Avenida Arthur Campos,secondary,False,True,128.398,"LINESTRING (-42.8882419 -16.5596168, -42.8888637 -16.5606058)",2,,
373271415,Rua Deputado Pedro Lagorne,secondary,False,False,27.011,"LINESTRING (-42.8882419 -16.5596168, -42.8882955 -16.5595647, -42.8884227 -16.5594466)",2,,
373271441,Rua Joaquim da Veiga,residential,False,True,50.815,"LINESTRING (-42.8912085 -16.5597731, -42.8916821 -16.5598257)",,,
373271516,Rua Franklin Barbosa,residential,False,False,24.959,"LINESTRING (-42.8912085 -16.5597731, -42.8912378 -16.5595504)",,,
373271516,Rua Franklin Barbosa,residential,False,True,47.513999999999996,"LINESTRING (-42.8912085 -16.5597731, -42.8911777 -16.5600065, -42.8911657 -16.5601982)",,,
373271441,Rua Joaquim da Veiga,residential,False,False,50.815,"LINESTRING (-42.8916821 -16.5598257, -42.8912085 -16.5597731)",,,
373271441,Rua Joaquim da Veiga,residential,False,True,58.368,"LINESTRING (-42.8916821 -16.5598257, -42.8922261 -16.559886)",,,
