osmid,name,highway,oneway,reversed,length,ref,geometry,width,lanes,access
327778312,Rua Joaquim Beraldo Evangelista,residential,False,True,44.639,,"LINESTRING (-46.4266321 -21.1300811, -46.4269084 -21.1303889)",,,
327778312,Rua Joaquim Beraldo Evangelista,residential,False,False,58.739,,"LINESTRING (-46.4272584 -21.1308042, -46.4269084 -21.1303889)",,,
1068504180,Rua Vereador José Gomes de Avelar,tertiary,False,True,129.985,LMG-846,"LINESTRING (-46.4272584 -21.1308042, -46.4276983 -21.1297096)",,,
327787079,Rua Quinze de Novembro,residential,False,False,50.206,,"LINESTRING (-46.4276983 -21.1297096, -46.4272437 -21.1295545)",,,
327787079,Rua Quinze de Novembro,residential,False,True,51.022,,"LINESTRING (-46.4276983 -21.1297096, -46.4281636 -21.1298585)",,,
1068504180,Rua Vereador José Gomes de Avelar,tertiary,False,False,129.985,LMG-846,"LINESTRING (-46.4276983 -21.1297096, -46.4272584 -21.1308042)",,,
1068504180,Rua Vereador José Gomes de Avelar,tertiary,False,True,68.087,LMG-846,"LINESTRING (-46.4276983 -21.1297096, -46.4279263 -21.1291354)",,,
327784055,Rua Barão do Rio Branco,tertiary,False,True,64.173,LMG-846,"LINESTRING (-46.4282594 -21.1281091, -46.4283608 -21.127867, -46.4284211 -21.1277206, -46.4285026 -21.1275794)",,,
327787070,Rua Barão do Rio Branco,residential,False,True,154.33299999999997,,"LINESTRING (-46.4282594 -21.1281091, -46.4281449 -21.128261, -46.4280309 -21.1283761, -46.4279182 -21.1284712, -46.4278311 -21.1285362, -46.4277264 -21.1286113, -46.4276084 -21.1286776, -46.4274944 -21.1287239, -46.4273576 -21.1287339, -46.4272477 -21.1287339, -46.4270331 -21.1287101)",,,
1068504180,Rua Vereador José Gomes de Avelar,tertiary,False,False,17.82,LMG-846,"LINESTRING (-46.4282594 -21.1281091, -46.4282629 -21.1281885, -46.4282508 -21.1282685)",,,
327787068,Rua Olegário Maciel,secondary,True,False,96.636,,"LINESTRING (-46.4239559 -21.1296957, -46.4233206 -21.12906)",,,
839197924,Rua Delfim Moreira,secondary,True,False,15.335,MG-446,"LINESTRING (-46.425018 -21.1294315, -46.4251197 -21.1295316)",,,
327797180,Praça Capitão Joaquim Anacleto,residential,False,False,65.629,,"LINESTRING (-46.4239906 -21.1284611, -46.4235343 -21.12887)",,,
839197924,Rua Delfim Moreira,secondary,True,False,123.178,MG-446,"LINESTRING (-46.4239906 -21.1284611, -46.4248279 -21.1292467)",,,
327787070,Rua Barão do Rio Branco,residential,False,False,146.12,,"LINESTRING (-46.4257081 -21.1300986, -46.4261279 -21.1296708, -46.4266442 -21.1291167)",,,
839197924,Rua Delfim Moreira,secondary,True,False,32.195,MG-446,"LINESTRING (-46.4257081 -21.1300986, -46.4258623 -21.13026, -46.4259127 -21.1303163)",,,
327787070,Rua Barão do Rio Branco,residential,False,False,60.592999999999996,,"LINESTRING (-46.4266442 -21.1291167, -46.4269097 -21.1288427, -46.4270331 -21.1287101)",,,
327787070,Rua Barão do Rio Branco,residential,False,True,146.12,,"LINESTRING (-46.4266442 -21.1291167, -46.4261279 -21.1296708, -46.4257081 -21.1300986)",,,
327787079,Rua Quinze de Novembro,residential,False,False,121.991,,"LINESTRING (-46.4266442 -21.1291167, -46.4262137 -21.1287777, -46.4257295 -21.1284274)",,,
327787079,Rua Quinze de Novembro,residential,False,True,79.041,,"LINESTRING (-46.4266442 -21.1291167, -46.4270331 -21.1294156, -46.4271471 -21.1294969, -46.4272437 -21.1295545)",,,
839197924,Rua Delfim Moreira,secondary,True,False,28.478,MG-446,"LINESTRING (-46.4248279 -21.1292467, -46.425018 -21.1294315)",,,
327787071,Rua Osvaldo Cruz,residential,False,False,130.554,,"LINESTRING (-46.4248279 -21.1292467, -46.424867 -21.1292112, -46.4257295 -21.1284274)",,,
327787079,Rua Quinze de Novembro,residential,False,False,34.107,,"LINESTRING (-46.4257295 -21.1284274, -46.4254747 -21.1282335)",,,
327787071,Rua Osvaldo Cruz,residential,False,True,130.554,,"LINESTRING (-46.4257295 -21.1284274, -46.424867 -21.1292112, -46.4248279 -21.1292467)",,,
327787079,Rua Quinze de Novembro,residential,False,True,121.991,,"LINESTRING (-46.4257295 -21.1284274, -46.4262137 -21.1287777, -46.4266442 -21.1291167)",,,
327787074,Rua João Pereira,residential,False,False,42.748999999999995,,"LINESTRING (-46.4287135 -21.1304139, -46.4287095 -21.1303025, -46.4287028 -21.1301812, -46.4286961 -21.1300298)",,,
327787075,Rua José David,residential,False,False,64.64,,"LINESTRING (-46.4287269 -21.1288014, -46.428115 -21.1286911)",,,
"[327787074, 327787076]","['Rua Aparecida Maria da Conceição', 'Rua João Pereira']",residential,False,False,105.735,,"LINESTRING (-46.4287269 -21.1288014, -46.4287712 -21.128625, -46.4288087 -21.1284374, -46.4288087 -21.1284086, -46.4287913 -21.1283798, -46.4287497 -21.1283636, -46.4282508 -21.1282685)",,,
327787074,Rua João Pereira,residential,False,True,138.085,,"LINESTRING (-46.4287269 -21.1288014, -46.4286907 -21.1289578, -46.4286478 -21.1291242, -46.4286304 -21.1292317, -46.4286277 -21.1293281, -46.4286344 -21.1295019, -46.4286652 -21.1296683, -46.4286867 -21.1298672, -46.4286961 -21.1300298)",,,
327787075,Rua José David,residential,False,True,64.64,,"LINESTRING (-46.428115 -21.1286911, -46.4287269 -21.1288014)",,,
