osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,access,junction
927830583,True,3,BR-116,Rodovia BR-116,motorway,80,False,103.22,"LINESTRING (-51.1784655 -29.8485756, -51.1783149 -29.8482235, -51.1781474 -29.8476902)",,,
97289132,True,1,BR-116,Rodovia BR-116,motorway_link,80,False,128.061,"LINESTRING (-51.1795823 -29.8516893, -51.1795722 -29.8514701, -51.1795118 -29.8509664, -51.1793985 -29.850552)",,,
108714120,True,2,BR-116,Rodovia BR-116,motorway,80,False,363.25100000000003,"LINESTRING (-51.1795823 -29.8516893, -51.179418 -29.8510513, -51.1792517 -29.8504488, -51.179085 -29.8500281, -51.1789693 -29.8497589, -51.1787816 -29.8493223, -51.1784655 -29.8485756)",,,
97289074,True,1,BR-116,Rodovia BR-116,motorway_link,80,False,32.775,"LINESTRING (-51.1781044 -29.8469668, -51.1782576 -29.8472299)",,,
"[97263873, 35764653, 97289110]",True,2,BR-116,Rodovia BR-116,motorway,80,False,754.253,"LINESTRING (-51.1781044 -29.8469668, -51.1782637 -29.84767, -51.1784466 -29.8483054, -51.1786489 -29.848741, -51.1787195 -29.8488929, -51.178943 -29.8492805, -51.1793365 -29.8499701, -51.1795193 -29.8504346, -51.1796013 -29.8507417, -51.1796347 -29.8510188, -51.1796447 -29.8514011, -51.179676 -29.8517388, -51.1797064 -29.852068, -51.1799471 -29.8534921)",viaduct,,
100400346,True,1,BR-116,Rodovia BR-116,motorway_link,80,False,15.743,"LINESTRING (-51.1781474 -29.8476902, -51.1780011 -29.8476274)",,,
927830583,True,3,BR-116,Rodovia BR-116,motorway,80,False,30.246,"LINESTRING (-51.1781474 -29.8476902, -51.1780931 -29.8474223)",,,
905872434,False,2,,Rua Padre Felipe,secondary,40,False,70.368,"LINESTRING (-51.1757581 -29.8501062, -51.1750285 -29.8501126)",,,
630281223,True,2,,Rua Padre Felipe,secondary,40,False,36.662,"LINESTRING (-51.1757581 -29.8501062, -51.1758882 -29.8500603, -51.1760005 -29.8500204, -51.1761081 -29.8499777)",,,
521601513,True,2,,Avenida Independência,primary,60,False,14.796,"LINESTRING (-51.1796661 -29.8495994, -51.1797137 -29.8497259)",,,
637900542,False,2,,,secondary,40,True,41.561,"LINESTRING (-51.1796661 -29.8495994, -51.1798319 -29.8492544)",,,
521601513,True,2,,Avenida Independência,primary,60,False,18.541,"LINESTRING (-51.1797506 -29.8498975, -51.1797911 -29.8500605)",,,
637900542,False,2,,,secondary,40,False,41.561,"LINESTRING (-51.1798319 -29.8492544, -51.1796661 -29.8495994)",,,
"[58824938, 42364698, 58824957]",False,2,,,secondary,40,"[False, True]",501.61299999999994,"LINESTRING (-51.1798319 -29.8492544, -51.1800349 -29.8488549, -51.1800942 -29.848694, -51.1801079 -29.8485525, -51.1800855 -29.8484419, -51.1800349 -29.8483343, -51.1799549 -29.8482402, -51.1798643 -29.8481707, -51.1797629 -29.8481156, -51.1796456 -29.8480789, -51.1795074 -29.8480629, -51.1793567 -29.8480684, -51.1791874 -29.8481254, -51.1791042 -29.8481736, -51.1790234 -29.8482279, -51.1788548 -29.8483642, -51.1777582 -29.8493049, -51.1774912 -29.8495031, -51.1772079 -29.8496589, -51.176971 -29.8497576, -51.1768032 -29.8498117)",viaduct,,
89484981,True,1,,,primary_link,40,False,72.253,"LINESTRING (-51.1798319 -29.8492544, -51.1797537 -29.8495959, -51.1797506 -29.8498975)",,,
