osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,junction
396228574,Rua Quatro de Julho,residential,False,False,62.62,,"LINESTRING (-39.6097259 -11.8383847, -39.6092214 -11.8381139)",,
857933396,,tertiary,False,False,151.41,2,"LINESTRING (-39.6097259 -11.8383847, -39.6099662 -11.8379044, -39.6100232 -11.8377905, -39.6103488 -11.8371672)",,
857933395,Rua Augusto Cordeiro de Oliveira,tertiary,False,True,80.204,2,"LINESTRING (-39.6115711 -11.8322253, -39.6115063 -11.8329438)",,
1070275065,Praça Santo Antonio,residential,False,True,28.584000000000003,,"LINESTRING (-39.6115711 -11.8322253, -39.611475 -11.8322512, -39.6113789 -11.8322772, -39.6113179 -11.8322936)",,
1070279995,Rua Otavio Carneiro RIOS,unclassified,False,False,39.247,,"LINESTRING (-39.6115711 -11.8322253, -39.6116829 -11.8322152, -39.6117654 -11.8322078, -39.6119302 -11.8321929)",,
382299750,Avenida Getulio Vargas,secondary,False,False,74.427,2,"LINESTRING (-39.6112315 -11.8351745, -39.6105503 -11.8352336)",,
818752639,Avenida Getulio Vargas,secondary,False,True,44.607,2,"LINESTRING (-39.6112315 -11.8351745, -39.6113478 -11.8351642, -39.6116397 -11.8351383)",,
1073859536,Rua Jonas Martins Rios,tertiary,False,True,60.67,2,"LINESTRING (-39.6112315 -11.8351745, -39.6112087 -11.8353426, -39.6111913 -11.8354371, -39.6111551 -11.8355342, -39.611076 -11.835693)",,
1073860063,Praça Vitor Carneiro,tertiary,False,False,136.206,2,"LINESTRING (-39.6112315 -11.8351745, -39.611257 -11.8350407, -39.6112999 -11.8347033, -39.6113469 -11.8343804, -39.6113623 -11.8342466, -39.6113952 -11.8339604)",,
420739096,Rua Cinco de Julho,residential,False,True,128.163,,"LINESTRING (-39.6090134 -11.838607, -39.6079337 -11.8381468)",,
420739106,Travessa Quatro de Julho,residential,False,False,56.9,,"LINESTRING (-39.6090134 -11.838607, -39.6087974 -11.839073)",,
420739106,Travessa Quatro de Julho,residential,False,True,59.319,,"LINESTRING (-39.6090134 -11.838607, -39.6092214 -11.8381139)",,
1070361114,Rua do Juazeiro,residential,False,True,64.139,,"LINESTRING (-39.6108134 -11.8388209, -39.6113402 -11.8390795)",,
1070361661,Rua Lirio da Serra,residential,False,False,60.639,,"LINESTRING (-39.6108134 -11.8388209, -39.6110505 -11.8383274)",,
1070361662,Rua do Juazeiro,residential,False,False,61.14,,"LINESTRING (-39.6108134 -11.8388209, -39.6103122 -11.8385725)",,
818749934,Rua Manoel Luis Carneiro,residential,False,True,69.62,,"LINESTRING (-39.6143697 -11.8350288, -39.6150093 -11.83504)",,
818749933,Rua Luiz Viana Filho,secondary,False,True,84.664,2,"LINESTRING (-39.6143697 -11.8350288, -39.6143965 -11.8350892, -39.6144304 -11.8351421, -39.614642 -11.8354305, -39.6147466 -11.8355394, -39.6148472 -11.8356221)",,
818752639,Avenida Getulio Vargas,secondary,False,False,114.795,2,"LINESTRING (-39.6143697 -11.8350288, -39.6134372 -11.8350518, -39.6133156 -11.8350615)",,
420739096,Rua Cinco de Julho,residential,False,False,128.163,,"LINESTRING (-39.6079337 -11.8381468, -39.6090134 -11.838607)",,
420790257,Rua Sete de Julho,residential,False,False,63.578,,"LINESTRING (-39.6079337 -11.8381468, -39.6077498 -11.8386895)",,
420790257,Rua Sete de Julho,residential,False,True,65.023,,"LINESTRING (-39.6079337 -11.8381468, -39.6080662 -11.8375766)",,
712181076,Rua Simão José Rodrigues,residential,False,True,78.603,,"LINESTRING (-39.6106728 -11.8315451, -39.6105981 -11.8322482)",,
420790267,Travessa Pedro Falconeri Rios,residential,False,True,57.769,,"LINESTRING (-39.6103488 -11.8371672, -39.609818 -11.8371631)",,
