osmid,oneway,ref,highway,reversed,length,geometry,junction,name,maxspeed,lanes
237317336,True,BA-233,primary,False,58.126000000000005,"LINESTRING (-39.7456077 -12.162125, -39.7453702 -12.1620234, -39.7451059 -12.1619474)",,,,
237317331,True,,primary_link,False,41.549,"LINESTRING (-39.7449889 -12.1619168, -39.7448183 -12.161931, -39.7446081 -12.1619492)",,,,
819458557,True,BA-233,primary,False,16.316,"LINESTRING (-39.7449889 -12.1619168, -39.7449282 -12.1618737, -39.7448822 -12.1618157)",circular,,,
237317330,True,BA-233,primary,False,13.248999999999999,"LINESTRING (-39.7451059 -12.1619474, -39.7450457 -12.1619386, -39.7449889 -12.1619168)",circular,,,
237317332,True,,primary_link,False,47.666,"LINESTRING (-39.7452953 -12.1614931, -39.7454506 -12.1614367, -39.7457154 -12.1613724)",,,,
819458553,True,BA-233,primary,False,9.798000000000002,"LINESTRING (-39.7452953 -12.1614931, -39.7453064 -12.1615008, -39.7453517 -12.1615611)",circular,,,
237317326,True,BA-233,primary,False,47.834,"LINESTRING (-39.7453728 -12.1617622, -39.7454516 -12.161908, -39.7456077 -12.162125)",,,,
237317330,True,BA-233,primary,False,38.022999999999996,"LINESTRING (-39.7453728 -12.1617622, -39.7453284 -12.1618445, -39.7452668 -12.1619016, -39.7451901 -12.1619371, -39.7451059 -12.1619474)",circular,,,
819458558,True,BA-233,primary,False,6.123,"LINESTRING (-39.7448465 -12.1616825, -39.744853 -12.1616278)",circular,,,
853367737,False,BA-052,primary,False,33.288,"LINESTRING (-39.7446081 -12.1619492, -39.7448822 -12.1618157)",,Estrada BA-052,60,
237317323,True,,primary_link,False,39.411,"LINESTRING (-39.7446081 -12.1619492, -39.7447385 -12.1617933, -39.7448465 -12.1616825)",,,,
237317330,True,BA-233,primary,False,8.642,"LINESTRING (-39.7453836 -12.1616852, -39.7453728 -12.1617622)",circular,,,
819458558,True,BA-233,primary,False,4.794,"LINESTRING (-39.7450599 -12.1614284, -39.745104 -12.1614278)",circular,,,
31566166,False,BA-052,primary,True,44.757,"LINESTRING (-39.7457154 -12.1613724, -39.7453517 -12.1615611)",,Estrada BA-052,60,
237317329,True,,primary_link,False,50.219,"LINESTRING (-39.7457154 -12.1613724, -39.7454955 -12.1615593, -39.7453836 -12.1616852)",,,,
237317334,True,,secondary,False,49.635,"LINESTRING (-39.7446312 -12.1612748, -39.7448632 -12.1613548, -39.7450599 -12.1614284)",,,,
237317495,False,,secondary,True,124.084,"LINESTRING (-39.7446312 -12.1612748, -39.7441038 -12.1608022, -39.7437847 -12.1605262)",,Avenida Anísio Dutra,,
237317337,True,,secondary,False,43.815,"LINESTRING (-39.7448596 -12.1615986, -39.7447868 -12.1615134, -39.7447398 -12.1614361, -39.7446312 -12.1612748)",,,,
819458558,True,BA-233,primary,False,29.953,"LINESTRING (-39.7448596 -12.1615986, -39.7449216 -12.161503, -39.7449938 -12.1614508, -39.7450599 -12.1614284)",circular,,,
237317495,False,,secondary,False,128.371,"LINESTRING (-39.7428927 -12.1597696, -39.7437847 -12.1605262)",,Avenida Anísio Dutra,,
237317495,False,,secondary,True,147.438,"LINESTRING (-39.7428927 -12.1597696, -39.7419034 -12.1588625)",,Avenida Anísio Dutra,,
331100069,False,,residential,False,112.537,"LINESTRING (-39.7428927 -12.1597696, -39.7436314 -12.1590605)",,Rua Bionor Correia,,
763280546,False,,residential,True,88.128,"LINESTRING (-39.7428927 -12.1597696, -39.7423277 -12.160338)",,Travessa Anisio Dultra,,
331236481,False,,residential,False,14.881,"LINESTRING (-39.7423643 -12.1586523, -39.7424046 -12.1587802)",,Travessa Pergentino Dutra,,
