osmid,ref,name,highway,oneway,reversed,length,geometry,junction,lanes,bridge
326771111,BR-120;MGC-120;LMG-820,Rua Padre Pedro Domingues,secondary,False,False,15.012,"LINESTRING (-42.9692191 -19.8628881, -42.9691681 -19.8630143)",,,
326771118,,Rua Doutor Fernando Gomes de Carvalho,residential,False,False,104.622,"LINESTRING (-42.9670747 -19.866662, -42.9674222 -19.8675443)",,,
326771121,BR-120;MGC-120;LMG-820,Rua Joaquim G. Lima,secondary,False,False,33.141,"LINESTRING (-42.9670747 -19.866662, -42.9667689 -19.8667402)",,,
326771121,BR-120;MGC-120;LMG-820,Rua Joaquim G. Lima,secondary,False,True,125.408,"LINESTRING (-42.9670747 -19.866662, -42.9671511 -19.8666229, -42.967241 -19.8665585, -42.967414 -19.8663832, -42.9675642 -19.8662016, -42.9676661 -19.8660553, -42.9678429 -19.8658109)",,,
326771112,,,secondary,True,False,30.119,"LINESTRING (-42.9678429 -19.8658109, -42.9678305 -19.8658046, -42.9678074 -19.8657812, -42.9677934 -19.8657521, -42.9677898 -19.8657204, -42.9677971 -19.8656893, -42.9678143 -19.8656619, -42.9678399 -19.865641, -42.9678713 -19.8656289, -42.9679078 -19.8656268)",roundabout,,
326771121,BR-120;MGC-120;LMG-820,Rua Joaquim G. Lima,secondary,False,False,125.408,"LINESTRING (-42.9678429 -19.8658109, -42.9676661 -19.8660553, -42.9675642 -19.8662016, -42.967414 -19.8663832, -42.967241 -19.8665585, -42.9671511 -19.8666229, -42.9670747 -19.866662)",,,
224277886,BR-120;MGC-120;LMG-820,Rua Joaquim G. Lima,secondary,False,False,343.997,"LINESTRING (-42.9645105 -19.8671185, -42.9644032 -19.8671917, -42.9643603 -19.8672409, -42.9642704 -19.8673557, -42.9641765 -19.8674982, -42.9639539 -19.86798, -42.9638278 -19.8681465, -42.963675 -19.8683041, -42.9633933 -19.868506, -42.9631734 -19.868646, -42.9629682 -19.8688036, -42.9627952 -19.8690193, -42.9624733 -19.8694784)",,,
326771123,,Rua Joaquim G. Lima,secondary,True,False,77.616,"LINESTRING (-42.9645105 -19.8671185, -42.964552 -19.8670542, -42.9646204 -19.8669975, -42.9647009 -19.8669811, -42.9648256 -19.8669912, -42.9649718 -19.8670252, -42.9651743 -19.867087)",,,
326771106,,Rua Capitão Albano de Moraes,residential,False,False,48.701,"LINESTRING (-42.9689053 -19.863679, -42.969338 -19.8638409)",,,
326771111,BR-120;MGC-120;LMG-820,Rua Padre Pedro Domingues,secondary,False,False,42.749,"LINESTRING (-42.9689053 -19.863679, -42.9687926 -19.8639111, -42.9687376 -19.8640296)",,,
326771111,BR-120;MGC-120;LMG-820,Rua Padre Pedro Domingues,secondary,False,True,78.876,"LINESTRING (-42.9689053 -19.863679, -42.9690139 -19.8633813, -42.9691681 -19.8630143)",,,
326771106,,Rua Capitão Albano de Moraes,residential,False,True,88.911,"LINESTRING (-42.9701445 -19.8640939, -42.969338 -19.8638409)",,,
327952403,,Rua Lucio Monteiro de Oliveira,residential,False,False,48.453,"LINESTRING (-42.9701445 -19.8640939, -42.9703376 -19.86449)",,,
327952403,,Rua Lucio Monteiro de Oliveira,residential,False,True,94.912,"LINESTRING (-42.9701445 -19.8640939, -42.9698199 -19.8632968)",,,
