osmid,name,highway,oneway,reversed,length,bridge,geometry,ref,maxspeed
"[217567809, 31608738, 217567810]","['Ponte Velha', 'Avenida São José']",tertiary,False,False,189.411,yes,"LINESTRING (-43.3012832 -20.687363, -43.3010049 -20.688387, -43.3009171 -20.6888134, -43.3008876 -20.6890242)",,
405950817,Rua Benedito Valadares,trunk,False,False,133.736,,"LINESTRING (-43.3012832 -20.687363, -43.3009842 -20.687146, -43.3007549 -20.6869779, -43.3005926 -20.6868587, -43.3005108 -20.6867922, -43.300482 -20.6867527, -43.3004659 -20.6867132, -43.3004598 -20.6866329, -43.3004726 -20.6865224)",MGC-482;BR-482,30
405950819,Rua Nova,trunk,False,True,53.544,,"LINESTRING (-43.3012832 -20.687363, -43.3014375 -20.687417, -43.3017781 -20.6874923)",MGC-482;BR-482,30
"[217567810, 389131622]",Rua José Dutra,tertiary,False,"[False, True]",205.971,,"LINESTRING (-43.3008876 -20.6890242, -43.3012256 -20.689053, -43.3016025 -20.6890957, -43.3019511 -20.6891409, -43.3024152 -20.6891935, -43.3026807 -20.6892412, -43.3028457 -20.6892839)",,
"[31608738, 217567809, 217567810]","['Ponte Velha', 'Avenida São José']",tertiary,False,True,189.411,yes,"LINESTRING (-43.3008876 -20.6890242, -43.3009171 -20.6888134, -43.3010049 -20.688387, -43.3012832 -20.687363)",,
323032459,Rua José Milagres Junior,tertiary,False,False,33.897,,"LINESTRING (-43.3008876 -20.6890242, -43.3007535 -20.6890643, -43.3005752 -20.6891107)",,
323031608,,residential,False,False,50.528,,"LINESTRING (-43.3006369 -20.6849905, -43.3001517 -20.6850116)",,
323031608,,residential,False,True,59.687,,"LINESTRING (-43.3006369 -20.6849905, -43.3012008 -20.6848914)",,
720592749,,residential,False,True,29.192,,"LINESTRING (-43.3006369 -20.6849905, -43.3006228 -20.6852527)",,
720592749,,residential,False,False,15.155,,"LINESTRING (-43.300598 -20.685387, -43.3006228 -20.6852527)",,
