osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,maxspeed,lanes
342358245,True,BR-492;RJ-134,Estrada União e Indústria,primary,False,17.245,"LINESTRING (-43.1039002 -22.2317663, -43.1039605 -22.2317849, -43.1040216 -22.2318054, -43.1040591 -22.2318153)",,,
"[864059202, 342365251, 342365250, 342365254]",False,BR-492;RJ-134,Estrada União e Indústria,primary,True,266.462,"LINESTRING (-43.1039002 -22.2317663, -43.1038683 -22.2317444, -43.1037118 -22.2316322, -43.1036071 -22.231572, -43.1034791 -22.2315093, -43.1032746 -22.2314621, -43.1029983 -22.2314559, -43.1027877 -22.2314994, -43.1025678 -22.2315863, -43.1024028 -22.2317241, -43.1022526 -22.2319078, -43.1021614 -22.2320741, -43.1021065 -22.2322405, -43.1020591 -22.2324964)",yes,,
342365251,False,BR-492;RJ-134,Estrada União e Indústria,primary,False,5.373,"LINESTRING (-43.1020501 -22.232544, -43.1020591 -22.2324964)",,,
342365253,True,BR-492;RJ-134,Avenida Ernani de Amaral Peixoto,primary,False,31.245,"LINESTRING (-43.1020501 -22.232544, -43.1020615 -22.2326247, -43.1020615 -22.2326778, -43.1020595 -22.2328243)",,,
342365252,True,BR-492;RJ-134,Avenida Ernani de Amaral Peixoto,primary,False,34.693,"LINESTRING (-43.1020702 -22.2332075, -43.1019643 -22.2329113)",,,
342368633,False,BR-492;RJ-134,Avenida Ernani de Amaral Peixoto,primary,True,199.66000000000003,"LINESTRING (-43.1020702 -22.2332075, -43.1022996 -22.2340194, -43.1023378 -22.2341342, -43.1023774 -22.2343447, -43.1023867 -22.2344576, -43.1023888 -22.2346296, -43.1023814 -22.2347332, -43.1023586 -22.2348816, -43.1023438 -22.2349641)",,30,
342358240,False,,Alameda Santa Rita,residential,False,554.1500000000001,"LINESTRING (-43.1020381 -22.2301611, -43.1020756 -22.2300941, -43.1021293 -22.2300519, -43.102195 -22.2300333, -43.1024323 -22.2299501, -43.1025061 -22.2299364, -43.1025879 -22.2299426, -43.1029071 -22.2300494, -43.1033765 -22.2302555, -43.1034918 -22.2302915, -43.1036246 -22.2303188, -43.103756 -22.2303461, -43.1041503 -22.2304889, -43.1045935 -22.2306838, -43.105199 -22.230906, -43.1054632 -22.2310152, -43.1060037 -22.2313206, -43.1062746 -22.2314174, -43.1064047 -22.2314907, -43.1066287 -22.2316434, -43.1068607 -22.2318072)",,,
342358241,False,,Avenida Presidente Vargas,tertiary,False,297.1,"LINESTRING (-43.1020381 -22.2301611, -43.1025772 -22.2302468, -43.1029943 -22.2303622, -43.1033456 -22.2305112, -43.1040645 -22.2308302, -43.1045003 -22.2310686, -43.1045325 -22.2311071, -43.1045432 -22.2311629, -43.1045043 -22.2312486)",,,
"[342358241, 342358242]",False,,Avenida Presidente Vargas,tertiary,"[False, True]",58.494,"LINESTRING (-43.1042274 -22.2317079, -43.1044581 -22.2313318, -43.1045043 -22.2312486)",yes,,
"[864059203, 342358244]",True,,Avenida Presidente Vargas,tertiary,False,20.842,"LINESTRING (-43.1042274 -22.2317079, -43.1041892 -22.2317967, -43.1041692 -22.2318541, -43.104159 -22.2318842)",yes,,
